epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,93.9835,1.3056,3.63707,2.54792,0.00264,0.35518,0.00234,0.00098,1.59531,inf,4.16412,0.0770652,0.00136054,0.00136054
2,173.434,1.35712,3.43678,2.59884,0.13007,0.04422,0.00257,0.00098,2.05447,83.6243,4.47996,0.0539948,0.00271967,0.00271967
3,249.932,1.2632,3.19678,2.41916,0.31662,0.0838,0.05129,0.02739,1.3133,5.55374,2.74882,0.0309155,0.00406987,0.00406987
4,325.46,1.18005,3.04161,2.30646,0.20059,0.12795,0.04812,0.02811,1.28333,3.95967,2.64272,0.00782723,0.00541113,0.00541113
5,400.74,1.09584,2.9186,2.20631,0.10682,0.19297,0.07962,0.04524,1.26358,4.02374,2.43048,0.0055268,0.0055268,0.0055268
6,476.093,1.08104,2.83794,2.16952,0.22326,0.19351,0.06925,0.04211,1.04739,3.73648,2.15983,0.0055085,0.0055085,0.0055085
7,549.096,1.05284,2.74304,2.12092,0.12265,0.24411,0.07951,0.04568,1.26009,3.37185,2.50071,0.00549021,0.00549021,0.00549021
8,624.322,1.06339,2.77617,2.15769,0.1448,0.24987,0.09703,0.06405,1.06919,3.02448,2.17248,0.00547191,0.00547191,0.00547191
9,699.668,1.01077,2.65771,2.07983,0.15471,0.3095,0.13119,0.09243,0.94636,2.54191,2.00358,0.00545361,0.00545361,0.00545361
10,775.014,0.96118,2.60091,2.03767,0.14117,0.36416,0.14179,0.09759,0.91894,2.60999,2.0021,0.00543531,0.00543531,0.00543531
11,850.53,0.92244,2.48252,1.97644,0.15498,0.36951,0.14547,0.09774,0.87277,2.49209,1.92107,0.00541701,0.00541701,0.00541701
12,926.01,0.92342,2.49402,1.97113,0.19474,0.32584,0.153,0.1038,0.89377,2.36194,1.93008,0.00539871,0.00539871,0.00539871
13,1000.91,0.91503,2.45993,1.96095,0.158,0.41022,0.1535,0.10427,0.87258,2.42377,1.91299,0.00538041,0.00538041,0.00538041
14,1076.33,0.88959,2.41545,1.91635,0.19048,0.38701,0.16744,0.11575,0.86597,2.37651,1.87302,0.00536211,0.00536211,0.00536211
15,1151.45,0.89569,2.42617,1.92976,0.2799,0.28572,0.15104,0.10703,0.82779,2.39871,1.82919,0.00534381,0.00534381,0.00534381
16,1223.9,0.87082,2.37432,1.90239,0.15609,0.36163,0.17232,0.11879,0.82681,2.28531,1.80984,0.00532551,0.00532551,0.00532551
17,1299.05,0.85614,2.33817,1.88433,0.23682,0.36383,0.20701,0.1469,0.81591,2.26924,1.86096,0.00530721,0.00530721,0.00530721
18,1374.15,0.84403,2.34369,1.86323,0.25348,0.39081,0.21034,0.14799,0.77841,2.16783,1.73672,0.00528891,0.00528891,0.00528891
19,1449.51,0.83963,2.29795,1.87057,0.28072,0.33845,0.19083,0.13762,0.79572,2.46912,1.7893,0.00527062,0.00527062,0.00527062
20,1522.08,0.83346,2.28045,1.87069,0.21492,0.34736,0.18735,0.13351,0.76443,2.1367,1.75586,0.00525232,0.00525232,0.00525232
21,1594.85,0.82914,2.25534,1.85754,0.23102,0.35408,0.20456,0.14603,0.79964,2.32898,1.802,0.00523402,0.00523402,0.00523402
22,1667.59,0.82164,2.22235,1.84737,0.2793,0.36048,0.23802,0.16244,0.78728,2.32334,1.79029,0.00521572,0.00521572,0.00521572
23,1742.4,0.81878,2.22336,1.8453,0.28021,0.39154,0.24226,0.17332,0.75762,2.09384,1.73878,0.00519742,0.00519742,0.00519742
24,1817.75,0.80238,2.19143,1.82526,0.21466,0.39534,0.20558,0.15278,0.74208,2.18896,1.71464,0.00517912,0.00517912,0.00517912
25,1890.3,0.79271,2.16219,1.80273,0.25432,0.38279,0.22957,0.16591,0.75055,2.23267,1.74906,0.00516082,0.00516082,0.00516082
26,1963.06,0.77728,2.1671,1.80266,0.27521,0.37532,0.27542,0.20207,0.71876,1.99615,1.69348,0.00514252,0.00514252,0.00514252
