fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,bgr,mosaic,mixup,cutmix,copy_paste,close_mosaic
0.68892,0.01,0.01,0.937,0.0005,3.0,0.8,7.5,0.5,1.5,0.015,0.7,0.4,0.0,0.1,0.5,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,10
0.66265,0.01,0.00927,0.88194,0.00051,3.0,0.8,7.38019,0.40962,0.86844,0.015,0.61245,0.58722,0.0,0.10034,0.81587,0.0,0.0,0.0,0.65511,0.0,1.0,0.0,0.0,0.0,10
0.69631,0.01,0.01,0.98,0.0005,3.0,0.8,8.47059,0.5,1.97158,0.0174,0.7,0.4,0.0,0.1,0.46625,0.0,0.0,0.0,0.51385,0.0,1.0,0.0,0.0,0.0,10
0.71088,0.01,0.01319,0.98,0.0005,3.0,0.8,7.49257,0.44144,1.97773,0.0131,0.7,0.4,0.0,0.08742,0.42379,0.0,0.0,0.0,0.51145,0.0,1.0,0.0,0.0,0.0,10
0.68978,0.01,0.0101,0.96717,0.00058,3.0,0.8,11.85312,0.40597,1.97244,0.0183,0.74552,0.49505,0.0,0.09758,0.46984,0.0,0.0,0.0,0.50167,0.0,1.0,0.0,0.0,0.0,10
0.71019,0.01,0.02275,0.94047,0.00042,3.16088,0.86165,8.03676,0.50861,2.56218,0.01399,0.73135,0.54161,0.0,0.06733,0.48432,0.0,0.0,0.0,0.50224,0.0,1.0,0.0,0.0,0.0,10
0.69238,0.01,0.01381,0.98,0.0006,3.05575,0.86046,8.03594,0.42861,1.92229,0.01239,0.74492,0.51901,0.0,0.09572,0.42083,0.0,0.0,0.0,0.52332,0.0,1.0,0.0,0.0,0.0,10
0.69605,0.01,0.01865,0.98,0.00037,3.1491,0.86241,7.78727,0.51915,2.60275,0.01404,0.6245,0.41791,0.0,0.06684,0.42171,0.0,0.0,0.0,0.49811,0.0,1.0,0.0,0.0,0.0,10
0.70308,0.01129,0.0106,0.97228,0.00034,3.8999,0.95,7.67717,0.43631,1.78874,0.01404,0.69534,0.4797,0.0,0.10777,0.41354,0.0,0.0,0.0,0.52789,0.0,1.0,0.0,0.0,0.0,10
0.69651,0.00997,0.01547,0.98,0.00037,4.29106,0.81434,8.72355,0.40745,2.75542,0.01171,0.65526,0.40682,0.0,0.09557,0.42188,0.0,0.0,0.0,0.49873,0.0,1.0,0.0,0.0,0.0,10
0.69614,0.01018,0.01624,0.94379,0.00031,3.38283,0.95,8.34499,0.48363,2.26103,0.02509,0.6101,0.34517,0.0,0.0772,0.5304,0.0,0.0,0.0,0.4125,0.0,1.0,0.0,0.0,0.0,10
0.7003,0.01483,0.01157,0.95517,0.00068,2.7482,0.95,8.3298,0.49728,1.97045,0.01755,0.64872,0.47367,0.0,0.14142,0.47927,0.0,0.0,0.0,0.39351,0.0,0.80827,0.0,0.0,0.0,10
0.71231,0.01265,0.01811,0.98,0.00048,4.54917,0.53859,8.20789,0.51233,1.80572,0.0139,0.48002,0.46893,0.0,0.12029,0.52126,0.0,0.0,0.0,0.37199,0.0,0.8683,0.0,0.0,0.0,10
