epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,91.5457,0.6249,2.80465,1.11614,0.31676,0.43992,0.31876,0.24693,0.57796,2.21301,1.00158,0.00204059,0.00204059,0.00204059
2,167.634,0.71779,2.05632,1.15146,0.19608,0.33225,0.17273,0.11871,0.83365,3.5542,1.2433,0.00407892,0.00407892,0.00407892
3,240.731,0.84416,2.24051,1.23282,0.26741,0.19067,0.09586,0.06465,1.08736,3.36011,1.47118,0.00610369,0.00610369,0.00610369
4,312.984,0.89423,2.33236,1.27789,0.22911,0.2376,0.1455,0.09323,1.02501,4.2504,1.48527,0.0081149,0.0081149,0.0081149
5,384.552,0.91282,2.33041,1.29594,0.23242,0.31858,0.1767,0.11829,0.978,2.51358,1.34958,0.0098678,0.0098678,0.0098678
6,456.657,0.91377,2.31062,1.30835,0.3097,0.33544,0.26139,0.19981,0.87593,2.78641,1.2601,0.00983475,0.00983475,0.00983475
7,528.376,0.89262,2.23625,1.28542,0.29083,0.33357,0.23377,0.16379,0.8914,2.38219,1.26149,0.0098017,0.0098017,0.0098017
8,599.974,0.87481,2.2027,1.28229,0.32423,0.3277,0.26358,0.19013,0.86361,2.18716,1.24141,0.00976865,0.00976865,0.00976865
9,671.626,0.8545,2.16016,1.26454,0.35112,0.30904,0.26543,0.19522,0.90061,2.29432,1.30375,0.00973561,0.00973561,0.00973561
10,743.505,0.84019,2.09252,1.25056,0.31569,0.3567,0.2768,0.20088,0.83402,2.20548,1.23369,0.00970256,0.00970256,0.00970256
11,814.72,0.81789,1.99416,1.23443,0.34822,0.37912,0.324,0.23973,0.78311,1.97826,1.16186,0.00966951,0.00966951,0.00966951
12,886.442,0.80404,1.97237,1.22658,0.39113,0.44865,0.34516,0.26518,0.76412,1.90874,1.14685,0.00963646,0.00963646,0.00963646
13,959.652,0.7878,1.92894,1.20842,0.39163,0.37694,0.34969,0.26474,0.73755,1.94766,1.13261,0.00960341,0.00960341,0.00960341
14,1031.11,0.76061,1.87289,1.20325,0.45444,0.45735,0.42526,0.32088,0.70647,1.74655,1.10566,0.00957036,0.00957036,0.00957036
15,1104.18,0.75961,1.81118,1.19395,0.38838,0.46086,0.38675,0.28987,0.71324,1.78184,1.10753,0.00953731,0.00953731,0.00953731
16,1175.82,0.75202,1.7678,1.18156,0.50919,0.41815,0.44091,0.34716,0.68169,1.67606,1.09447,0.00950426,0.00950426,0.00950426
17,1248.74,0.73719,1.7527,1.1751,0.49086,0.41761,0.41569,0.32082,0.69205,1.73973,1.10057,0.00947121,0.00947121,0.00947121
18,1320.31,0.73926,1.74234,1.17519,0.46286,0.48447,0.44588,0.33669,0.67678,1.65342,1.08541,0.00943816,0.00943816,0.00943816
19,1392.21,0.72208,1.68665,1.16508,0.54072,0.44757,0.47327,0.37014,0.66748,1.61821,1.08794,0.00940511,0.00940511,0.00940511
20,1465.61,0.69592,1.64263,1.14052,0.51651,0.48125,0.46231,0.34858,0.67148,1.63046,1.09832,0.00937206,0.00937206,0.00937206
21,1536.99,0.68915,1.60755,1.13759,0.49833,0.48502,0.4683,0.37198,0.64657,1.66348,1.06112,0.00933901,0.00933901,0.00933901
22,1610.01,0.69453,1.59049,1.13229,0.4806,0.52739,0.49767,0.38548,0.63053,1.52957,1.05156,0.00930596,0.00930596,0.00930596
23,1683.12,0.69267,1.56513,1.12985,0.57091,0.51911,0.52454,0.412,0.6239,1.48126,1.03829,0.00927291,0.00927291,0.00927291
24,1756.35,0.66251,1.49156,1.11489,0.60936,0.47046,0.53547,0.43054,0.62607,1.46321,1.04828,0.00923987,0.00923987,0.00923987
25,1829.84,0.67084,1.50017,1.11886,0.57315,0.45621,0.51358,0.40654,0.63622,1.50174,1.06238,0.00920682,0.00920682,0.00920682
26,1901.44,0.66148,1.45461,1.11782,0.54287,0.54666,0.5578,0.44804,0.5888,1.49064,1.01459,0.00917377,0.00917377,0.00917377
27,1974.38,0.65554,1.46578,1.11067,0.57964,0.55147,0.57441,0.46254,0.60059,1.41426,1.03025,0.00914072,0.00914072,0.00914072
28,2047.27,0.6284,1.38656,1.09238,0.58091,0.57356,0.58396,0.46404,0.57556,1.35724,1.01016,0.00910767,0.00910767,0.00910767
29,2120.18,0.6478,1.42341,1.10806,0.53943,0.59237,0.557,0.4378,0.59685,1.50659,1.02892,0.00907462,0.00907462,0.00907462
30,2191.95,0.63527,1.36355,1.09543,0.59159,0.56456,0.57881,0.47094,0.5761,1.33884,1.01074,0.00904157,0.00904157,0.00904157
31,2265,0.63145,1.34576,1.09471,0.60126,0.52598,0.58437,0.47025,0.56875,1.39483,1.02167,0.00900852,0.00900852,0.00900852
32,2336.39,0.63534,1.38452,1.10166,0.58071,0.59778,0.58979,0.47068,0.56972,1.31633,1.00527,0.00897547,0.00897547,0.00897547
