fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,bgr,mosaic,mixup,cutmix,copy_paste,close_mosaic
0.56368,0.01,0.01,0.937,0.0005,3.0,0.8,7.5,0.5,1.5,0.015,0.7,0.4,0.0,0.1,0.5,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,10
0.57783,0.01131,0.01,0.91536,0.00051,3.0,0.8,7.24397,0.5,1.51495,0.015,0.66281,0.41275,0.0,0.08901,0.5,0.0,0.0,0.0,0.5,0.0,0.93787,0.0,0.0,0.0,10
0.57492,0.01131,0.01,0.91536,0.00051,3.0,0.8,7.24397,0.5,1.51495,0.01089,0.72284,0.41275,0.0,0.05789,0.5,0.0,0.0,0.0,0.5,0.0,0.93787,0.0,0.0,0.0,10
0.58373,0.01131,0.0077,0.91536,0.00036,3.04147,0.8,7.24397,0.5,1.51495,0.01405,0.71082,0.41275,0.0,0.09006,0.45164,0.0,0.0,0.0,0.5,0.0,0.98671,0.0,0.0,0.0,8
0.58385,0.01131,0.00847,0.87539,0.00051,3.26627,0.8,6.54888,0.5,1.57775,0.01436,0.69767,0.53588,0.0,0.08978,0.35598,0.0,0.0,0.0,0.5,0.0,0.94362,0.0,0.0,0.0,8
0.5636,0.01081,0.00839,0.90352,0.00028,2.96484,0.8,6.79162,0.5,1.70389,0.0144,0.57932,0.46706,0.0,0.08883,0.38385,0.0,0.0,0.0,0.40403,0.0,0.80687,0.0,0.0,0.0,6
0.57947,0.01131,0.00959,0.89343,0.00046,3.11259,0.8,5.58161,0.54631,1.56074,0.01089,0.9,0.4262,0.0,0.08937,0.52281,0.0,0.0,0.0,0.46737,0.0,0.96757,0.0,0.0,0.0,8
0.58268,0.01043,0.01,0.8867,0.00036,3.12741,0.85324,6.45126,0.49029,1.14933,0.01166,0.67214,0.40895,0.0,0.06246,0.39981,0.0,0.0,0.0,0.5,0.0,0.81461,0.0,0.0,0.0,9
0.57663,0.01051,0.00786,0.83854,0.00041,3.01453,0.59472,6.11752,0.50086,1.63331,0.01236,0.74519,0.30122,0.0,0.07344,0.42644,0.0,0.0,0.0,0.47042,0.0,0.88455,0.0,0.0,0.0,8
0.54714,0.01124,0.01132,0.92374,0.00048,3.02556,0.90045,7.95286,0.41866,1.07435,0.01155,0.63947,0.40477,0.0,0.10088,0.40909,0.0,0.0,0.0,0.53713,0.0,0.87132,0.0,0.0,0.0,10
0.56654,0.01105,0.01047,0.87779,0.00075,2.47356,0.63996,5.83554,0.49847,1.00128,0.00892,0.72259,0.4253,0.0,0.08449,0.43777,0.0,0.0,0.0,0.51284,0.0,0.94475,0.0,0.0,0.0,8
0.5126,0.0106,0.01067,0.97716,0.00055,2.40764,0.57779,6.06271,0.49686,1.7763,0.00853,0.59923,0.45298,0.0,0.09282,0.62463,0.0,0.0,0.0,0.61863,0.0,0.81356,0.0,0.0,0.0,9
0.55119,0.00902,0.00911,0.90775,0.00058,4.1454,0.7695,8.45917,0.39024,1.64003,0.00752,0.75709,0.5274,0.0,0.094,0.48634,0.0,0.0,0.0,0.49427,0.0,0.98181,0.0,0.0,0.0,8
0.58091,0.01033,0.00422,0.87258,0.00048,4.55936,0.68221,6.71826,0.48143,1.65709,0.01318,0.6796,0.36544,0.0,0.07493,0.43681,0.0,0.0,0.0,0.59077,0.0,0.88642,0.0,0.0,0.0,10
0.56245,0.0106,0.00829,0.85123,0.00035,2.76681,0.62831,6.31843,0.49389,1.50101,0.01181,0.69438,0.29294,0.0,0.07778,0.4254,0.0,0.0,0.0,0.50395,0.0,0.74008,0.0,0.0,0.0,8
0.59572,0.01066,0.01359,0.81996,0.0004,3.112,0.77314,6.89339,0.50063,2.05608,0.01242,0.61909,0.34796,0.0,0.07492,0.29789,0.0,0.0,0.0,0.38058,0.0,0.87131,0.0,0.0,0.0,9
0.61302,0.01222,0.01303,0.93792,0.00054,3.2849,0.71648,5.34752,0.47802,2.01932,0.01517,0.86085,0.38374,0.0,0.05722,0.39008,0.0,0.0,0.0,0.41222,0.0,0.95102,0.0,0.0,0.0,8
0.58608,0.00971,0.00786,0.93825,0.00048,3.13141,0.77127,4.94542,0.49292,2.23967,0.0142,0.87275,0.33789,0.0,0.0686,0.30477,0.0,0.0,0.0,0.51448,0.0,0.95478,0.0,0.0,0.0,9
0.57943,0.01082,0.01434,0.86431,0.0003,3.12309,0.87345,7.1405,0.47941,1.14078,0.01429,0.8011,0.56043,0.0,0.09418,0.40737,0.0,0.0,0.0,0.38159,0.0,0.83628,0.0,0.0,0.0,10
0.61269,0.01196,0.00917,0.86115,0.00057,3.15454,0.63483,4.05793,0.43035,1.21371,0.01398,0.59304,0.45482,0.0,0.08939,0.37771,0.0,0.0,0.0,0.37136,0.0,0.95176,0.0,0.0,0.0,9
0.55425,0.01053,0.01439,0.93747,0.00045,3.21972,0.43255,4.81417,0.35209,1.02546,0.01984,0.9,0.3183,0.0,0.06485,0.37943,0.0,0.0,0.0,0.3809,0.0,0.6327,0.0,0.0,0.0,9
0.56523,0.01034,0.01323,0.88039,0.00051,3.1556,0.81844,5.73664,0.43501,1.5514,0.01119,0.81943,0.4551,0.0,0.08546,0.29534,0.0,0.0,0.0,0.63188,0.0,0.90627,0.0,0.0,0.0,7
0.59004,0.01125,0.00969,0.92872,0.00037,2.79609,0.78089,5.48979,0.46485,0.96947,0.01185,0.76971,0.37116,0.0,0.06634,0.4068,0.0,0.0,0.0,0.4056,0.0,0.86368,0.0,0.0,0.0,7
0.59224,0.00927,0.01288,0.88316,0.00052,2.8819,0.75226,4.73533,0.51373,2.50176,0.01488,0.75903,0.36088,0.0,0.06311,0.33605,0.0,0.0,0.0,0.39031,0.0,0.95435,0.0,0.0,0.0,7
0.58968,0.00741,0.02186,0.8756,0.00041,3.2047,0.60712,3.868,0.43126,2.38046,0.01405,0.59382,0.44812,0.0,0.09014,0.35383,0.0,0.0,0.0,0.48691,0.0,0.93983,0.0,0.0,0.0,6
0.60433,0.00745,0.01002,0.80427,0.00039,4.02357,0.77092,4.27261,0.41891,2.90978,0.01485,0.72575,0.40186,0.0,0.0554,0.36659,0.0,0.0,0.0,0.39269,0.0,0.92933,0.0,0.0,0.0,7
0.55662,0.00972,0.009,0.91713,0.00058,3.38655,0.68353,6.99646,0.50453,3.21892,0.0173,0.66364,0.38471,0.0,0.08857,0.40021,0.0,0.0,0.0,0.39712,0.0,0.88034,0.0,0.0,0.0,7
0.60981,0.01113,0.01397,0.81513,0.00041,2.96274,0.79228,3.9167,0.47944,2.85583,0.01134,0.66621,0.38993,0.0,0.10412,0.38624,0.0,0.0,0.0,0.36549,0.0,0.93736,0.0,0.0,0.0,9
0.59694,0.01423,0.01571,0.82886,0.00039,3.89315,0.79866,4.97636,0.45773,2.58664,0.01517,0.66642,0.40444,0.0,0.11882,0.381,0.0,0.0,0.0,0.47825,0.0,0.88505,0.0,0.0,0.0,9
0.60236,0.01147,0.00984,0.91903,0.00046,3.40777,0.7958,5.52924,0.51109,2.8288,0.01539,0.9,0.38081,0.0,0.04822,0.2961,0.0,0.0,0.0,0.41547,0.0,0.86554,0.0,0.0,0.0,8
0.61385,0.01136,0.00803,0.79951,0.00053,4.15931,0.67305,5.38646,0.62662,2.70467,0.01469,0.59336,0.45834,0.0,0.04878,0.43927,0.0,0.0,0.0,0.28922,0.0,0.90672,0.0,0.0,0.0,8
0.60424,0.01138,0.00671,0.95541,0.00031,3.8572,0.74597,3.59482,0.48316,2.54278,0.01231,0.58809,0.37166,0.0,0.07913,0.31028,0.0,0.0,0.0,0.415,0.0,0.88614,0.0,0.0,0.0,9
