timestamp,image,model,variant,prompt,response,garbage_detected,classes_detected,inference_s,vram_mb
2026-04-22T12:34:06,close_distance_trash11.jpg,clip,openai/clip-vit-large-patch14,"zero-shot classification, threshold=0.25","no garbage, clean environment: 0.698 | trash pile: 0.149 | plastic bag: 0.088 | trash: 0.040 | plastic bottle: 0.016 | plastic wrapper: 0.008 | can: 0.001 | glass: 0.000",False,,0.369,1659.9
2026-04-22T12:34:06,close_distance_trash12.jpg,clip,openai/clip-vit-large-patch14,"zero-shot classification, threshold=0.25","no garbage, clean environment: 0.920 | trash pile: 0.045 | trash: 0.027 | plastic bag: 0.005 | plastic bottle: 0.001 | can: 0.001 | plastic wrapper: 0.000 | glass: 0.000",False,,0.016,1659.9
2026-04-22T12:34:06,close_distance_trash1286.jpg,clip,openai/clip-vit-large-patch14,"zero-shot classification, threshold=0.25","plastic bottle: 0.842 | plastic bag: 0.079 | no garbage, clean environment: 0.063 | plastic wrapper: 0.011 | trash pile: 0.003 | trash: 0.002 | can: 0.000 | glass: 0.000",True,plastic bottle,0.015,1659.9
2026-04-22T12:34:06,close_distance_trash1287.jpg,clip,openai/clip-vit-large-patch14,"zero-shot classification, threshold=0.25","plastic bottle: 0.518 | no garbage, clean environment: 0.300 | plastic bag: 0.144 | plastic wrapper: 0.020 | trash pile: 0.014 | trash: 0.003 | can: 0.001 | glass: 0.000",True,plastic bottle,0.018,1659.9
2026-04-22T12:34:06,close_distance_trash1288.jpg,clip,openai/clip-vit-large-patch14,"zero-shot classification, threshold=0.25","no garbage, clean environment: 0.341 | plastic bottle: 0.303 | plastic bag: 0.222 | plastic wrapper: 0.067 | trash pile: 0.055 | trash: 0.012 | can: 0.001 | glass: 0.000",True,plastic bottle,0.018,1659.9
2026-04-22T12:34:06,close_distance_trash1289.jpg,clip,openai/clip-vit-large-patch14,"zero-shot classification, threshold=0.25","no garbage, clean environment: 0.562 | plastic bag: 0.240 | plastic bottle: 0.096 | plastic wrapper: 0.075 | trash pile: 0.023 | trash: 0.003 | can: 0.001 | glass: 0.000",False,,0.021,1659.9
2026-04-22T12:34:06,close_distance_trash1290.jpg,clip,openai/clip-vit-large-patch14,"zero-shot classification, threshold=0.25","no garbage, clean environment: 0.434 | trash pile: 0.173 | plastic wrapper: 0.149 | plastic bag: 0.115 | plastic bottle: 0.088 | trash: 0.033 | can: 0.007 | glass: 0.000",False,,0.015,1659.9
2026-04-22T12:34:06,close_distance_trash1291.jpg,clip,openai/clip-vit-large-patch14,"zero-shot classification, threshold=0.25","plastic bottle: 0.872 | no garbage, clean environment: 0.078 | can: 0.019 | glass: 0.009 | trash pile: 0.008 | trash: 0.006 | plastic bag: 0.005 | plastic wrapper: 0.004",True,plastic bottle,0.016,1659.9
2026-04-22T12:34:06,close_distance_trash1292.jpg,clip,openai/clip-vit-large-patch14,"zero-shot classification, threshold=0.25","plastic bottle: 0.955 | plastic wrapper: 0.033 | plastic bag: 0.008 | can: 0.001 | no garbage, clean environment: 0.001 | trash: 0.001 | glass: 0.000 | trash pile: 0.000",True,plastic bottle,0.016,1659.9
2026-04-22T12:34:07,close_distance_trash1293.jpg,clip,openai/clip-vit-large-patch14,"zero-shot classification, threshold=0.25","plastic bottle: 0.897 | no garbage, clean environment: 0.042 | plastic bag: 0.036 | trash pile: 0.010 | plastic wrapper: 0.010 | trash: 0.002 | can: 0.001 | glass: 0.001",True,plastic bottle,0.03,1659.9
2026-04-22T12:34:07,close_distance_trash1296.jpg,clip,openai/clip-vit-large-patch14,"zero-shot classification, threshold=0.25","plastic bottle: 0.979 | plastic bag: 0.010 | plastic wrapper: 0.008 | no garbage, clean environment: 0.001 | trash: 0.000 | trash pile: 0.000 | can: 0.000 | glass: 0.000",True,plastic bottle,0.019,1659.9
2026-04-22T12:34:07,close_distance_trash1297.jpg,clip,openai/clip-vit-large-patch14,"zero-shot classification, threshold=0.25","plastic bag: 0.346 | plastic wrapper: 0.304 | plastic bottle: 0.231 | can: 0.083 | no garbage, clean environment: 0.031 | trash: 0.003 | glass: 0.002 | trash pile: 0.001",True,"plastic bag, plastic wrapper",0.016,1659.9
2026-04-22T12:34:07,close_distance_trash1298.jpg,clip,openai/clip-vit-large-patch14,"zero-shot classification, threshold=0.25","can: 0.959 | trash: 0.019 | plastic wrapper: 0.010 | trash pile: 0.006 | glass: 0.002 | plastic bag: 0.002 | no garbage, clean environment: 0.002 | plastic bottle: 0.001",True,can,0.018,1659.9
2026-04-22T12:34:07,close_distance_trash1299.jpg,clip,openai/clip-vit-large-patch14,"zero-shot classification, threshold=0.25","plastic bag: 0.352 | plastic bottle: 0.280 | no garbage, clean environment: 0.184 | plastic wrapper: 0.130 | trash pile: 0.048 | can: 0.003 | trash: 0.002 | glass: 0.001",True,"plastic bottle, plastic bag",0.015,1659.9
2026-04-22T12:34:07,close_distance_trash13.jpg,clip,openai/clip-vit-large-patch14,"zero-shot classification, threshold=0.25","plastic wrapper: 0.800 | plastic bottle: 0.078 | trash: 0.040 | trash pile: 0.029 | can: 0.027 | plastic bag: 0.020 | no garbage, clean environment: 0.004 | glass: 0.002",True,plastic wrapper,0.024,1659.9
2026-04-22T12:34:07,close_distance_trash1300.jpg,clip,openai/clip-vit-large-patch14,"zero-shot classification, threshold=0.25","no garbage, clean environment: 0.493 | trash pile: 0.214 | plastic bottle: 0.143 | can: 0.097 | trash: 0.044 | plastic wrapper: 0.006 | plastic bag: 0.003 | glass: 0.001",False,,0.017,1659.9
2026-04-22T12:34:07,close_distance_trash1301.jpg,clip,openai/clip-vit-large-patch14,"zero-shot classification, threshold=0.25","plastic bottle: 0.806 | trash pile: 0.049 | glass: 0.037 | no garbage, clean environment: 0.035 | plastic wrapper: 0.027 | trash: 0.026 | plastic bag: 0.018 | can: 0.003",True,plastic bottle,0.016,1659.9
2026-04-22T12:34:07,close_distance_trash1302.jpg,clip,openai/clip-vit-large-patch14,"zero-shot classification, threshold=0.25","no garbage, clean environment: 0.437 | can: 0.199 | trash pile: 0.188 | plastic bag: 0.136 | trash: 0.029 | plastic wrapper: 0.005 | plastic bottle: 0.004 | glass: 0.000",False,,0.022,1659.9
2026-04-22T12:34:07,close_distance_trash1303.jpg,clip,openai/clip-vit-large-patch14,"zero-shot classification, threshold=0.25","plastic bottle: 0.841 | can: 0.072 | plastic bag: 0.034 | plastic wrapper: 0.027 | no garbage, clean environment: 0.020 | trash pile: 0.003 | glass: 0.003 | trash: 0.002",True,plastic bottle,0.015,1659.9
2026-04-22T12:34:07,close_distance_trash1304.jpg,clip,openai/clip-vit-large-patch14,"zero-shot classification, threshold=0.25","plastic bottle: 0.504 | plastic bag: 0.283 | no garbage, clean environment: 0.145 | trash pile: 0.023 | trash: 0.021 | plastic wrapper: 0.013 | glass: 0.010 | can: 0.001",True,"plastic bottle, plastic bag",0.021,1659.9
2026-04-22T12:34:07,close_distance_trash16.jpg,clip,openai/clip-vit-large-patch14,"zero-shot classification, threshold=0.25","plastic bag: 0.726 | plastic wrapper: 0.268 | plastic bottle: 0.004 | glass: 0.002 | no garbage, clean environment: 0.000 | trash: 0.000 | trash pile: 0.000 | can: 0.000",True,"plastic bag, plastic wrapper",0.019,1659.9
2026-04-22T12:34:07,close_distance_trash17.jpg,clip,openai/clip-vit-large-patch14,"zero-shot classification, threshold=0.25","plastic wrapper: 0.955 | plastic bag: 0.041 | trash pile: 0.001 | can: 0.001 | trash: 0.001 | plastic bottle: 0.000 | no garbage, clean environment: 0.000 | glass: 0.000",True,plastic wrapper,0.017,1659.9
2026-04-22T12:34:07,close_distance_trash18.jpg,clip,openai/clip-vit-large-patch14,"zero-shot classification, threshold=0.25","plastic wrapper: 0.964 | can: 0.017 | plastic bag: 0.009 | trash: 0.004 | no garbage, clean environment: 0.003 | plastic bottle: 0.002 | trash pile: 0.001 | glass: 0.000",True,plastic wrapper,0.018,1659.9
2026-04-22T12:34:07,close_distance_trash20.jpg,clip,openai/clip-vit-large-patch14,"zero-shot classification, threshold=0.25","plastic wrapper: 0.683 | plastic bag: 0.147 | glass: 0.048 | plastic bottle: 0.045 | trash: 0.024 | trash pile: 0.019 | no garbage, clean environment: 0.019 | can: 0.014",True,plastic wrapper,0.015,1659.9
2026-04-22T12:34:07,close_distance_trash21.jpg,clip,openai/clip-vit-large-patch14,"zero-shot classification, threshold=0.25","trash: 0.361 | plastic wrapper: 0.207 | no garbage, clean environment: 0.177 | trash pile: 0.147 | glass: 0.051 | can: 0.051 | plastic bag: 0.004 | plastic bottle: 0.003",True,trash,0.024,1659.9
2026-04-22T12:34:07,close_distance_trash22.jpg,clip,openai/clip-vit-large-patch14,"zero-shot classification, threshold=0.25","can: 0.877 | trash pile: 0.047 | trash: 0.039 | no garbage, clean environment: 0.020 | plastic wrapper: 0.006 | plastic bottle: 0.006 | plastic bag: 0.003 | glass: 0.003",True,can,0.021,1659.9
2026-04-22T12:34:07,close_distance_trash23.jpg,clip,openai/clip-vit-large-patch14,"zero-shot classification, threshold=0.25","no garbage, clean environment: 0.343 | trash pile: 0.287 | trash: 0.099 | plastic bottle: 0.098 | plastic bag: 0.090 | plastic wrapper: 0.061 | can: 0.021 | glass: 0.000",True,trash pile,0.017,1659.9
2026-04-22T12:34:07,close_distance_trash24.jpg,clip,openai/clip-vit-large-patch14,"zero-shot classification, threshold=0.25","can: 0.771 | plastic wrapper: 0.105 | no garbage, clean environment: 0.070 | trash: 0.020 | trash pile: 0.017 | plastic bag: 0.014 | plastic bottle: 0.001 | glass: 0.001",True,can,0.016,1659.9
2026-04-22T12:34:07,close_distance_trash25.jpg,clip,openai/clip-vit-large-patch14,"zero-shot classification, threshold=0.25","plastic wrapper: 0.606 | can: 0.283 | trash: 0.051 | trash pile: 0.024 | no garbage, clean environment: 0.023 | plastic bottle: 0.009 | plastic bag: 0.003 | glass: 0.000",True,"can, plastic wrapper",0.019,1659.9
2026-04-22T12:34:07,close_distance_trash26.jpg,clip,openai/clip-vit-large-patch14,"zero-shot classification, threshold=0.25","plastic wrapper: 0.683 | plastic bag: 0.088 | no garbage, clean environment: 0.075 | can: 0.052 | plastic bottle: 0.052 | glass: 0.025 | trash pile: 0.013 | trash: 0.012",True,plastic wrapper,0.027,1659.9
2026-04-22T12:34:07,close_distance_trash27.jpg,clip,openai/clip-vit-large-patch14,"zero-shot classification, threshold=0.25","plastic bottle: 0.952 | plastic wrapper: 0.038 | plastic bag: 0.007 | no garbage, clean environment: 0.001 | glass: 0.000 | trash: 0.000 | can: 0.000 | trash pile: 0.000",True,plastic bottle,0.018,1659.9
2026-04-22T12:34:07,close_distance_trash28.jpg,clip,openai/clip-vit-large-patch14,"zero-shot classification, threshold=0.25","plastic wrapper: 0.880 | plastic bag: 0.088 | trash pile: 0.012 | plastic bottle: 0.011 | trash: 0.005 | no garbage, clean environment: 0.002 | can: 0.001 | glass: 0.000",True,plastic wrapper,0.015,1659.9
