image,n_gt,n_pred,n_matched,precision,recall,mean_iou,gt_classes,pred_classes,pred_boxes,inference_s
close_distance_trash1009.jpg,1,0,0,nan,0.0,0.0,container,,[],7.461
close_distance_trash101.jpg,1,1,0,0.0,0.0,0.0,container,trash,"[{""cls"": ""trash"", ""box"": [1.0, 0.9875, 1.0, 1.0]}]",1.495
close_distance_trash1022.jpg,18,14,1,7.1,5.6,0.863,"container, plastic, trash, trash_pile","container, plastic, trash_pile","[{""cls"": ""trash_pile"", ""box"": [0.0, 0.3812, 1.0, 1.0]}, {""cls"": ""container"", ""box"": [0.8031, 0.8625, 0.9969, 0.9875]}, {""cls"": ""plastic"", ""box"": [0.7609, 1.0, 0.8391, 1.0]}, {""cls"": ""container"", ""box"": [0.8297, 1.0, 0.9156, 1.0]}, {""cls"": ""container"", ""box"": [1.0, 1.0, 1.0, 1.0]}, {""cls"": ""plastic"", ""box"": [1.0, 0.8, 1.0, 0.8656]}, {""cls"": ""plastic"", ""box"": [0.8, 0.8766, 0.8672, 0.9875]}, {""cls"": ""plastic"", ""box"": [0.8344, 0.6312, 0.9031, 0.7109]}, {""cls"": ""plastic"", ""box"": [0.7406, 0.8078, 0.8031, 0.8547]}, {""cls"": ""plastic"", ""box"": [0.6797, 0.6937, 0.7469, 0.7469]}, {""cls"": ""plastic"", ""box"": [0.6469, 0.6578, 0.7, 0.6937]}, {""cls"": ""plastic"", ""box"": [0.6312, 0.7312, 0.6953, 0.7797]}, {""cls"": ""plastic"", ""box"": [0.6375, 0.7797, 0.6953, 0.8219]}, {""cls"": ""plastic"", ""box"": [0.6578, 0.8547, 0.7219, 0.8938]}]",22.032
close_distance_trash1031.jpg,2,0,0,nan,0.0,0.0,"container, plastic",,[],4.635
close_distance_trash1040.jpg,1,0,0,nan,0.0,0.0,container,,[],1.199
close_distance_trash105.jpg,1,0,0,nan,0.0,0.0,container,,[],1.639
close_distance_trash106.jpg,1,0,0,nan,0.0,0.0,plastic,,[],1.288
close_distance_trash1076.jpg,2,6,0,0.0,0.0,0.0,"metal, plastic","plastic, trash","[{""cls"": ""plastic"", ""box"": [0.3328, 0.1625, 0.975, 0.9969]}, {""cls"": ""trash"", ""box"": [1.0, 0.6719, 1.0, 0.9344]}, {""cls"": ""plastic"", ""box"": [0.8766, 0.9484, 0.9812, 1.0]}, {""cls"": ""plastic"", ""box"": [1.0, 0.3844, 1.0, 0.8016]}, {""cls"": ""plastic"", ""box"": [0.875, 0.9484, 0.9812, 1.0]}, {""cls"": ""plastic"", ""box"": [1.0, 0.6719, 1.0, 0.9344]}]",20.682
close_distance_trash11.jpg,1,1,0,0.0,0.0,0.0,trash_pile,trash_pile,"[{""cls"": ""trash_pile"", ""box"": [0.0, 0.8493, 1.0, 1.0]}]",1.297
close_distance_trash111.jpg,1,1,0,0.0,0.0,0.0,trash,trash,"[{""cls"": ""trash"", ""box"": [0.6766, 0.65, 0.8906, 1.0]}]",1.373
close_distance_trash112.jpg,12,0,0,nan,0.0,0.0,"container, metal, trash_pile",,[],1.279
close_distance_trash115.jpg,5,1,1,100.0,20.0,0.567,"plastic, trash_pile",trash_pile,"[{""cls"": ""trash_pile"", ""box"": [0.0, 0.1828, 1.0, 1.0]}]",1.408
close_distance_trash1201.jpg,1,0,0,nan,0.0,0.0,metal,,[],1.264
close_distance_trash1208.jpg,1,1,1,100.0,100.0,0.609,metal,metal,"[{""cls"": ""metal"", ""box"": [0.0406, 0.5844, 1.0, 1.0]}]",1.34
close_distance_trash1219.jpg,21,16,0,0.0,0.0,0.0,"container, metal, plastic, polystyrene, trash_pile",plastic,"[{""cls"": ""plastic"", ""box"": [0.5609, 0.4094, 0.65, 0.5234]}, {""cls"": ""plastic"", ""box"": [0.6891, 0.4031, 0.7422, 0.4766]}, {""cls"": ""plastic"", ""box"": [0.6969, 0.4578, 0.7859, 0.5328]}, {""cls"": ""plastic"", ""box"": [0.7859, 0.6734, 0.9297, 0.8438]}, {""cls"": ""plastic"", ""box"": [0.8531, 0.7641, 0.9, 0.85]}, {""cls"": ""plastic"", ""box"": [0.925, 0.7547, 1.0, 0.8359]}, {""cls"": ""plastic"", ""box"": [0.9594, 0.6797, 1.0, 0.7547]}, {""cls"": ""plastic"", ""box"": [0.9828, 0.6687, 1.0, 0.7422]}, {""cls"": ""plastic"", ""box"": [0.9844, 0.9922, 1.0, 1.0]}, {""cls"": ""plastic"", ""box"": [0.9812, 0.8938, 1.0, 0.9609]}, {""cls"": ""plastic"", ""box"": [0.9594, 0.8328, 1.0, 0.9078]}, {""cls"": ""plastic"", ""box"": [0.9844, 0.8047, 1.0, 0.85]}, {""cls"": ""plastic"", ""box"": [1.0, 0.7891, 1.0, 0.8297]}, {""cls"": ""plastic"", ""box"": [1.0, 0.7641, 1.0, 0.8047]}, {""cls"": ""plastic"", ""box"": [1.0, 0.7391, 1.0, 0.7891]}, {""cls"": ""plastic"", ""box"": [1.0, 0.7141, 1.0, 0.7641]}]",21.205
close_distance_trash1236.jpg,8,1,1,100.0,12.5,0.884,"plastic, polystyrene, trash, trash_pile",trash_pile,"[{""cls"": ""trash_pile"", ""box"": [0.0, 0.0, 1.0, 0.998]}]",1.573
close_distance_trash1240.jpg,6,1,1,100.0,16.7,1.0,"plastic, polystyrene, trash, trash_pile",trash_pile,"[{""cls"": ""trash_pile"", ""box"": [0.0, 0.0, 1.0, 1.0]}]",1.505
close_distance_trash125.jpg,1,1,0,0.0,0.0,0.0,trash,trash,"[{""cls"": ""trash"", ""box"": [0.7172, 1.0, 0.8156, 1.0]}]",1.398
