image,n_gt,n_pred,n_matched,precision,recall,mean_iou,gt_classes,pred_classes,pred_boxes,inference_s
close_distance_trash1009.jpg,1,2,1,50.0,100.0,0.815,container,"container, trash","[{""cls"": ""container"", ""box"": [0.3893, 0.3536, 0.6319, 0.6238]}, {""cls"": ""trash"", ""box"": [0.3893, 0.3536, 0.6319, 0.6238]}]",13.306
close_distance_trash101.jpg,1,0,0,nan,0.0,0.0,container,,[],3.273
close_distance_trash1022.jpg,18,0,0,nan,0.0,0.0,"container, plastic, trash, trash_pile",,[],0.263
close_distance_trash1031.jpg,2,3,1,33.3,50.0,0.969,"container, plastic","plastic, trash","[{""cls"": ""plastic"", ""box"": [0.1344, 0.2297, 0.5391, 0.6266]}, {""cls"": ""plastic"", ""box"": [0.5766, 0.3547, 0.7969, 0.8359]}, {""cls"": ""trash"", ""box"": [0.5813, 0.5609, 0.6641, 0.6953]}]",26.858
close_distance_trash1040.jpg,1,1,1,100.0,100.0,0.965,container,container,"[{""cls"": ""container"", ""box"": [0.1469, 0.5625, 0.825, 0.8547]}]",2.113
close_distance_trash105.jpg,1,0,0,nan,0.0,0.0,container,,[],2.017
close_distance_trash106.jpg,1,1,1,100.0,100.0,0.887,plastic,plastic,"[{""cls"": ""plastic"", ""box"": [0.6172, 0.4292, 0.7875, 0.675]}]",1.49
close_distance_trash1076.jpg,2,1,1,100.0,50.0,0.965,"metal, plastic",plastic,"[{""cls"": ""plastic"", ""box"": [0.2172, 0.1047, 0.6281, 0.6375]}]",1.272
close_distance_trash11.jpg,1,1,1,100.0,100.0,0.905,trash_pile,trash_pile,"[{""cls"": ""trash_pile"", ""box"": [0.0, 0.4474, 0.9762, 1.0]}]",1.308
close_distance_trash111.jpg,1,2,0,0.0,0.0,0.0,trash,"plastic, trash","[{""cls"": ""plastic"", ""box"": [0.4422, 0.2417, 0.5781, 0.6222]}, {""cls"": ""trash"", ""box"": [0.1797, 0.0, 1.0, 1.0]}]",2.58
close_distance_trash112.jpg,12,1,0,0.0,0.0,0.0,"container, metal, trash_pile",trash_pile,"[{""cls"": ""trash_pile"", ""box"": [0.0, 0.0, 0.9917, 1.0]}]",0.981
close_distance_trash115.jpg,5,2,1,50.0,20.0,0.948,"plastic, trash_pile","container, trash_pile","[{""cls"": ""trash_pile"", ""box"": [0.0, 0.1313, 1.0, 0.7031]}, {""cls"": ""container"", ""box"": [0.0, 0.1516, 1.0, 1.0]}]",1.81
close_distance_trash1201.jpg,1,1,0,0.0,0.0,0.0,metal,plastic,"[{""cls"": ""plastic"", ""box"": [0.5062, 0.4984, 0.7031, 0.7125]}]",1.61
close_distance_trash1208.jpg,1,0,0,nan,0.0,0.0,metal,,[],0.261
close_distance_trash1219.jpg,21,0,0,nan,0.0,0.0,"container, metal, plastic, polystyrene, trash_pile",,[],0.242
close_distance_trash1236.jpg,8,1,1,100.0,12.5,0.886,"plastic, polystyrene, trash, trash_pile",trash_pile,"[{""cls"": ""trash_pile"", ""box"": [0.0, 0.0, 1.0, 1.0]}]",1.398
close_distance_trash1240.jpg,6,2,1,50.0,16.7,1.0,"plastic, polystyrene, trash, trash_pile","trash, trash_pile","[{""cls"": ""trash_pile"", ""box"": [0.0, 0.0, 1.0, 1.0]}, {""cls"": ""trash"", ""box"": [0.0, 0.0, 1.0, 1.0]}]",2.25
close_distance_trash125.jpg,1,1,0,0.0,0.0,0.0,trash,polystyrene,"[{""cls"": ""polystyrene"", ""box"": [0.1047, 0.2917, 0.6328, 0.8187]}]",1.533
close_distance_trash1252.jpg,6,1,1,100.0,16.7,0.994,"container, plastic, trash_pile",trash_pile,"[{""cls"": ""trash_pile"", ""box"": [0.0, 0.0, 1.0, 0.9917]}]",1.611
close_distance_trash1254.jpg,5,1,1,100.0,20.0,0.789,"plastic, trash_pile",trash_pile,"[{""cls"": ""trash_pile"", ""box"": [0.0, 0.0, 1.0, 0.9917]}]",1.62
close_distance_trash1256.jpg,11,1,1,100.0,9.1,0.992,"plastic, trash_pile",trash_pile,"[{""cls"": ""trash_pile"", ""box"": [0.0, 0.0, 1.0, 0.9917]}]",1.659
close_distance_trash1257.jpg,9,1,1,100.0,11.1,0.694,"plastic, trash_pile",trash_pile,"[{""cls"": ""trash_pile"", ""box"": [0.0, 0.0, 1.0, 0.9917]}]",1.534
close_distance_trash1260.jpg,9,4,1,25.0,11.1,0.371,"plastic, trash_pile","container, plastic, trash, trash_pile","[{""cls"": ""trash_pile"", ""box"": [0.0, 0.3688, 1.0, 0.9917]}, {""cls"": ""container"", ""box"": [0.132, 0.0, 0.7734, 0.7604]}, {""cls"": ""plastic"", ""box"": [0.0328, 0.0, 0.468, 0.2031]}, {""cls"": ""trash"", ""box"": [0.0, 0.3688, 1.0, 0.9917]}]",4.66
