question_id,image,cls,label,pred,response,inference_s,vram_mb
1,close_distance_trash10.jpg,plastic wrapper,yes,yes,Yes,0.925,13848.4
2,close_distance_trash10.jpg,trash pile,yes,yes,Yes,0.168,13847.7
3,close_distance_trash10.jpg,trash,yes,yes,Yes,0.153,13846.5
4,close_distance_trash10.jpg,plastic bottle,no,yes,Yes,0.167,13847.7
5,close_distance_trash10.jpg,plastic bag,no,yes,Yes,0.156,13847.1
6,close_distance_trash10.jpg,can,no,yes,Yes,0.141,13845.9
7,close_distance_trash10.jpg,glass,no,yes,Yes,0.143,13845.9
8,close_distance_trash10.jpg,metal scrap,no,no,No,0.154,13847.1
9,close_distance_trash1006.jpg,plastic bag,yes,yes,Yes,0.168,13847.1
10,close_distance_trash1006.jpg,trash pile,yes,yes,Yes,0.177,13847.7
11,close_distance_trash1006.jpg,trash,no,yes,Yes,0.175,13846.5
12,close_distance_trash1006.jpg,plastic bottle,no,no,No,0.177,13847.7
13,close_distance_trash1006.jpg,plastic wrapper,no,yes,Yes,0.18,13847.1
14,close_distance_trash1006.jpg,can,no,no,No,0.188,13845.9
15,close_distance_trash1006.jpg,glass,no,no,No,0.175,13845.9
16,close_distance_trash1006.jpg,metal scrap,no,no,No,0.198,13847.1
17,close_distance_trash101.jpg,glass,yes,yes,Yes,0.14,13845.9
18,close_distance_trash101.jpg,trash,no,no,No,0.176,13846.5
19,close_distance_trash101.jpg,plastic bottle,no,yes,Yes,0.149,13847.7
20,close_distance_trash101.jpg,plastic wrapper,no,no,No,0.153,13847.1
21,close_distance_trash101.jpg,plastic bag,no,no,No,0.154,13847.1
22,close_distance_trash101.jpg,can,no,yes,Yes,0.158,13845.9
23,close_distance_trash101.jpg,trash pile,no,no,No,0.131,13847.7
24,close_distance_trash101.jpg,metal scrap,no,yes,Yes,0.137,13847.1
25,close_distance_trash1019.jpg,plastic bottle,yes,yes,Yes,0.245,13847.7
26,close_distance_trash1019.jpg,trash,no,yes,Yes,0.29,13846.5
27,close_distance_trash1019.jpg,plastic wrapper,no,no,No,0.256,13847.1
28,close_distance_trash1019.jpg,plastic bag,no,no,No,0.224,13847.1
29,close_distance_trash1019.jpg,can,no,yes,Yes,0.256,13845.9
30,close_distance_trash1019.jpg,trash pile,no,no,No,0.227,13847.7
31,close_distance_trash1019.jpg,glass,no,no,No,0.238,13845.9
32,close_distance_trash1019.jpg,metal scrap,no,no,No,0.236,13847.1
33,close_distance_trash102.jpg,plastic wrapper,yes,yes,Yes,0.153,13847.1
34,close_distance_trash102.jpg,trash,yes,no,No,0.131,13846.5
35,close_distance_trash102.jpg,plastic bottle,no,no,No,0.143,13847.7
36,close_distance_trash102.jpg,plastic bag,no,no,No,0.139,13847.1
37,close_distance_trash102.jpg,can,no,no,No,0.155,13845.9
38,close_distance_trash102.jpg,trash pile,no,no,No,0.155,13847.7
39,close_distance_trash102.jpg,glass,no,no,No,0.144,13845.9
40,close_distance_trash102.jpg,metal scrap,no,no,No,0.147,13847.1
41,close_distance_trash1022.jpg,plastic bottle,yes,yes,Yes,0.14,13847.7
42,close_distance_trash1022.jpg,trash pile,yes,yes,Yes,0.14,13847.7
43,close_distance_trash1022.jpg,trash,yes,yes,Yes,0.151,13846.5
44,close_distance_trash1022.jpg,plastic wrapper,no,yes,Yes,0.153,13847.1
45,close_distance_trash1022.jpg,plastic bag,no,yes,Yes,0.141,13847.1
46,close_distance_trash1022.jpg,can,no,yes,Yes,0.147,13845.9
47,close_distance_trash1022.jpg,glass,no,yes,Yes,0.145,13845.9
48,close_distance_trash1022.jpg,metal scrap,no,yes,Yes,0.139,13847.1
49,close_distance_trash1031.jpg,plastic bottle,yes,yes,Yes,0.133,13847.7
50,close_distance_trash1031.jpg,plastic bag,yes,yes,Yes,0.142,13847.1
51,close_distance_trash1031.jpg,trash,no,yes,Yes,0.14,13846.5
52,close_distance_trash1031.jpg,plastic wrapper,no,yes,Yes,0.132,13847.1
53,close_distance_trash1031.jpg,can,no,yes,Yes,0.139,13845.9
54,close_distance_trash1031.jpg,trash pile,no,no,No,0.15,13847.7
55,close_distance_trash1031.jpg,glass,no,yes,Yes,0.133,13845.9
56,close_distance_trash1031.jpg,metal scrap,no,no,No,0.136,13847.1
57,close_distance_trash104.jpg,plastic bag,yes,yes,Yes,0.135,13847.1
58,close_distance_trash104.jpg,trash,no,yes,Yes,0.153,13846.5
59,close_distance_trash104.jpg,plastic bottle,no,no,No,0.137,13847.7
60,close_distance_trash104.jpg,plastic wrapper,no,yes,Yes,0.13,13847.1
61,close_distance_trash104.jpg,can,no,no,No,0.152,13845.9
62,close_distance_trash104.jpg,trash pile,no,yes,Yes,0.135,13847.7
63,close_distance_trash104.jpg,glass,no,no,No,0.14,13845.9
64,close_distance_trash104.jpg,metal scrap,no,no,No,0.155,13847.1
65,close_distance_trash1047.jpg,can,yes,yes,Yes,0.134,13845.9
66,close_distance_trash1047.jpg,trash,no,yes,Yes,0.137,13846.5
67,close_distance_trash1047.jpg,plastic bottle,no,yes,Yes,0.137,13847.7
68,close_distance_trash1047.jpg,plastic wrapper,no,yes,Yes,0.138,13847.1
69,close_distance_trash1047.jpg,plastic bag,no,no,No,0.137,13847.1
70,close_distance_trash1047.jpg,trash pile,no,yes,Yes,0.135,13847.7
71,close_distance_trash1047.jpg,glass,no,no,No,0.158,13845.9
72,close_distance_trash1047.jpg,metal scrap,no,yes,Yes,0.152,13847.1
73,close_distance_trash105.jpg,plastic bottle,yes,no,No,0.148,13847.7
74,close_distance_trash105.jpg,trash,no,no,No,0.166,13846.5
75,close_distance_trash105.jpg,plastic wrapper,no,yes,Yes,0.145,13847.1
76,close_distance_trash105.jpg,plastic bag,no,no,No,0.147,13847.1
77,close_distance_trash105.jpg,can,no,no,No,0.143,13845.9
78,close_distance_trash105.jpg,trash pile,no,no,No,0.148,13847.7
79,close_distance_trash105.jpg,glass,no,no,No,0.137,13845.9
80,close_distance_trash105.jpg,metal scrap,no,no,No,0.141,13847.1
81,close_distance_trash106.jpg,plastic bag,yes,yes,Yes,0.141,13847.1
82,close_distance_trash106.jpg,trash,no,yes,Yes,0.139,13846.5
83,close_distance_trash106.jpg,plastic bottle,no,yes,Yes,0.144,13847.7
84,close_distance_trash106.jpg,plastic wrapper,no,yes,Yes,0.133,13847.1
85,close_distance_trash106.jpg,can,no,no,No,0.139,13845.9
86,close_distance_trash106.jpg,trash pile,no,yes,Yes,0.149,13847.7
87,close_distance_trash106.jpg,glass,no,no,No,0.147,13845.9
88,close_distance_trash106.jpg,metal scrap,no,no,No,0.141,13847.1
89,close_distance_trash1062.jpg,plastic bottle,yes,yes,Yes,0.158,13847.7
90,close_distance_trash1062.jpg,trash pile,yes,yes,Yes,0.14,13847.7
91,close_distance_trash1062.jpg,trash,no,yes,Yes,0.144,13846.5
92,close_distance_trash1062.jpg,plastic wrapper,no,yes,Yes,0.137,13847.1
93,close_distance_trash1062.jpg,plastic bag,no,yes,Yes,0.135,13847.1
94,close_distance_trash1062.jpg,can,no,yes,Yes,0.134,13845.9
95,close_distance_trash1062.jpg,glass,no,yes,Yes,0.137,13845.9
96,close_distance_trash1062.jpg,metal scrap,no,yes,Yes,0.146,13847.1
97,close_distance_trash1097.jpg,plastic bottle,yes,yes,Yes,0.136,13847.7
98,close_distance_trash1097.jpg,trash,no,yes,Yes,0.145,13846.5
99,close_distance_trash1097.jpg,plastic wrapper,no,yes,Yes,0.141,13847.1
100,close_distance_trash1097.jpg,plastic bag,no,yes,Yes,0.143,13847.1
101,close_distance_trash1097.jpg,can,no,no,No,0.141,13845.9
102,close_distance_trash1097.jpg,trash pile,no,no,No,0.139,13847.7
103,close_distance_trash1097.jpg,glass,no,yes,Yes,0.146,13845.9
104,close_distance_trash1097.jpg,metal scrap,no,no,No,0.137,13847.1
105,close_distance_trash11.jpg,trash pile,yes,yes,Yes,0.135,13847.7
106,close_distance_trash11.jpg,trash,no,yes,Yes,0.164,13846.5
107,close_distance_trash11.jpg,plastic bottle,no,yes,Yes,0.135,13847.7
108,close_distance_trash11.jpg,plastic wrapper,no,yes,Yes,0.167,13847.1
109,close_distance_trash11.jpg,plastic bag,no,yes,Yes,0.129,13847.1
110,close_distance_trash11.jpg,can,no,yes,Yes,0.142,13845.9
111,close_distance_trash11.jpg,glass,no,no,No,0.136,13845.9
112,close_distance_trash11.jpg,metal scrap,no,no,No,0.139,13847.1
113,close_distance_trash1100.jpg,plastic bag,yes,yes,Yes,0.14,13847.1
114,close_distance_trash1100.jpg,trash,no,yes,Yes,0.132,13846.5
115,close_distance_trash1100.jpg,plastic bottle,no,no,No,0.143,13847.7
116,close_distance_trash1100.jpg,plastic wrapper,no,yes,Yes,0.141,13847.1
117,close_distance_trash1100.jpg,can,no,no,No,0.135,13845.9
118,close_distance_trash1100.jpg,trash pile,no,no,No,0.153,13847.7
119,close_distance_trash1100.jpg,glass,no,no,No,0.133,13845.9
120,close_distance_trash1100.jpg,metal scrap,no,no,No,0.137,13847.1
121,close_distance_trash1109.jpg,trash pile,yes,yes,Yes,0.154,13847.7
122,close_distance_trash1109.jpg,trash,yes,yes,Yes,0.162,13846.5
123,close_distance_trash1109.jpg,plastic bottle,no,yes,Yes,0.154,13847.7
124,close_distance_trash1109.jpg,plastic wrapper,no,yes,Yes,0.166,13847.1
125,close_distance_trash1109.jpg,plastic bag,no,yes,Yes,0.161,13847.1
126,close_distance_trash1109.jpg,can,no,yes,Yes,0.165,13845.9
127,close_distance_trash1109.jpg,glass,no,yes,Yes,0.202,13845.9
128,close_distance_trash1109.jpg,metal scrap,no,yes,Yes,0.156,13847.1
129,close_distance_trash1122.jpg,trash,yes,yes,Yes,0.168,13846.5
130,close_distance_trash1122.jpg,plastic bottle,no,yes,Yes,0.169,13847.7
131,close_distance_trash1122.jpg,plastic wrapper,no,yes,Yes,0.177,13847.1
132,close_distance_trash1122.jpg,plastic bag,no,yes,Yes,0.183,13847.1
