question_id,image,cls,label,pred,response,inference_s,vram_mb
1,close_distance_trash10.jpg,plastic wrapper,yes,yes,Yes,0.911,13848.4
2,close_distance_trash10.jpg,trash pile,yes,yes,Yes,0.133,13847.7
3,close_distance_trash10.jpg,trash,yes,yes,Yes,0.136,13846.5
4,close_distance_trash10.jpg,plastic bag,no,yes,Yes,0.151,13847.1
5,close_distance_trash10.jpg,glass,no,yes,Yes,0.13,13845.9
6,close_distance_trash10.jpg,can,no,yes,Yes,0.135,13845.9
7,close_distance_trash10.jpg,metal scrap,no,no,No,0.127,13847.1
8,close_distance_trash10.jpg,plastic bottle,no,yes,Yes,0.125,13847.7
9,close_distance_trash1006.jpg,plastic bag,yes,yes,Yes,0.153,13847.1
10,close_distance_trash1006.jpg,trash pile,yes,yes,Yes,0.163,13847.7
11,close_distance_trash1006.jpg,metal scrap,no,no,No,0.145,13847.1
12,close_distance_trash1006.jpg,plastic bottle,no,no,No,0.151,13847.7
13,close_distance_trash1006.jpg,can,no,no,No,0.156,13845.9
14,close_distance_trash1006.jpg,plastic wrapper,no,yes,Yes,0.153,13847.1
15,close_distance_trash1006.jpg,trash,no,yes,Yes,0.143,13846.5
16,close_distance_trash1006.jpg,glass,no,no,No,0.162,13845.9
17,close_distance_trash101.jpg,glass,yes,yes,Yes,0.131,13845.9
18,close_distance_trash101.jpg,metal scrap,no,yes,Yes,0.145,13847.1
19,close_distance_trash101.jpg,can,no,yes,Yes,0.124,13845.9
20,close_distance_trash101.jpg,plastic bag,no,no,No,0.128,13847.1
21,close_distance_trash101.jpg,plastic bottle,no,yes,Yes,0.129,13847.7
22,close_distance_trash101.jpg,plastic wrapper,no,no,No,0.144,13847.1
23,close_distance_trash101.jpg,trash,no,no,No,0.133,13846.5
24,close_distance_trash101.jpg,trash pile,no,no,No,0.136,13847.7
25,close_distance_trash1019.jpg,plastic bottle,yes,yes,Yes,0.233,13847.7
26,close_distance_trash1019.jpg,metal scrap,no,no,No,0.277,13847.1
27,close_distance_trash1019.jpg,plastic bag,no,no,No,0.235,13847.1
28,close_distance_trash1019.jpg,plastic wrapper,no,no,No,0.242,13847.1
29,close_distance_trash1019.jpg,can,no,yes,Yes,0.253,13845.9
30,close_distance_trash1019.jpg,trash pile,no,no,No,0.246,13847.7
31,close_distance_trash1019.jpg,trash,no,yes,Yes,0.252,13846.5
32,close_distance_trash1019.jpg,glass,no,no,No,0.244,13845.9
33,close_distance_trash102.jpg,plastic wrapper,yes,yes,Yes,0.14,13847.1
34,close_distance_trash102.jpg,trash,yes,no,No,0.143,13846.5
35,close_distance_trash102.jpg,can,no,no,No,0.145,13845.9
36,close_distance_trash102.jpg,trash pile,no,no,No,0.127,13847.7
37,close_distance_trash102.jpg,plastic bottle,no,no,No,0.142,13847.7
38,close_distance_trash102.jpg,plastic bag,no,no,No,0.125,13847.1
39,close_distance_trash102.jpg,glass,no,no,No,0.148,13845.9
40,close_distance_trash102.jpg,metal scrap,no,no,No,0.129,13847.1
41,close_distance_trash1022.jpg,plastic bottle,yes,yes,Yes,0.149,13847.7
42,close_distance_trash1022.jpg,trash pile,yes,yes,Yes,0.148,13847.7
43,close_distance_trash1022.jpg,trash,yes,yes,Yes,0.128,13846.5
44,close_distance_trash1022.jpg,can,no,yes,Yes,0.13,13845.9
45,close_distance_trash1022.jpg,metal scrap,no,yes,Yes,0.152,13847.1
46,close_distance_trash1022.jpg,glass,no,yes,Yes,0.132,13845.9
47,close_distance_trash1022.jpg,plastic bag,no,yes,Yes,0.152,13847.1
48,close_distance_trash1022.jpg,plastic wrapper,no,yes,Yes,0.132,13847.1
49,close_distance_trash1031.jpg,plastic bottle,yes,yes,Yes,0.14,13847.7
50,close_distance_trash1031.jpg,plastic bag,yes,yes,Yes,0.141,13847.1
