question_id,image,cls,label,pred,response,inference_s,vram_mb
1,close_distance_trash10.jpg,plastic wrapper,yes,yes,yes,0.943,4229.0
2,close_distance_trash10.jpg,trash pile,yes,yes,yes,0.287,4229.0
3,close_distance_trash10.jpg,trash,yes,yes,yes,0.195,4229.0
4,close_distance_trash10.jpg,plastic bottle,no,no,no,0.209,4229.0
5,close_distance_trash10.jpg,plastic bag,no,yes,yes,0.185,4229.0
6,close_distance_trash10.jpg,can,no,no,no,0.219,4229.0
7,close_distance_trash10.jpg,glass,no,no,no,0.187,4229.0
8,close_distance_trash10.jpg,metal scrap,no,no,no,0.196,4229.0
9,close_distance_trash1006.jpg,plastic bag,yes,yes,yes,0.218,4229.0
10,close_distance_trash1006.jpg,trash pile,yes,yes,yes,0.272,4229.0
11,close_distance_trash1006.jpg,trash,no,yes,yes,0.226,4229.0
12,close_distance_trash1006.jpg,plastic wrapper,no,yes,yes,0.251,4229.0
13,close_distance_trash1006.jpg,plastic bottle,no,no,no,0.216,4229.0
14,close_distance_trash1006.jpg,can,no,no,no,0.229,4229.0
15,close_distance_trash1006.jpg,metal scrap,no,yes,yes,0.239,4229.0
16,close_distance_trash1006.jpg,glass,no,no,no,0.228,4229.0
17,close_distance_trash101.jpg,glass,yes,no,no,0.21,4229.0
18,close_distance_trash101.jpg,trash,no,yes,yes,0.186,4229.0
19,close_distance_trash101.jpg,plastic bottle,no,no,no,0.218,4229.0
20,close_distance_trash101.jpg,can,no,no,no,0.178,4229.0
21,close_distance_trash101.jpg,plastic wrapper,no,no,no,0.177,4229.0
22,close_distance_trash101.jpg,trash pile,no,no,no,0.184,4229.0
23,close_distance_trash101.jpg,metal scrap,no,yes,yes,0.198,4229.0
24,close_distance_trash101.jpg,plastic bag,no,no,no,0.198,4229.0
25,close_distance_trash1019.jpg,plastic bottle,yes,yes,yes,0.444,4293.1
26,close_distance_trash1019.jpg,trash,no,yes,yes,0.461,4293.1
27,close_distance_trash1019.jpg,can,no,no,no,0.464,4293.1
28,close_distance_trash1019.jpg,trash pile,no,yes,yes,0.429,4293.1
29,close_distance_trash1019.jpg,plastic wrapper,no,yes,yes,0.446,4293.1
30,close_distance_trash1019.jpg,glass,no,no,no,0.445,4293.1
31,close_distance_trash1019.jpg,plastic bag,no,no,no,0.42,4293.1
32,close_distance_trash1019.jpg,metal scrap,no,yes,yes,0.443,4293.1
33,close_distance_trash102.jpg,plastic wrapper,yes,yes,yes,0.183,4229.0
34,close_distance_trash102.jpg,trash,yes,yes,yes,0.195,4229.0
35,close_distance_trash102.jpg,plastic bottle,no,no,no,0.194,4229.0
36,close_distance_trash102.jpg,plastic bag,no,yes,yes,0.251,4229.0
37,close_distance_trash102.jpg,trash pile,no,yes,yes,0.189,4229.0
38,close_distance_trash102.jpg,can,no,no,no,0.217,4229.0
39,close_distance_trash102.jpg,glass,no,no,no,0.192,4229.0
40,close_distance_trash102.jpg,metal scrap,no,yes,yes,0.192,4229.0
41,close_distance_trash1022.jpg,plastic bottle,yes,yes,yes,0.188,4244.7
42,close_distance_trash1022.jpg,trash pile,yes,yes,yes,0.184,4244.7
43,close_distance_trash1022.jpg,trash,yes,yes,yes,0.185,4244.7
44,close_distance_trash1022.jpg,plastic wrapper,no,yes,yes,0.192,4244.7
45,close_distance_trash1022.jpg,plastic bag,no,yes,yes,0.216,4244.7
46,close_distance_trash1022.jpg,can,no,no,no,0.176,4244.7
47,close_distance_trash1022.jpg,glass,no,no,no,0.178,4244.7
48,close_distance_trash1022.jpg,metal scrap,no,yes,yes,0.176,4244.7
49,close_distance_trash1031.jpg,plastic bottle,yes,yes,yes,0.216,4244.7
50,close_distance_trash1031.jpg,plastic bag,yes,yes,yes,0.183,4244.7
51,close_distance_trash1031.jpg,trash,no,yes,yes,0.191,4244.7
52,close_distance_trash1031.jpg,trash pile,no,yes,yes,0.185,4244.7
53,close_distance_trash1031.jpg,plastic wrapper,no,yes,yes,0.179,4244.7
