question_id,image,cls,label,pred,response,inference_s,vram_mb
1,close_distance_trash10.jpg,plastic wrapper,yes,yes,Yes.,1.003,7234.4
2,close_distance_trash10.jpg,trash pile,yes,yes,Yes.,0.305,7235.6
3,close_distance_trash10.jpg,trash,yes,yes,Yes.,0.255,7235.6
4,close_distance_trash10.jpg,plastic bottle,no,no,No,0.225,7235.6
5,close_distance_trash10.jpg,plastic bag,no,yes,Yes.,0.257,7235.6
6,close_distance_trash10.jpg,can,no,yes,Yes.,0.283,7235.6
7,close_distance_trash10.jpg,glass,no,no,No,0.228,7235.6
8,close_distance_trash10.jpg,metal scrap,no,no,No.,0.268,7235.6
9,close_distance_trash1006.jpg,plastic bag,yes,yes,Yes.,0.532,7555.9
10,close_distance_trash1006.jpg,trash pile,yes,yes,Yes.,0.583,7555.0
11,close_distance_trash1006.jpg,trash,no,yes,Yes.,0.572,7552.7
12,close_distance_trash1006.jpg,plastic wrapper,no,yes,Yes.,0.565,7555.0
13,close_distance_trash1006.jpg,plastic bottle,no,yes,Yes.,0.572,7555.0
14,close_distance_trash1006.jpg,can,no,no,No.,0.564,7552.7
15,close_distance_trash1006.jpg,metal scrap,no,no,No.,0.597,7555.0
16,close_distance_trash1006.jpg,glass,no,no,No.,0.552,7552.7
17,close_distance_trash101.jpg,glass,yes,no,no,0.256,7248.5
18,close_distance_trash101.jpg,trash,no,yes,Yes.,0.291,7248.5
19,close_distance_trash101.jpg,plastic bottle,no,no,No,0.244,7248.5
20,close_distance_trash101.jpg,can,no,no,no,0.211,7248.5
21,close_distance_trash101.jpg,plastic wrapper,no,yes,yes,0.217,7248.5
22,close_distance_trash101.jpg,trash pile,no,no,No,0.208,7248.5
23,close_distance_trash101.jpg,metal scrap,no,yes,Yes.,0.273,7248.5
24,close_distance_trash101.jpg,plastic bag,no,no,no,0.22,7248.5
25,close_distance_trash1019.jpg,plastic bottle,yes,yes,Yes.,9.573,22993.9
26,close_distance_trash1019.jpg,trash,no,yes,Yes.,9.478,22991.0
27,close_distance_trash1019.jpg,can,no,no,No.,9.555,22991.0
28,close_distance_trash1019.jpg,trash pile,no,no,No.,9.469,22993.9
29,close_distance_trash1019.jpg,plastic wrapper,no,no,No.,9.529,22993.9
30,close_distance_trash1019.jpg,glass,no,no,No.,9.732,22991.0
31,close_distance_trash1019.jpg,plastic bag,no,no,No,9.401,22993.9
32,close_distance_trash1019.jpg,metal scrap,no,no,No,9.436,22993.9
33,close_distance_trash102.jpg,plastic wrapper,yes,yes,Yes.,0.329,7248.5
34,close_distance_trash102.jpg,trash,yes,yes,Yes.,0.335,7248.5
35,close_distance_trash102.jpg,plastic bottle,no,no,No,0.276,7248.5
36,close_distance_trash102.jpg,plastic bag,no,no,No,0.287,7248.5
37,close_distance_trash102.jpg,trash pile,no,yes,Yes.,0.33,7248.5
38,close_distance_trash102.jpg,can,no,no,No,0.298,7248.5
39,close_distance_trash102.jpg,glass,no,no,No,0.269,7248.5
40,close_distance_trash102.jpg,metal scrap,no,no,No,0.275,7248.5
41,close_distance_trash1022.jpg,plastic bottle,yes,yes,Yes.,0.329,7276.4
42,close_distance_trash1022.jpg,trash pile,yes,yes,Yes.,0.35,7276.4
43,close_distance_trash1022.jpg,trash,yes,yes,Yes.,0.378,7276.4
44,close_distance_trash1022.jpg,plastic wrapper,no,yes,Yes.,0.325,7276.4
45,close_distance_trash1022.jpg,plastic bag,no,yes,Yes.,0.297,7276.4
46,close_distance_trash1022.jpg,can,no,yes,Yes.,0.287,7276.4
47,close_distance_trash1022.jpg,glass,no,no,No.,0.269,7276.4
48,close_distance_trash1022.jpg,metal scrap,no,no,No.,0.339,7276.4
49,close_distance_trash1031.jpg,plastic bottle,yes,yes,Yes.,0.308,7276.4
