question_id,image,cls,label,pred,response,inference_s,vram_mb
1,close_distance_trash10.jpg,plastic wrapper,yes,yes,Yes.,1.164,1324.2
2,close_distance_trash10.jpg,trash pile,yes,yes,Yes.,0.604,1324.7
3,close_distance_trash10.jpg,trash,yes,yes,Yes.,0.575,1324.7
4,close_distance_trash10.jpg,plastic bag,no,yes,Yes.,0.537,1324.7
5,close_distance_trash10.jpg,glass,no,no,No.,0.559,1324.7
6,close_distance_trash10.jpg,can,no,no,No.,0.566,1324.7
7,close_distance_trash10.jpg,metal scrap,no,yes,Yes.,0.552,1324.7
8,close_distance_trash10.jpg,plastic bottle,no,yes,Yes.,0.549,1324.7
9,close_distance_trash1006.jpg,plastic bag,yes,yes,Yes.,0.613,1324.7
10,close_distance_trash1006.jpg,trash pile,yes,yes,Yes.,0.562,1324.7
11,close_distance_trash1006.jpg,metal scrap,no,no,No.,0.582,1324.7
12,close_distance_trash1006.jpg,plastic bottle,no,no,No.,0.561,1324.7
13,close_distance_trash1006.jpg,can,no,no,No.,0.559,1324.7
14,close_distance_trash1006.jpg,plastic wrapper,no,yes,Yes.,0.554,1324.7
15,close_distance_trash1006.jpg,trash,no,yes,Yes.,0.597,1324.7
16,close_distance_trash1006.jpg,glass,no,no,No.,0.63,1324.7
17,close_distance_trash101.jpg,glass,yes,yes,Yes.,0.567,1324.7
18,close_distance_trash101.jpg,metal scrap,no,yes,Yes.,0.522,1325.3
19,close_distance_trash101.jpg,can,no,no,No.,0.531,1324.7
20,close_distance_trash101.jpg,plastic bag,no,no,No.,0.549,1325.3
21,close_distance_trash101.jpg,plastic bottle,no,no,No.,0.536,1325.3
22,close_distance_trash101.jpg,plastic wrapper,no,no,No.,0.528,1325.3
23,close_distance_trash101.jpg,trash,no,no,No.,0.534,1324.7
24,close_distance_trash101.jpg,trash pile,no,no,No.,0.552,1325.3
25,close_distance_trash1019.jpg,plastic bottle,yes,yes,Yes.,0.739,1324.7
26,close_distance_trash1019.jpg,metal scrap,no,no,No.,0.659,1324.7
27,close_distance_trash1019.jpg,plastic bag,no,no,No.,0.681,1324.7
28,close_distance_trash1019.jpg,plastic wrapper,no,no,No.,0.667,1324.7
29,close_distance_trash1019.jpg,can,no,yes,Yes.,0.734,1324.7
30,close_distance_trash1019.jpg,trash pile,no,no,No.,0.72,1324.7
31,close_distance_trash1019.jpg,trash,no,yes,Yes.,0.693,1324.7
32,close_distance_trash1019.jpg,glass,no,no,No.,0.704,1324.7
33,close_distance_trash102.jpg,plastic wrapper,yes,yes,Yes.,0.527,1325.3
34,close_distance_trash102.jpg,trash,yes,no,No.,0.527,1324.7
35,close_distance_trash102.jpg,can,no,no,No.,0.555,1324.7
36,close_distance_trash102.jpg,trash pile,no,no,No.,0.507,1325.3
37,close_distance_trash102.jpg,plastic bottle,no,no,No.,0.433,1325.3
38,close_distance_trash102.jpg,plastic bag,no,no,No.,0.426,1325.3
39,close_distance_trash102.jpg,glass,no,no,No.,0.428,1324.7
40,close_distance_trash102.jpg,metal scrap,no,no,No.,0.452,1325.3
41,close_distance_trash1022.jpg,plastic bottle,yes,yes,Yes.,0.558,1428.8
42,close_distance_trash1022.jpg,trash pile,yes,yes,Yes.,0.547,1428.8
43,close_distance_trash1022.jpg,trash,yes,yes,Yes.,0.578,1428.8
44,close_distance_trash1022.jpg,can,no,no,No.,0.572,1428.8
45,close_distance_trash1022.jpg,metal scrap,no,yes,Yes.,0.577,1428.8
46,close_distance_trash1022.jpg,glass,no,no,No.,0.621,1428.8
47,close_distance_trash1022.jpg,plastic bag,no,no,No.,0.561,1428.8
48,close_distance_trash1022.jpg,plastic wrapper,no,yes,Yes.,0.571,1428.8
49,close_distance_trash1031.jpg,plastic bottle,yes,yes,Yes.,0.552,1428.8
50,close_distance_trash1031.jpg,plastic bag,yes,yes,Yes.,0.581,1428.8
51,close_distance_trash1031.jpg,trash pile,no,yes,Yes.,0.571,1428.8
52,close_distance_trash1031.jpg,glass,no,no,No.,0.589,1428.8
53,close_distance_trash1031.jpg,can,no,no,No.,0.583,1428.8
54,close_distance_trash1031.jpg,metal scrap,no,no,No.,0.6,1428.8
55,close_distance_trash1031.jpg,plastic wrapper,no,yes,Yes.,0.565,1428.8
56,close_distance_trash1031.jpg,trash,no,yes,Yes.,0.541,1428.8
57,close_distance_trash104.jpg,plastic bag,yes,yes,Yes.,0.435,1325.3
58,close_distance_trash104.jpg,trash pile,no,yes,Yes.,0.405,1325.3
59,close_distance_trash104.jpg,metal scrap,no,yes,Yes.,0.438,1325.3
60,close_distance_trash104.jpg,trash,no,yes,Yes.,0.452,1324.7
61,close_distance_trash104.jpg,plastic wrapper,no,yes,Yes.,0.456,1325.3
62,close_distance_trash104.jpg,plastic bottle,no,no,No.,0.447,1325.3
63,close_distance_trash104.jpg,can,no,no,No.,0.423,1324.7
64,close_distance_trash104.jpg,glass,no,no,No.,0.452,1324.7
65,close_distance_trash1047.jpg,can,yes,no,No.,0.601,1428.8
66,close_distance_trash1047.jpg,metal scrap,no,no,No.,0.554,1428.8
67,close_distance_trash1047.jpg,glass,no,no,No.,0.603,1428.8
68,close_distance_trash1047.jpg,plastic bottle,no,no,No.,0.586,1428.8
69,close_distance_trash1047.jpg,trash pile,no,no,No.,0.591,1428.8
70,close_distance_trash1047.jpg,plastic wrapper,no,yes,Yes.,0.558,1428.8
71,close_distance_trash1047.jpg,trash,no,yes,Yes.,0.539,1428.8
72,close_distance_trash1047.jpg,plastic bag,no,no,No.,0.564,1428.8
73,close_distance_trash105.jpg,plastic bottle,yes,no,No.,0.427,1325.3
74,close_distance_trash105.jpg,trash,no,no,No.,0.467,1324.7
75,close_distance_trash105.jpg,can,no,no,No.,0.446,1324.7
76,close_distance_trash105.jpg,plastic bag,no,no,No.,0.463,1325.3
77,close_distance_trash105.jpg,trash pile,no,no,No.,0.472,1325.3
78,close_distance_trash105.jpg,metal scrap,no,no,No.,0.457,1325.3
79,close_distance_trash105.jpg,glass,no,no,No.,0.484,1324.7
80,close_distance_trash105.jpg,plastic wrapper,no,no,No.,0.453,1325.3
81,close_distance_trash106.jpg,plastic bag,yes,yes,Yes.,0.461,1324.7
82,close_distance_trash106.jpg,glass,no,no,No.,0.484,1324.7
83,close_distance_trash106.jpg,plastic bottle,no,no,No.,0.446,1324.7
84,close_distance_trash106.jpg,metal scrap,no,no,No.,0.408,1324.7
85,close_distance_trash106.jpg,can,no,no,No.,0.428,1324.7
86,close_distance_trash106.jpg,plastic wrapper,no,yes,Yes.,0.458,1324.7
87,close_distance_trash106.jpg,trash pile,no,no,No.,0.403,1324.7
