question_id,image,cls,label,response,inference_s,vram_mb
1,medium_distance_trash25.jpg,trash,yes,yes,0.183,4422.2
2,medium_distance_trash648.jpg,container,yes,no,0.169,4421.3
3,hn_radisson_isla_corazon_anfi_45.jpg,container,no,no,0.758,5395.7
4,medium_distance_trash984.jpg,polystyrene,yes,yes,0.168,4454.1
5,hn_anfi_harbour_view_43.jpg,plastic,no,no,0.798,5390.4
6,close_distance_trash921.jpg,trash,no,Yes,1.246,6380.8
7,hn_anfi_isla_corazon_view_67.jpg,trash,no,yes,0.728,5398.6
8,medium_distance_trash1048.jpg,container,no,TIMEOUT,15.011,0
9,far_distance_trash377.jpg,trash,yes,yes,5.306,6292.1
10,far_distance_trash351.jpg,plastic,no,no,0.276,4419.3
11,hn_anfi_beach_vega_26.jpg,container,no,no,3.437,5395.7
12,medium_distance_trash168.jpg,container,yes,yes,0.234,4417.8
13,medium_distance_trash883.jpg,container,yes,no,0.262,4421.3
14,medium_distance_trash441.jpg,plastic,yes,yes,0.264,4419.3
15,medium_distance_trash719.jpg,plastic,yes,no,0.27,4419.3
16,close_distance_trash477.jpg,trash pile,yes,yes,0.273,4453.4
17,close_distance_trash122.jpg,metal,no,no,0.267,4419.0
18,medium_distance_trash1038.jpg,plastic,yes,yes,4.923,6370.8
19,close_distance_trash229.jpg,metal,no,yes,0.268,4419.0
20,hn_radisson_isla_corazon_anfi_97.jpg,plastic,no,no,3.374,5390.4
21,close_distance_trash1022.jpg,trash,yes,Yes,0.31,4454.9
22,hn_anfi_harbour_view_58.jpg,container,no,no,3.46,5395.7
23,hn_anfi_harbour_view_134.jpg,container,no,no,3.42,5395.7
24,medium_distance_trash148.jpg,plastic,yes,no,0.246,4419.3
25,medium_distance_trash14.jpg,container,yes,yes,0.251,4421.3
26,medium_distance_trash897.jpg,metal,yes,yes,0.203,4396.7
27,far_distance_trash470.jpg,plastic,yes,yes,0.628,4576.1
28,hn_anfi_harbour_view_49.jpg,container,no,no,3.465,5395.7
29,close_distance_trash33.jpg,trash,yes,no,0.28,4422.2
30,medium_distance_trash840.jpg,plastic,no,no,0.272,4419.3
31,far_distance_trash67.jpg,container,yes,yes,0.281,4421.3
32,medium_distance_trash185.jpg,plastic,no,no,0.275,4419.3
33,medium_distance_trash1076.jpg,metal,no,no,0.29,4419.0
34,medium_distance_trash271.jpg,plastic,yes,yes,0.259,4419.3
35,medium_distance_trash1054.jpg,plastic,yes,no,0.633,4576.1
36,close_distance_trash545.jpg,container,yes,TIMEOUT,15.007,0
37,hn_cabo_torres_view_restinga_port_20.jpg,container,no,TIMEOUT,15.011,0
38,hn_anfi_harbour_view_40.jpg,plastic,no,TIMEOUT,15.016,0
39,close_distance_trash1273.jpg,container,no,TIMEOUT,15.012,0
40,medium_distance_trash116.jpg,trash,yes,yes,6.645,15112.5
41,medium_distance_trash466.jpg,metal,yes,no,0.265,4419.0
42,close_distance_trash1281.jpg,container,no,no,1.99,4820.8
43,far_distance_trash91.jpg,container,yes,no,0.261,4421.3
44,medium_distance_trash849.jpg,plastic,yes,yes,0.259,4419.3
45,medium_distance_trash621.jpg,plastic,yes,no,0.26,4419.3
46,medium_distance_trash229.jpg,trash,yes,Yes,0.28,4422.2
47,medium_distance_trash631.jpg,container,yes,no,0.281,4421.3
48,medium_distance_trash616.jpg,polystyrene,yes,no,0.267,4421.3
49,far_distance_trash256.jpg,plastic,yes,no,0.278,4419.3
50,medium_distance_trash10.jpg,metal,yes,yes,0.268,4419.0
51,hn_anfi_beach_vega_28.jpg,trash,no,yes,3.505,5398.6
52,far_distance_trash245.jpg,plastic,no,no,0.261,4419.3
53,medium_distance_trash230.jpg,plastic,no,no,0.248,4419.3
54,hn_anfi_harbour_view_62.jpg,container,no,no,3.427,5395.7
55,medium_distance_trash808.jpg,trash,yes,Yes,0.276,4422.2
56,medium_distance_trash855.jpg,plastic,yes,yes,0.265,4419.3
57,far_distance_trash250.jpg,trash,no,yes,0.267,4422.2
58,hn_scene_1006_92.jpg,container,no,no,3.439,5395.7
59,close_distance_trash885.jpg,polystyrene,no,TIMEOUT,15.003,0
60,hn_cabo_torres_view_harbour_entrance_68.jpg,trash,no,TIMEOUT,15.011,0
61,close_distance_trash21.jpg,trash,yes,TIMEOUT,15.009,0
62,close_distance_trash1214.jpg,trash,yes,yes,10.405,15017.1
63,close_distance_trash53.jpg,metal,no,no,0.265,4419.0
64,hn_anfi_isla_corazon_view_97.jpg,trash,no,yes,3.516,5398.6
65,medium_distance_trash66.jpg,metal,yes,yes,0.265,4451.9
66,medium_distance_trash871.jpg,container,no,no,0.253,4421.3
67,far_distance_trash531.jpg,polystyrene,yes,yes,0.262,4421.3
68,hn_anfi_isla_corazon_view_29.jpg,container,no,no,3.441,5395.7
69,medium_distance_trash177.jpg,polystyrene,yes,no,0.274,4421.3
70,hn_radisson_isla_corazon_anfi_36.jpg,plastic,no,no,3.368,5390.4
71,hn_radisson_isla_corazon_anfi_19.jpg,plastic,no,no,3.333,5390.4
72,hn_anfi_harbour_view_110.jpg,trash,no,yes,3.5,5398.6
73,hn_anfi_harbour_view_74.jpg,trash,no,yes,3.523,5398.6
74,medium_distance_trash691.jpg,trash pile,no,yes,0.272,4419.7
75,hn_cabo_torres_view_harbour_entrance_34.jpg,container,no,no,3.434,5395.7
76,far_distance_trash450.jpg,plastic,no,TIMEOUT,15.006,0
77,medium_distance_trash1075.jpg,trash,yes,TIMEOUT,15.003,0
78,close_distance_trash1254.jpg,trash,no,TIMEOUT,15.015,0
79,medium_distance_trash827.jpg,plastic fragment,yes,TIMEOUT,15.009,0
80,far_distance_trash36.jpg,trash,yes,Yes,0.491,4590.6
81,close_distance_trash124.jpg,plastic,yes,no,0.281,4419.3
82,close_distance_trash1022.jpg,trash pile,yes,Yes,0.267,4453.4
83,far_distance_trash276.jpg,plastic,yes,no,0.263,4419.3
84,hn_radisson_isla_corazon_anfi_38.jpg,plastic,no,no,3.354,5390.4
85,far_distance_trash529.jpg,plastic,no,yes,0.255,4419.3
86,close_distance_trash229.jpg,trash pile,yes,yes,0.255,4419.7
87,medium_distance_trash414.jpg,metal,yes,yes,0.265,4419.0
88,medium_distance_trash533.jpg,container,no,yes,0.273,4421.3
89,medium_distance_trash592.jpg,plastic fragment,yes,yes,0.29,4419.7
90,medium_distance_trash248.jpg,plastic fragment,yes,yes,0.273,4419.7
91,close_distance_trash218.jpg,plastic,yes,no,0.268,4419.3
92,medium_distance_trash880.jpg,plastic fragment,yes,yes,0.269,4419.7
93,medium_distance_trash278.jpg,plastic,yes,yes,0.26,4419.3
94,close_distance_trash1031.jpg,plastic,yes,yes,0.268,4453.2
95,hn_cabo_torres_view_restinga_port_50.jpg,plastic,no,no,3.383,5390.4
96,medium_distance_trash565.jpg,trash,yes,yes,0.267,4422.2
97,close_distance_trash50.jpg,container,no,no,0.263,4421.3
98,medium_distance_trash228.jpg,container,yes,yes,0.27,4421.3
99,medium_distance_trash883.jpg,trash,no,yes,0.276,4422.2
100,close_distance_trash195.jpg,trash pile,yes,yes,0.301,4419.7
101,close_distance_trash250.jpg,container,no,no,0.29,4421.3
102,hn_cabo_torres_view_harbour_entrance_20.jpg,plastic,no,no,3.327,5390.4
103,close_distance_trash1259.jpg,polystyrene,yes,yes,1.765,4820.8
104,far_distance_trash422.jpg,metal,no,no,0.298,4419.0
105,close_distance_trash3.jpg,container,no,TIMEOUT,15.005,0
106,medium_distance_trash227.jpg,metal,yes,TIMEOUT,15.012,0
107,medium_distance_trash416.jpg,trash,yes,TIMEOUT,15.004,0
108,close_distance_trash224.jpg,trash,no,TIMEOUT,15.015,0
109,medium_distance_trash849.jpg,metal,no,yes,4.091,6635.3
110,far_distance_trash529.jpg,plastic fragment,yes,yes,0.334,4419.7
111,close_distance_trash1171.jpg,plastic,yes,yes,0.406,4453.2
112,close_distance_trash236.jpg,plastic,yes,yes,0.369,4419.3
113,hn_scene_1006_115.jpg,plastic,no,no,8.457,5390.4
114,medium_distance_trash827.jpg,plastic,yes,yes,0.325,4419.3
115,hn_radisson_isla_corazon_anfi_64.jpg,container,no,no,8.368,5395.7
116,close_distance_trash200.jpg,container,no,no,0.323,4421.3
117,medium_distance_trash569.jpg,plastic,no,yes,0.34,4419.3
118,medium_distance_trash610.jpg,container,yes,no,0.391,4421.3
119,close_distance_trash73.jpg,trash,yes,yes,0.396,4422.2
120,hn_scene_1006_102.jpg,container,no,no,8.37,5395.7
121,medium_distance_trash1077.jpg,trash,no,Yes,0.302,4422.2
122,hn_radisson_isla_corazon_anfi_59.jpg,container,no,no,8.375,5395.7
123,medium_distance_trash753.jpg,container,yes,yes,0.303,4421.3
124,medium_distance_trash6.jpg,plastic,no,no,0.314,4419.3
125,close_distance_trash4.jpg,polystyrene,yes,TIMEOUT,15.015,0
126,medium_distance_trash419.jpg,trash,no,TIMEOUT,15.012,0
127,hn_anfi_isla_corazon_view_2.jpg,container,no,TIMEOUT,15.005,0
128,medium_distance_trash786.jpg,container,yes,yes,4.277,5398.8
129,close_distance_trash1249.jpg,trash pile,yes,yes,2.041,4817.9
130,hn_scene_1006_76.jpg,trash,no,no,8.374,5398.6
131,medium_distance_trash911.jpg,trash,yes,TIMEOUT,15.017,0
132,hn_anfi_harbour_view_85.jpg,trash,no,TIMEOUT,15.002,0
133,hn_cabo_torres_view_harbour_entrance_54.jpg,container,no,TIMEOUT,15.005,0
134,far_distance_trash251.jpg,plastic,no,TIMEOUT,15.011,0
135,close_distance_trash194.jpg,trash,yes,TIMEOUT,15.002,0
136,close_distance_trash315.jpg,container,yes,TIMEOUT,15.01,0
137,close_distance_trash202.jpg,metal,yes,TIMEOUT,15.005,0
138,medium_distance_trash584.jpg,container,no,no,11.251,16069.2
139,hn_anfi_harbour_view_106.jpg,container,no,no,8.349,5395.7
140,hn_radisson_isla_corazon_anfi_82.jpg,trash,no,Yes,8.35,5398.6
141,hn_scene_1006_18.jpg,trash,no,yes,8.363,5398.6
142,medium_distance_trash1053.jpg,plastic,yes,yes,6.9,5282.2
143,medium_distance_trash131.jpg,container,yes,yes,0.311,4421.3
144,far_distance_trash36.jpg,metal,no,no,0.327,4419.0
145,close_distance_trash116.jpg,metal,no,no,0.372,4419.0
146,medium_distance_trash461.jpg,metal,no,no,0.37,4419.0
147,far_distance_trash81.jpg,metal,yes,yes,0.24,4396.7
148,far_distance_trash482.jpg,plastic,yes,yes,0.328,4419.3
149,close_distance_trash83.jpg,trash,yes,yes,0.332,4422.2
150,close_distance_trash5.jpg,plastic,yes,yes,0.254,4403.8
151,medium_distance_trash883.jpg,plastic,yes,yes,0.342,4419.3
152,medium_distance_trash781.jpg,plastic,no,no,0.33,4419.3
153,close_distance_trash203.jpg,trash pile,no,no,0.35,4419.7
154,hn_anfi_harbour_view_45.jpg,trash,no,no,8.385,5398.6
155,far_distance_trash250.jpg,plastic,yes,no,0.289,4419.3
156,medium_distance_trash738.jpg,metal,yes,no,0.311,4419.0
157,close_distance_trash192.jpg,plastic,yes,yes,0.365,4419.3
158,medium_distance_trash942.jpg,metal,yes,TIMEOUT,15.016,0
159,close_distance_trash299.jpg,plastic,no,yes,13.681,6421.2
160,hn_radisson_isla_corazon_anfi_29.jpg,container,no,no,8.348,5395.7
161,medium_distance_trash231.jpg,container,yes,yes,0.306,4421.3
162,medium_distance_trash774.jpg,polystyrene,yes,yes,0.321,4421.3
163,far_distance_trash402.jpg,container,yes,no,0.324,4421.3
164,close_distance_trash234.jpg,plastic,yes,yes,0.394,4419.3
165,medium_distance_trash45.jpg,trash,yes,yes,0.34,4422.2
166,medium_distance_trash782.jpg,container,yes,no,0.339,4421.3
167,medium_distance_trash812.jpg,plastic,no,no,0.357,4419.3
168,medium_distance_trash721.jpg,plastic,no,no,0.399,4419.3
169,medium_distance_trash860.jpg,container,no,no,0.35,4421.3
170,medium_distance_trash439.jpg,plastic,no,no,0.339,4419.3
171,close_distance_trash1264.jpg,plastic,yes,yes,2.075,4817.0
172,close_distance_trash259.jpg,plastic,yes,no,3.472,4851.4
173,close_distance_trash1129.jpg,plastic,yes,yes,0.381,4453.2
174,medium_distance_trash879.jpg,plastic fragment,yes,yes,0.342,4419.7
175,close_distance_trash180.jpg,plastic,no,no,0.359,4419.3
176,hn_cabo_torres_view_restinga_port_53.jpg,plastic,no,no,8.462,5390.4
177,close_distance_trash754.jpg,plastic,yes,TIMEOUT,15.008,0
178,far_distance_trash522.jpg,container,yes,yes,10.724,6395.8
179,close_distance_trash211.jpg,plastic,no,no,0.291,4419.3
180,medium_distance_trash677.jpg,container,yes,yes,0.306,4421.3
181,close_distance_trash49.jpg,plastic,no,no,0.337,4419.3
182,hn_radisson_isla_corazon_anfi_98.jpg,container,no,no,8.362,5395.7
183,medium_distance_trash28.jpg,metal,no,no,0.301,4419.0
184,close_distance_trash874.jpg,plastic,yes,yes,0.35,4453.2
185,medium_distance_trash1.jpg,plastic,no,no,0.322,4419.3
186,medium_distance_trash574.jpg,container,yes,yes,0.306,4421.3
187,hn_scene_1006_108.jpg,trash,no,no,8.378,5398.6
188,medium_distance_trash779.jpg,plastic,no,no,0.297,4419.3
189,medium_distance_trash808.jpg,polystyrene,yes,yes,0.307,4421.3
190,medium_distance_trash832.jpg,plastic,yes,yes,0.343,4419.3
191,hn_scene_1006_68.jpg,plastic,no,no,8.478,5390.4
192,medium_distance_trash647.jpg,plastic,no,no,0.298,4419.3
193,hn_cabo_torres_view_restinga_port_21.jpg,plastic,no,no,8.489,5390.4
194,medium_distance_trash1045.jpg,plastic,yes,no,7.336,5527.5
195,close_distance_trash213.jpg,container,yes,no,0.321,4421.3
196,medium_distance_trash540.jpg,plastic,yes,yes,0.363,4453.2
197,medium_distance_trash612.jpg,polystyrene,yes,yes,0.373,4421.3
198,medium_distance_trash510.jpg,plastic,no,no,0.326,4419.3
199,medium_distance_trash267.jpg,container,no,yes,0.33,4421.3
200,medium_distance_trash278.jpg,container,no,yes,0.349,4421.3
201,medium_distance_trash639.jpg,plastic,no,no,0.356,4419.3
202,hn_anfi_isla_corazon_view_23.jpg,plastic,no,no,7.953,5390.4
203,close_distance_trash1136.jpg,container,no,no,0.248,4454.1
204,medium_distance_trash957.jpg,metal,yes,yes,2.905,6368.8
205,far_distance_trash67.jpg,metal,no,no,0.21,4419.0
206,medium_distance_trash726.jpg,plastic,yes,yes,0.21,4419.3
207,hn_anfi_harbour_view_16.jpg,container,no,no,0.81,5395.7
208,medium_distance_trash572.jpg,plastic,yes,no,0.198,4419.3
209,medium_distance_trash1052.jpg,trash,yes,yes,0.74,5288.9
210,medium_distance_trash153.jpg,plastic,no,yes,0.201,4419.3
211,close_distance_trash94.jpg,plastic,no,no,0.175,4419.3
212,medium_distance_trash257.jpg,container,no,no,0.165,4421.3
213,hn_scene_1006_47.jpg,container,no,no,0.726,5395.7
214,hn_radisson_isla_corazon_anfi_12.jpg,container,no,no,0.743,5395.7
215,medium_distance_trash462.jpg,trash,yes,yes,0.188,4422.2
216,hn_anfi_harbour_view_44.jpg,plastic,no,no,0.769,5390.4
217,medium_distance_trash799.jpg,container,yes,yes,0.227,4421.3
218,far_distance_trash429.jpg,plastic fragment,yes,yes,0.17,4419.7
219,far_distance_trash420.jpg,container,yes,yes,0.168,4421.3
220,close_distance_trash219.jpg,plastic,yes,yes,0.164,4419.3
221,hn_cabo_torres_view_harbour_entrance_70.jpg,plastic,no,no,0.744,5390.4
222,medium_distance_trash419.jpg,trash pile,yes,yes,0.183,4419.7
223,medium_distance_trash692.jpg,plastic fragment,yes,yes,0.163,4419.7
224,close_distance_trash1219.jpg,metal,yes,no,0.182,4451.9
225,medium_distance_trash715.jpg,trash,yes,Yes,0.175,4422.2
226,close_distance_trash1260.jpg,plastic,yes,yes,0.422,4817.0
227,close_distance_trash472.jpg,trash pile,yes,no,0.192,4453.4
228,medium_distance_trash697.jpg,plastic,no,no,0.165,4419.3
229,hn_cabo_torres_view_harbour_entrance_2.jpg,container,no,no,0.778,5395.7
230,hn_scene_1006_123.jpg,trash,no,yes,0.771,5398.6
231,hn_radisson_isla_corazon_anfi_6.jpg,container,no,no,0.763,5395.7
232,hn_anfi_harbour_view_106.jpg,trash,no,no,0.74,5398.6
233,medium_distance_trash1081.jpg,trash,yes,yes,0.175,4399.5
234,hn_scene_1006_86.jpg,trash,no,yes,0.742,5398.6
235,far_distance_trash444.jpg,trash,yes,Yes,5.284,14607.9
236,medium_distance_trash964.jpg,container,yes,yes,0.184,4454.1
237,close_distance_trash104.jpg,container,no,no,0.175,4421.3
238,medium_distance_trash55.jpg,plastic,no,no,0.171,4419.3
239,far_distance_trash412.jpg,metal,no,no,0.171,4419.0
240,close_distance_trash196.jpg,container,no,no,0.166,4421.3
241,hn_anfi_beach_vega_29.jpg,plastic,no,no,0.774,5390.4
242,hn_cabo_torres_view_harbour_entrance_60.jpg,trash,no,yes,0.758,5398.6
243,close_distance_trash6.jpg,plastic fragment,no,yes,0.168,4417.1
244,far_distance_trash60.jpg,plastic,yes,yes,0.182,4419.3
245,medium_distance_trash461.jpg,trash,yes,yes,0.168,4422.2
246,medium_distance_trash878.jpg,trash,yes,yes,0.164,4422.2
247,hn_radisson_isla_corazon_anfi_96.jpg,plastic,no,no,0.76,5390.4
248,medium_distance_trash448.jpg,plastic,yes,yes,0.169,4419.3
249,close_distance_trash184.jpg,plastic,no,no,0.195,4419.3
250,hn_scene_1006_113.jpg,container,no,no,0.768,5395.7
251,medium_distance_trash667.jpg,plastic,no,no,0.168,4419.3
252,hn_anfi_beach_vega_27.jpg,plastic,no,no,0.784,5390.4
253,hn_radisson_isla_corazon_anfi_90.jpg,plastic,no,no,0.764,5390.4
254,close_distance_trash655.jpg,metal,yes,yes,0.196,4451.9
255,medium_distance_trash884.jpg,trash,no,yes,0.18,4422.2
256,medium_distance_trash1049.jpg,plastic,yes,TIMEOUT,15.006,0
257,close_distance_trash239.jpg,plastic,yes,TIMEOUT,15.002,0
258,far_distance_trash456.jpg,metal,yes,TIMEOUT,15.007,0
259,close_distance_trash22.jpg,trash,no,yes,0.976,6466.1
260,medium_distance_trash542.jpg,plastic,yes,no,0.211,4419.3
261,hn_anfi_harbour_view_94.jpg,container,no,no,0.805,5395.7
262,hn_radisson_isla_corazon_anfi_9.jpg,trash,no,yes,0.777,5398.6
263,close_distance_trash1245.jpg,trash,yes,Yes,0.264,4580.7
264,far_distance_trash234.jpg,container,yes,no,0.221,4421.3
265,medium_distance_trash695.jpg,container,no,yes,0.168,4421.3
266,medium_distance_trash133.jpg,container,yes,yes,0.169,4421.3
267,hn_cabo_torres_view_harbour_entrance_19.jpg,plastic,no,no,0.766,5390.4
268,hn_anfi_isla_corazon_view_37.jpg,trash,no,yes,0.788,5398.6
269,hn_cabo_torres_view_harbour_entrance_61.jpg,trash,no,yes,0.758,5398.6
270,hn_anfi_harbour_view_101.jpg,plastic,no,no,0.76,5390.4
271,hn_anfi_harbour_view_138.jpg,plastic,no,no,0.767,5390.4
272,close_distance_trash1191.jpg,metal,yes,yes,0.183,4451.9
273,medium_distance_trash251.jpg,plastic,yes,no,0.174,4419.3
274,close_distance_trash251.jpg,trash pile,yes,yes,0.175,4419.7
275,medium_distance_trash19.jpg,trash,no,yes,0.171,4422.2
276,medium_distance_trash880.jpg,container,yes,yes,0.163,4421.3
277,far_distance_trash363.jpg,container,no,no,0.167,4421.3
278,medium_distance_trash658.jpg,container,no,no,0.163,4421.3
279,close_distance_trash991.jpg,container,no,no,0.252,4567.3
