question_id,image,cls,label,response,inference_s,vram_mb
1,medium_distance_trash25.jpg,trash,yes,yes,0.96,4161.1
2,medium_distance_trash648.jpg,container,yes,no,0.225,4157.5
3,hn_radisson_isla_corazon_anfi_45.jpg,container,no,no,0.656,5130.2
4,medium_distance_trash984.jpg,polystyrene,yes,yes,0.22,4191.7
5,hn_anfi_harbour_view_43.jpg,metal,no,no,0.641,5124.1
6,close_distance_trash921.jpg,trash,no,Yes,1.071,6117.4
7,hn_anfi_isla_corazon_view_67.jpg,plastic,no,no,0.576,5125.6
8,medium_distance_trash1048.jpg,plastic fragment,no,yes,10.829,26575.1
9,far_distance_trash377.jpg,trash,yes,Yes,0.249,4160.2
10,far_distance_trash351.jpg,plastic,no,no,0.171,4157.1
11,hn_anfi_beach_vega_26.jpg,plastic fragment,no,no,0.611,5127.1
12,medium_distance_trash168.jpg,container,yes,yes,0.234,4154.9
13,medium_distance_trash883.jpg,container,yes,yes,0.17,4159.2
14,medium_distance_trash441.jpg,plastic,yes,yes,0.166,4157.1
15,medium_distance_trash719.jpg,plastic,yes,no,0.179,4157.1
16,close_distance_trash477.jpg,trash pile,yes,yes,0.183,4190.0
17,close_distance_trash122.jpg,plastic fragment,no,yes,0.166,4158.5
18,medium_distance_trash1038.jpg,plastic,yes,yes,1.138,6105.4
19,close_distance_trash229.jpg,plastic fragment,no,yes,0.211,4158.5
20,hn_radisson_isla_corazon_anfi_97.jpg,plastic,no,no,0.6,5125.6
21,close_distance_trash1022.jpg,trash,yes,Yes,0.28,4192.4
22,hn_anfi_harbour_view_58.jpg,polystyrene,no,no,0.619,5130.1
23,hn_anfi_harbour_view_134.jpg,container,no,no,0.641,5130.1
24,medium_distance_trash148.jpg,plastic,yes,no,0.235,4157.1
25,medium_distance_trash14.jpg,container,yes,yes,0.172,4159.2
26,medium_distance_trash897.jpg,metal,yes,yes,0.168,4132.3
27,far_distance_trash470.jpg,plastic,yes,yes,0.235,4311.6
28,hn_anfi_harbour_view_49.jpg,plastic fragment,no,no,0.605,5127.1
29,close_distance_trash33.jpg,trash,yes,yes,0.31,4160.2
30,medium_distance_trash840.jpg,trash,no,yes,0.209,4160.2
31,far_distance_trash67.jpg,container,yes,yes,0.172,4159.2
32,medium_distance_trash185.jpg,trash pile,no,no,0.223,4158.5
33,medium_distance_trash1076.jpg,polystyrene,no,no,0.19,4159.2
34,medium_distance_trash271.jpg,plastic,yes,yes,0.166,4157.1
35,medium_distance_trash1054.jpg,plastic,yes,no,0.211,4311.6
36,close_distance_trash545.jpg,container,yes,yes,4.799,14333.7
37,hn_cabo_torres_view_restinga_port_20.jpg,trash pile,no,no,0.569,5127.1
38,hn_anfi_harbour_view_40.jpg,metal,no,no,0.613,5124.1
39,close_distance_trash1273.jpg,container,no,no,0.34,4556.2
40,medium_distance_trash116.jpg,trash,yes,Yes,0.229,4160.2
