question_id,image,cls,label,response,inference_s,vram_mb
1,medium_distance_trash25.jpg,trash,yes,No.,0.53,7621.6
2,medium_distance_trash648.jpg,container,yes,No.,0.362,7621.6
3,hn_radisson_isla_corazon_anfi_45.jpg,plastic,no,No.,1.529,8904.6
4,medium_distance_trash984.jpg,polystyrene,yes,Yes.,0.36,7652.4
5,hn_anfi_harbour_view_43.jpg,container,no,No.,1.53,8909.4
6,close_distance_trash921.jpg,trash,no,No.,2.613,10332.3
7,hn_anfi_isla_corazon_view_67.jpg,metal,no,No.,1.494,8902.6
8,medium_distance_trash1048.jpg,container,no,TIMEOUT,15.005,0
9,far_distance_trash377.jpg,trash,yes,TIMEOUT,15.011,0
10,far_distance_trash351.jpg,plastic,no,TIMEOUT,15.011,0
11,hn_anfi_beach_vega_26.jpg,plastic,no,TIMEOUT,15.009,0
12,medium_distance_trash168.jpg,container,yes,TIMEOUT,15.007,0
13,medium_distance_trash883.jpg,container,yes,TIMEOUT,15.009,0
14,medium_distance_trash441.jpg,plastic,yes,TIMEOUT,15.01,0
15,medium_distance_trash719.jpg,plastic,yes,TIMEOUT,15.01,0
16,close_distance_trash477.jpg,trash pile,yes,TIMEOUT,15.009,0
17,close_distance_trash122.jpg,trash pile,no,TIMEOUT,15.009,0
18,medium_distance_trash1038.jpg,plastic,yes,TIMEOUT,15.011,0
19,close_distance_trash229.jpg,metal,no,TIMEOUT,15.012,0
20,hn_radisson_isla_corazon_anfi_97.jpg,container,no,TIMEOUT,15.013,0
21,close_distance_trash1022.jpg,trash,yes,TIMEOUT,15.01,0
22,hn_anfi_harbour_view_58.jpg,plastic,no,TIMEOUT,15.002,0
23,hn_anfi_harbour_view_134.jpg,plastic,no,TIMEOUT,15.002,0
24,medium_distance_trash148.jpg,plastic,yes,TIMEOUT,15.012,0
25,medium_distance_trash14.jpg,container,yes,TIMEOUT,15.014,0
26,medium_distance_trash897.jpg,metal,yes,TIMEOUT,15.012,0
27,far_distance_trash470.jpg,plastic,yes,TIMEOUT,15.009,0
28,hn_anfi_harbour_view_49.jpg,plastic,no,TIMEOUT,15.003,0
29,close_distance_trash33.jpg,trash,yes,TIMEOUT,15.013,0
30,medium_distance_trash840.jpg,plastic,no,TIMEOUT,15.002,0
31,far_distance_trash67.jpg,container,yes,TIMEOUT,15.015,0
32,medium_distance_trash185.jpg,container,no,No.,12.698,12241.9
33,medium_distance_trash1076.jpg,metal,no,No.,10.494,13726.6
34,medium_distance_trash271.jpg,plastic,yes,Yes.,0.297,7621.6
35,medium_distance_trash1054.jpg,plastic,yes,No.,0.572,7800.6
36,close_distance_trash545.jpg,container,yes,Yes.,14.521,23437.5
37,hn_cabo_torres_view_restinga_port_20.jpg,plastic,no,No.,1.599,8904.6
38,hn_anfi_harbour_view_40.jpg,container,no,No.,1.684,8909.4
39,close_distance_trash1273.jpg,container,no,No.,0.917,8087.7
40,medium_distance_trash116.jpg,trash,yes,No.,0.334,7621.6
41,medium_distance_trash466.jpg,metal,yes,No.,0.331,7621.6
42,close_distance_trash1281.jpg,container,no,No.,0.864,8087.7
43,far_distance_trash91.jpg,container,yes,No.,0.341,7621.6
44,medium_distance_trash849.jpg,plastic,yes,Yes.,0.361,7621.6
45,medium_distance_trash621.jpg,plastic,yes,No.,0.359,7621.6
46,medium_distance_trash229.jpg,trash,yes,No.,0.353,7621.6
47,medium_distance_trash631.jpg,container,yes,No.,0.326,7621.6
48,medium_distance_trash616.jpg,polystyrene,yes,No.,0.419,7621.6
49,far_distance_trash256.jpg,plastic,yes,Yes.,0.361,7621.6
50,medium_distance_trash10.jpg,metal,yes,Yes.,0.356,7621.6
51,hn_anfi_beach_vega_28.jpg,metal,no,No.,1.525,8902.6
52,far_distance_trash245.jpg,container,no,Yes.,0.303,7621.6
53,medium_distance_trash230.jpg,plastic,no,No.,0.31,7621.6
54,hn_anfi_harbour_view_62.jpg,plastic,no,No.,1.494,8904.6
55,medium_distance_trash808.jpg,trash,yes,No.,0.331,7621.6
56,medium_distance_trash855.jpg,plastic,yes,No.,0.371,7621.6
57,far_distance_trash250.jpg,trash,no,No.,0.313,7621.6
58,hn_scene_1006_92.jpg,plastic,no,No.,1.597,8904.6
59,close_distance_trash885.jpg,trash pile,no,Yes.,14.486,23425.7
60,hn_cabo_torres_view_harbour_entrance_68.jpg,metal,no,No.,1.549,8902.6
61,close_distance_trash21.jpg,trash,yes,No.,0.324,7621.6
62,close_distance_trash1214.jpg,trash,yes,No.,0.388,7653.8
63,close_distance_trash53.jpg,metal,no,No.,0.326,7621.6
64,hn_anfi_isla_corazon_view_97.jpg,metal,no,No.,1.56,8902.6
65,medium_distance_trash66.jpg,metal,yes,No.,0.387,7650.5
66,medium_distance_trash871.jpg,container,no,No.,0.346,7621.6
67,far_distance_trash531.jpg,polystyrene,yes,Yes.,0.366,7621.6
68,hn_anfi_isla_corazon_view_29.jpg,plastic,no,No.,1.474,8904.6
69,medium_distance_trash177.jpg,polystyrene,yes,Yes.,0.341,7621.6
70,hn_radisson_isla_corazon_anfi_36.jpg,container,no,No.,1.526,8909.4
71,hn_radisson_isla_corazon_anfi_19.jpg,container,no,No.,1.588,8909.4
72,hn_anfi_harbour_view_110.jpg,metal,no,No.,1.671,8902.6
73,hn_anfi_harbour_view_74.jpg,metal,no,No.,1.643,8902.6
74,medium_distance_trash691.jpg,trash pile,no,Yes.,0.434,7621.6
75,hn_cabo_torres_view_harbour_entrance_34.jpg,plastic,no,No.,1.638,8904.6
76,far_distance_trash450.jpg,container,no,Yes.,14.819,23437.5
77,medium_distance_trash1075.jpg,trash,yes,No.,0.351,7621.6
78,close_distance_trash1254.jpg,trash,no,No.,0.924,8089.7
79,medium_distance_trash827.jpg,plastic fragment,yes,Yes.,0.405,7621.6
80,far_distance_trash36.jpg,trash,yes,No.,0.379,7621.6
81,close_distance_trash124.jpg,plastic,yes,Yes.,0.427,7621.6
82,close_distance_trash1022.jpg,trash pile,yes,Yes.,0.496,7651.4
83,far_distance_trash276.jpg,plastic,yes,Yes.,0.353,7621.6
84,hn_radisson_isla_corazon_anfi_38.jpg,container,no,No,1.492,8909.4
85,far_distance_trash529.jpg,container,no,No.,0.355,7621.6
86,close_distance_trash229.jpg,trash pile,yes,Yes.,0.347,7621.6
87,medium_distance_trash414.jpg,metal,yes,No.,0.356,7621.6
88,medium_distance_trash533.jpg,container,no,Yes.,0.351,7621.6
89,medium_distance_trash592.jpg,plastic fragment,yes,Yes.,0.323,7621.6
90,medium_distance_trash248.jpg,plastic fragment,yes,Yes.,0.343,7621.6
91,close_distance_trash218.jpg,plastic,yes,No.,0.311,7621.6
92,medium_distance_trash880.jpg,plastic fragment,yes,Yes.,0.326,7621.6
93,medium_distance_trash278.jpg,plastic,yes,Yes.,0.352,7621.6
94,close_distance_trash1031.jpg,plastic,yes,Yes.,0.437,7651.0
95,hn_cabo_torres_view_restinga_port_50.jpg,container,no,No.,1.582,8909.4
96,medium_distance_trash565.jpg,trash,yes,No.,0.326,7621.6
97,close_distance_trash50.jpg,container,no,No.,0.316,7621.6
98,medium_distance_trash228.jpg,container,yes,Yes.,0.358,7621.6
99,medium_distance_trash883.jpg,trash,no,No.,0.314,7621.6
100,close_distance_trash195.jpg,trash pile,yes,Yes.,0.457,7621.6
101,close_distance_trash250.jpg,container,no,Yes.,0.353,7621.6
102,hn_cabo_torres_view_harbour_entrance_20.jpg,container,no,No.,1.556,8909.4
103,close_distance_trash1259.jpg,polystyrene,yes,Yes.,0.888,8087.7
104,far_distance_trash422.jpg,trash pile,no,No.,0.313,7621.6
105,close_distance_trash3.jpg,container,no,TIMEOUT,15.005,0
106,medium_distance_trash227.jpg,metal,yes,TIMEOUT,15.005,0
107,medium_distance_trash416.jpg,trash,yes,TIMEOUT,15.016,0
108,close_distance_trash224.jpg,trash,no,TIMEOUT,15.005,0
109,medium_distance_trash849.jpg,metal,no,TIMEOUT,15.004,0
110,far_distance_trash529.jpg,plastic fragment,yes,TIMEOUT,15.003,0
111,close_distance_trash1171.jpg,plastic,yes,TIMEOUT,15.013,0
112,close_distance_trash236.jpg,plastic,yes,TIMEOUT,15.014,0
113,hn_scene_1006_115.jpg,container,no,TIMEOUT,15.014,0
114,medium_distance_trash827.jpg,plastic,yes,TIMEOUT,15.009,0
115,hn_radisson_isla_corazon_anfi_64.jpg,plastic,no,TIMEOUT,15.015,0
116,close_distance_trash200.jpg,container,no,TIMEOUT,15.012,0
117,medium_distance_trash569.jpg,plastic,no,TIMEOUT,15.012,0
118,medium_distance_trash610.jpg,container,yes,TIMEOUT,15.002,0
119,close_distance_trash73.jpg,trash,yes,TIMEOUT,15.004,0
120,hn_scene_1006_102.jpg,plastic,no,TIMEOUT,15.01,0
121,medium_distance_trash1077.jpg,trash,no,TIMEOUT,15.014,0
122,hn_radisson_isla_corazon_anfi_59.jpg,plastic,no,TIMEOUT,15.015,0
123,medium_distance_trash753.jpg,container,yes,TIMEOUT,15.014,0
124,medium_distance_trash6.jpg,container,no,TIMEOUT,15.003,0
