question_id,image,cls,label,response,inference_s,vram_mb
1,medium_distance_trash25.jpg,trash,yes,No.,0.331,7621.6
2,medium_distance_trash648.jpg,container,yes,No.,0.325,7621.6
3,hn_radisson_isla_corazon_anfi_45.jpg,container,no,No.,1.48,8909.4
4,medium_distance_trash984.jpg,polystyrene,yes,Yes.,0.383,7652.4
5,hn_anfi_harbour_view_43.jpg,plastic,no,No.,1.504,8904.2
6,close_distance_trash921.jpg,trash,no,No.,2.53,10332.3
7,hn_anfi_isla_corazon_view_67.jpg,trash,no,No.,1.552,8912.3
8,medium_distance_trash1048.jpg,container,no,TIMEOUT,15.014,0
9,far_distance_trash377.jpg,trash,yes,TIMEOUT,15.011,0
10,far_distance_trash351.jpg,plastic,no,TIMEOUT,15.012,0
11,hn_anfi_beach_vega_26.jpg,container,no,TIMEOUT,15.004,0
12,medium_distance_trash168.jpg,container,yes,TIMEOUT,15.01,0
13,medium_distance_trash883.jpg,container,yes,TIMEOUT,15.01,0
14,medium_distance_trash441.jpg,plastic,yes,TIMEOUT,15.01,0
15,medium_distance_trash719.jpg,plastic,yes,TIMEOUT,15.016,0
16,close_distance_trash477.jpg,trash pile,yes,TIMEOUT,15.009,0
17,close_distance_trash122.jpg,metal,no,TIMEOUT,15.016,0
18,medium_distance_trash1038.jpg,plastic,yes,TIMEOUT,15.012,0
19,close_distance_trash229.jpg,metal,no,TIMEOUT,15.007,0
20,hn_radisson_isla_corazon_anfi_97.jpg,plastic,no,TIMEOUT,15.009,0
21,close_distance_trash1022.jpg,trash,yes,TIMEOUT,15.005,0
22,hn_anfi_harbour_view_58.jpg,container,no,TIMEOUT,15.002,0
23,hn_anfi_harbour_view_134.jpg,container,no,TIMEOUT,15.009,0
24,medium_distance_trash148.jpg,plastic,yes,TIMEOUT,15.007,0
25,medium_distance_trash14.jpg,container,yes,TIMEOUT,15.011,0
26,medium_distance_trash897.jpg,metal,yes,TIMEOUT,15.012,0
27,far_distance_trash470.jpg,plastic,yes,TIMEOUT,15.003,0
28,hn_anfi_harbour_view_49.jpg,container,no,TIMEOUT,15.011,0
29,close_distance_trash33.jpg,trash,yes,TIMEOUT,15.008,0
30,medium_distance_trash840.jpg,plastic,no,TIMEOUT,15.015,0
31,far_distance_trash67.jpg,container,yes,TIMEOUT,15.008,0
32,medium_distance_trash185.jpg,plastic,no,No.,9.354,12236.8
33,medium_distance_trash1076.jpg,metal,no,No.,5.908,13610.5
34,medium_distance_trash271.jpg,plastic,yes,Yes.,0.31,7621.6
35,medium_distance_trash1054.jpg,plastic,yes,No.,0.575,7800.6
36,close_distance_trash545.jpg,container,yes,Yes.,14.188,23437.5
37,hn_cabo_torres_view_restinga_port_20.jpg,container,no,No.,1.565,8909.4
38,hn_anfi_harbour_view_40.jpg,plastic,no,No.,1.509,8904.2
39,close_distance_trash1273.jpg,container,no,No.,0.879,8087.7
40,medium_distance_trash116.jpg,trash,yes,No.,0.336,7621.6
41,medium_distance_trash466.jpg,metal,yes,No.,0.313,7621.6
42,close_distance_trash1281.jpg,container,no,No.,0.857,8087.7
