question_id,image,cls,label,response,inference_s,vram_mb
1,medium_distance_trash25.jpg,trash,yes,No.,1.042,7249.5
2,medium_distance_trash648.jpg,container,yes,No.,0.317,7249.6
3,hn_radisson_isla_corazon_anfi_45.jpg,container,no,No.,1.298,8534.0
4,medium_distance_trash984.jpg,polystyrene,yes,Yes.,0.32,7281.0
5,hn_anfi_harbour_view_43.jpg,metal,no,No.,1.302,8526.6
6,close_distance_trash921.jpg,trash,no,No.,2.239,9957.2
7,hn_anfi_isla_corazon_view_67.jpg,plastic,no,No.,1.23,8528.3
8,medium_distance_trash1048.jpg,plastic fragment,no,TIMEOUT,15.001,0
9,far_distance_trash377.jpg,trash,yes,TIMEOUT,15.004,0
10,far_distance_trash351.jpg,plastic,no,TIMEOUT,15.016,0
11,hn_anfi_beach_vega_26.jpg,plastic fragment,no,TIMEOUT,15.016,0
12,medium_distance_trash168.jpg,container,yes,TIMEOUT,15.016,0
13,medium_distance_trash883.jpg,container,yes,TIMEOUT,15.01,0
14,medium_distance_trash441.jpg,plastic,yes,TIMEOUT,15.002,0
15,medium_distance_trash719.jpg,plastic,yes,No.,1.983,8887.4
16,close_distance_trash477.jpg,trash pile,yes,Yes.,0.394,7544.5
17,close_distance_trash122.jpg,plastic fragment,no,Yes.,0.279,7299.7
18,medium_distance_trash1038.jpg,plastic,yes,Yes.,2.557,9991.6
19,close_distance_trash229.jpg,plastic fragment,no,Yes.,0.315,7299.7
20,hn_radisson_isla_corazon_anfi_97.jpg,plastic,no,No.,1.606,8577.1
21,close_distance_trash1022.jpg,trash,yes,No.,0.453,7332.5
22,hn_anfi_harbour_view_58.jpg,polystyrene,no,No.,1.537,8582.9
23,hn_anfi_harbour_view_134.jpg,container,no,No.,1.54,8582.9
24,medium_distance_trash148.jpg,plastic,yes,Yes.,0.329,7299.7
25,medium_distance_trash14.jpg,container,yes,Yes.,0.321,7299.7
26,medium_distance_trash897.jpg,metal,yes,Yes.,0.278,7280.4
27,far_distance_trash470.jpg,plastic,yes,Yes.,0.592,7476.1
28,hn_anfi_harbour_view_49.jpg,plastic fragment,no,No.,1.542,8578.8
29,close_distance_trash33.jpg,trash,yes,No.,0.3,7299.7
30,medium_distance_trash840.jpg,trash,no,No.,0.3,7299.7
31,far_distance_trash67.jpg,container,yes,Yes.,0.307,7299.7
32,medium_distance_trash185.jpg,trash pile,no,No.,0.326,7299.7
33,medium_distance_trash1076.jpg,polystyrene,no,No.,0.355,7299.7
34,medium_distance_trash271.jpg,plastic,yes,Yes.,0.339,7299.7
35,medium_distance_trash1054.jpg,plastic,yes,No.,0.587,7476.1
36,close_distance_trash545.jpg,container,yes,TIMEOUT,15.007,0
37,hn_cabo_torres_view_restinga_port_20.jpg,trash pile,no,TIMEOUT,15.016,0
38,hn_anfi_harbour_view_40.jpg,metal,no,TIMEOUT,15.009,0
39,close_distance_trash1273.jpg,container,no,TIMEOUT,15.008,0
40,medium_distance_trash116.jpg,trash,yes,TIMEOUT,15.005,0
41,medium_distance_trash466.jpg,metal,yes,TIMEOUT,15.003,0
42,close_distance_trash1281.jpg,container,no,TIMEOUT,15.006,0
43,far_distance_trash91.jpg,container,yes,No.,13.975,10104.7
44,medium_distance_trash849.jpg,plastic,yes,Yes.,1.156,10131.6
45,medium_distance_trash621.jpg,plastic,yes,No.,0.312,7307.8
