question_id,image,cls,label,response,inference_s,vram_mb
1,close_distance_trash10.jpg,plastic wrapper,yes,Yes.,1.109,1324.3
2,close_distance_trash10.jpg,trash pile,yes,Yes.,0.569,1324.8
3,close_distance_trash10.jpg,trash,yes,Yes.,0.618,1325.3
4,close_distance_trash10.jpg,plastic bag,no,Yes.,0.59,1324.8
5,close_distance_trash10.jpg,glass,no,No.,0.558,1324.8
6,close_distance_trash10.jpg,can,no,No.,0.644,1324.8
7,close_distance_trash1006.jpg,plastic bag,yes,Yes.,0.621,1324.8
8,close_distance_trash1006.jpg,trash pile,yes,Yes.,0.613,1324.8
9,close_distance_trash1006.jpg,metal scrap,no,No.,0.628,1324.8
10,close_distance_trash1006.jpg,plastic bottle,no,No.,0.629,1324.8
11,close_distance_trash101.jpg,glass,yes,Yes.,0.591,1324.8
12,close_distance_trash101.jpg,metal scrap,no,No.,0.602,1325.3
13,close_distance_trash1019.jpg,plastic bottle,yes,Yes.,0.715,1324.8
14,close_distance_trash1019.jpg,metal scrap,no,No.,0.799,1324.8
15,close_distance_trash102.jpg,plastic wrapper,yes,Yes.,0.606,1325.3
16,close_distance_trash102.jpg,trash,yes,No.,0.584,1325.3
17,close_distance_trash102.jpg,can,no,No.,0.596,1324.8
18,close_distance_trash102.jpg,trash pile,no,No.,0.574,1324.8
19,close_distance_trash1022.jpg,plastic bottle,yes,Yes.,0.761,1428.8
20,close_distance_trash1022.jpg,trash pile,yes,Yes.,0.784,1428.8
21,close_distance_trash1022.jpg,trash,yes,Yes.,0.811,1428.8
22,close_distance_trash1022.jpg,can,no,No.,0.758,1428.8
23,close_distance_trash1022.jpg,metal scrap,no,Yes.,0.772,1428.8
24,close_distance_trash1022.jpg,glass,no,No.,0.785,1428.8
25,close_distance_trash1031.jpg,plastic bottle,yes,Yes.,0.777,1428.8
26,close_distance_trash1031.jpg,plastic bag,yes,Yes.,0.771,1428.8
27,close_distance_trash1031.jpg,trash pile,no,No.,0.807,1428.8
28,close_distance_trash1031.jpg,glass,no,No.,0.744,1428.8
29,close_distance_trash104.jpg,plastic bag,yes,Yes.,0.545,1324.8
30,close_distance_trash104.jpg,trash pile,no,No.,0.571,1324.8
31,close_distance_trash1047.jpg,can,yes,No.,0.762,1428.8
32,close_distance_trash1047.jpg,metal scrap,no,No.,0.76,1428.8
33,close_distance_trash105.jpg,plastic bottle,yes,No.,0.585,1324.8
34,close_distance_trash105.jpg,trash,no,No.,0.62,1325.3
35,close_distance_trash106.jpg,plastic bag,yes,Yes.,0.595,1324.8
36,close_distance_trash106.jpg,glass,no,No.,0.716,1324.8
37,close_distance_trash1062.jpg,plastic bottle,yes,Yes.,0.767,1428.8
38,close_distance_trash1062.jpg,trash pile,yes,Yes.,0.777,1428.8
39,close_distance_trash1062.jpg,can,no,No.,0.794,1428.8
