question_id,image,cls,label,response,inference_s,vram_mb
1,close_distance_trash177.jpg,container,yes,yes,0.152,13881.4
2,close_distance_trash191.jpg,plastic,no,yes,0.147,13875.9
3,far_distance_trash18.jpg,metal,yes,yes,0.145,13875.4
4,marine_litter_427.jpg,polystyrene,yes,yes,0.152,13881.3
5,hn_radisson_isla_corazon_anfi_42.jpg,metal,no,no,0.194,13875.4
6,marine_litter_340.jpg,polystyrene,yes,yes,0.163,13881.3
7,hn_anfi_harbour_view_23.jpg,container,no,no,0.187,13880.7
8,far_distance_trash236.jpg,plastic,no,yes,0.172,13875.9
9,marine_litter_367.jpg,plastic,yes,yes,0.152,13875.9
10,marine_litter_25.jpg,trash,no,no,0.153,13880.2
11,hn_radisson_isla_corazon_anfi_70.jpg,metal,no,no,0.183,13875.4
12,medium_distance_trash914.jpg,container,no,no,0.253,13880.7
13,medium_distance_trash484.jpg,metal,no,yes,0.148,13875.4
14,medium_distance_trash260.jpg,metal,yes,yes,0.155,13875.4
15,marine_litter_333.jpg,plastic,yes,yes,0.148,13875.9
16,medium_distance_trash673.jpg,trash,yes,yes,0.163,13880.2
17,far_distance_trash65.jpg,trash,yes,yes,0.167,13880.2
18,hn_cabo_torres_view_harbour_entrance_85.jpg,container,no,no,0.182,13880.7
19,hn_scene_1006_9.jpg,container,no,no,0.176,13880.7
20,close_distance_trash92.jpg,trash pile,no,no,0.148,13875.4
21,far_distance_trash245.jpg,metal,yes,yes,0.152,13875.4
22,medium_distance_trash6.jpg,container,no,no,0.152,13880.7
23,medium_distance_trash474.jpg,container,no,no,0.155,13880.7
24,hn_cabo_torres_view_harbour_entrance_78.jpg,metal,no,no,0.184,13875.4
25,medium_distance_trash48.jpg,container,yes,yes,0.149,13880.7
26,marine_litter_428.jpg,polystyrene,yes,yes,0.148,13881.3
27,marine_litter_315.jpg,container,no,yes,0.148,13880.7
28,close_distance_trash45.jpg,trash,yes,yes,0.148,13880.2
