question_id,image,cls,label,response,inference_s,vram_mb
1,close_distance_trash177.jpg,container,yes,Yes,0.161,13865.2
2,close_distance_trash191.jpg,plastic,no,Yes,0.15,13860.4
3,far_distance_trash18.jpg,metal,yes,Yes,0.141,13859.0
4,marine_litter_427.jpg,polystyrene,yes,Yes,0.142,13865.0
5,hn_radisson_isla_corazon_anfi_42.jpg,trash,no,No,0.178,13863.8
6,marine_litter_340.jpg,polystyrene,yes,Yes,0.145,13865.0
7,hn_anfi_harbour_view_23.jpg,plastic,no,No,0.174,13859.5
8,far_distance_trash236.jpg,plastic,no,Yes,0.149,13859.5
9,marine_litter_367.jpg,plastic,yes,Yes,0.144,13859.5
10,marine_litter_25.jpg,trash,no,No,0.141,13863.8
11,hn_radisson_isla_corazon_anfi_70.jpg,trash,no,No,0.171,13863.8
12,medium_distance_trash914.jpg,container,no,Yes,0.256,13864.3
13,medium_distance_trash484.jpg,metal,no,Yes,0.149,13859.0
14,medium_distance_trash260.jpg,metal,yes,Yes,0.142,13859.0
15,marine_litter_333.jpg,plastic,yes,Yes,0.144,13859.5
16,medium_distance_trash673.jpg,trash,yes,No,0.146,13863.8
17,far_distance_trash65.jpg,trash,yes,No.,0.177,13863.8
18,hn_cabo_torres_view_harbour_entrance_85.jpg,plastic,no,No,0.181,13859.5
19,hn_scene_1006_9.jpg,plastic,no,No,0.172,13859.5
20,close_distance_trash92.jpg,metal,no,No,0.141,13859.0
21,far_distance_trash245.jpg,metal,yes,Yes,0.14,13859.0
22,medium_distance_trash6.jpg,plastic,no,No,0.146,13859.5
23,medium_distance_trash474.jpg,container,no,Yes,0.147,13864.3
24,hn_cabo_torres_view_harbour_entrance_78.jpg,trash,no,No,0.175,13863.8
25,medium_distance_trash48.jpg,container,yes,Yes,0.144,13864.3
26,marine_litter_428.jpg,polystyrene,yes,Yes,0.146,13865.0
27,marine_litter_315.jpg,container,no,Yes,0.142,13864.3
28,close_distance_trash45.jpg,trash,yes,No,0.143,13863.8
29,medium_distance_trash898.jpg,metal,yes,Yes,0.151,13859.0
30,close_distance_trash316.jpg,trash pile,no,Yes,0.152,13859.0
31,medium_distance_trash658.jpg,plastic,yes,Yes,0.146,13859.5
32,far_distance_trash36.jpg,trash,yes,No,0.154,13863.8
33,medium_distance_trash667.jpg,trash,yes,No.,0.183,13863.8
34,medium_distance_trash76.jpg,polystyrene,yes,Yes,0.146,13865.0
35,far_distance_trash74.jpg,plastic,no,Yes,0.139,13859.5
36,close_distance_trash54.jpg,plastic,no,No,0.14,13859.5
37,marine_litter_155.jpg,plastic,yes,Yes,0.15,13859.5
38,medium_distance_trash634.jpg,trash,yes,No.,0.175,13863.8
39,hn_cabo_torres_view_harbour_entrance_38.jpg,trash,no,No,0.169,13863.8
40,hn_scene_1006_129.jpg,trash,no,No,0.175,13863.8
41,close_distance_trash1240.jpg,trash,yes,No.,0.188,13863.8
42,medium_distance_trash706.jpg,plastic,yes,Yes,0.145,13859.5
43,far_distance_trash415.jpg,polystyrene,yes,Yes,0.146,13865.0
44,medium_distance_trash110.jpg,container,yes,Yes,0.14,13864.3
45,hn_radisson_isla_corazon_anfi_89.jpg,plastic,no,No,0.166,13859.5
46,far_distance_trash68.jpg,plastic,yes,Yes,0.143,13859.5
47,hn_radisson_isla_corazon_anfi_106.jpg,container,no,No,0.171,13864.3
48,far_distance_trash344.jpg,container,yes,Yes,0.148,13864.3
49,hn_radisson_isla_corazon_anfi_130.jpg,container,no,No,0.172,13864.3
50,medium_distance_trash274.jpg,container,yes,Yes,0.145,13864.3
51,marine_litter_363.jpg,plastic,yes,No,0.143,13859.5
52,medium_distance_trash192.jpg,container,yes,Yes,0.144,13864.3
53,hn_anfi_harbour_view_25.jpg,trash,no,No,0.17,13863.8
54,medium_distance_trash79.jpg,metal,yes,Yes,0.144,13859.0
55,medium_distance_trash1038.jpg,plastic,yes,Yes,0.218,13859.5
56,hn_cabo_torres_view_restinga_port_22.jpg,container,no,No,0.175,13864.3
57,medium_distance_trash77.jpg,plastic,yes,Yes,0.153,13859.5
58,medium_distance_trash709.jpg,plastic,no,Yes,0.151,13859.5
59,marine_litter_342.jpg,plastic,yes,Yes,0.146,13859.5
60,close_distance_trash846.jpg,trash,yes,No.,0.185,13863.8
61,medium_distance_trash47.jpg,container,yes,Yes,0.142,13864.3
62,medium_distance_trash876.jpg,metal,no,Yes,0.145,13859.0
63,far_distance_trash536.jpg,container,no,Yes,0.144,13864.3
64,medium_distance_trash240.jpg,container,yes,Yes,0.147,13864.3
65,far_distance_trash106.jpg,container,no,No,0.152,13864.3
66,marine_litter_236.jpg,polystyrene,yes,Yes,0.147,13865.0
67,close_distance_trash99.jpg,container,no,Yes,0.145,13864.3
68,medium_distance_trash56.jpg,plastic,yes,Yes,0.147,13859.5
69,hn_radisson_isla_corazon_anfi_113.jpg,plastic,no,No,0.173,13859.5
70,marine_litter_292.jpg,plastic,yes,Yes,0.144,13859.5
71,marine_litter_310.jpg,plastic,no,Yes,0.157,13859.5
72,marine_litter_367.jpg,container,yes,Yes,0.153,13864.3
73,hn_cabo_torres_view_restinga_port_28.jpg,trash,no,No,0.175,13863.8
74,hn_anfi_harbour_view_163.jpg,container,no,No,0.17,13864.3
75,close_distance_trash661.jpg,trash,yes,No,0.241,13863.8
76,far_distance_trash340.jpg,polystyrene,no,Yes,0.149,13865.0
77,medium_distance_trash892.jpg,plastic,no,Yes,0.14,13859.5
78,medium_distance_trash467.jpg,trash,yes,No,0.152,13863.8
79,marine_litter_438.jpg,polystyrene,yes,Yes,0.147,13865.0
80,medium_distance_trash629.jpg,plastic,yes,Yes,0.146,13859.5
81,hn_anfi_harbour_view_24.jpg,trash,no,No,0.19,13863.8
82,hn_anfi_isla_corazon_view_59.jpg,trash,no,No,0.174,13863.8
83,far_distance_trash365.jpg,container,yes,Yes,0.143,13864.3
84,close_distance_trash1278.jpg,plastic,yes,Yes,0.161,13859.5
85,marine_litter_168.jpg,container,yes,Yes,0.143,13864.3
86,marine_litter_441.jpg,container,yes,Yes,0.157,13864.3
87,medium_distance_trash491.jpg,container,no,No,0.153,13864.3
88,marine_litter_287.jpg,plastic,yes,Yes,0.14,13859.5
89,marine_litter_264.jpg,container,no,Yes,0.142,13864.3
90,close_distance_trash346.jpg,container,no,No,0.141,13864.3
91,medium_distance_trash69.jpg,plastic,no,No,0.145,13859.5
92,marine_litter_406.jpg,plastic,yes,No,0.146,13859.5
93,hn_anfi_isla_corazon_view_77.jpg,container,no,No,0.172,13864.3
94,medium_distance_trash595.jpg,plastic,yes,Yes,0.147,13859.5
95,medium_distance_trash217.jpg,plastic,yes,Yes,0.152,13859.5
96,close_distance_trash623.jpg,trash,yes,No.,0.19,13863.8
97,marine_litter_404.jpg,container,no,No,0.155,13864.3
98,hn_radisson_isla_corazon_anfi_46.jpg,plastic,no,No,0.211,13859.5
99,far_distance_trash42.jpg,trash,yes,No.,0.202,13863.8
100,medium_distance_trash910.jpg,plastic,no,Yes,0.266,13860.6
101,far_distance_trash7.jpg,plastic,yes,Yes,0.151,13860.4
102,marine_litter_148.jpg,plastic,no,Yes,0.151,13859.5
103,far_distance_trash296.jpg,plastic,yes,Yes,0.148,13859.5
104,medium_distance_trash237.jpg,plastic,yes,Yes,0.145,13859.5
105,hn_cabo_torres_view_harbour_entrance_71.jpg,plastic,no,No,0.184,13859.5
106,medium_distance_trash560.jpg,plastic,yes,Yes,0.153,13859.5
107,close_distance_trash235.jpg,plastic,yes,Yes,0.141,13859.5
108,hn_scene_1006_50.jpg,container,no,No,0.174,13864.3
109,hn_scene_1006_113.jpg,plastic,no,No,0.187,13859.5
110,close_distance_trash1191.jpg,metal,yes,Yes,0.151,13859.0
111,close_distance_trash76.jpg,container,no,No,0.144,13864.3
112,medium_distance_trash693.jpg,container,yes,Yes,0.152,13864.3
113,hn_scene_1006_104.jpg,container,no,No,0.172,13864.3
114,close_distance_trash222.jpg,container,yes,Yes,0.152,13864.3
115,marine_litter_165.jpg,container,yes,Yes,0.141,13864.3
116,hn_cabo_torres_view_harbour_entrance_14.jpg,trash,no,No,0.206,13863.8
117,medium_distance_trash242.jpg,trash,yes,No,0.157,13863.8
118,close_distance_trash1285.jpg,container,no,Yes,0.163,13864.3
119,medium_distance_trash512.jpg,container,yes,Yes,0.146,13864.3
120,close_distance_trash1235.jpg,container,yes,Yes,0.18,13864.3
121,marine_litter_313.jpg,container,no,Yes,0.151,13864.3
122,far_distance_trash486.jpg,plastic,yes,Yes,0.147,13859.5
123,close_distance_trash1293.jpg,metal,yes,Yes,0.147,13859.0
124,medium_distance_trash686.jpg,metal,yes,Yes,0.152,13859.0
125,hn_radisson_isla_corazon_anfi_86.jpg,plastic,no,No,0.175,13859.5
126,far_distance_trash367.jpg,container,yes,Yes,0.145,13864.3
127,medium_distance_trash664.jpg,container,yes,Yes,0.144,13864.3
128,medium_distance_trash834.jpg,metal,yes,Yes,0.146,13859.0
129,medium_distance_trash617.jpg,plastic,no,No,0.151,13859.5
130,hn_anfi_harbour_view_144.jpg,plastic,no,No,0.175,13859.5
131,medium_distance_trash933.jpg,plastic,yes,Yes,0.247,13859.5
132,medium_distance_trash430.jpg,container,no,No,0.147,13864.3
133,hn_anfi_harbour_view_143.jpg,trash,no,No,0.186,13863.8
134,close_distance_trash1219.jpg,metal,yes,Yes,0.15,13859.0
135,hn_anfi_harbour_view_176.jpg,trash,no,No,0.179,13863.8
136,close_distance_trash1219.jpg,trash,no,No.,0.182,13863.8
137,medium_distance_trash125.jpg,plastic,no,Yes,0.144,13859.5
138,far_distance_trash462.jpg,container,yes,No,0.208,13864.3
139,close_distance_trash105.jpg,container,yes,Yes,0.147,13864.3
140,close_distance_trash100.jpg,metal,yes,Yes,0.143,13859.0
141,marine_litter_400.jpg,container,yes,Yes,0.149,13864.3
142,marine_litter_217.jpg,polystyrene,yes,Yes,0.145,13865.0
143,hn_cabo_torres_view_restinga_port_38.jpg,trash,no,No,0.183,13863.8
144,hn_cabo_torres_view_restinga_port_29.jpg,trash,no,No,0.184,13863.8
145,medium_distance_trash475.jpg,trash,yes,No,0.147,13863.8
146,close_distance_trash826.jpg,container,no,No,0.154,13864.3
147,medium_distance_trash464.jpg,plastic,yes,Yes,0.142,13859.5
148,close_distance_trash218.jpg,trash pile,yes,Yes,0.146,13859.0
149,far_distance_trash26.jpg,trash,no,No.,0.173,13863.8
150,hn_anfi_harbour_view_62.jpg,plastic,no,No,0.174,13859.5
151,far_distance_trash28.jpg,plastic,no,Yes,0.145,13859.5
152,close_distance_trash265.jpg,container,yes,Yes,0.311,13864.3
153,marine_litter_114.jpg,plastic,yes,Yes,0.146,13859.5
154,medium_distance_trash1008.jpg,container,no,Yes,0.264,13864.3
155,far_distance_trash103.jpg,plastic,yes,Yes,0.148,13859.5
156,close_distance_trash12.jpg,polystyrene,no,Yes,0.152,13865.0
157,close_distance_trash46.jpg,plastic,yes,Yes,0.148,13859.5
158,medium_distance_trash458.jpg,plastic,no,Yes,0.152,13859.5
159,marine_litter_65.jpg,plastic,yes,Yes,0.143,13859.5
160,medium_distance_trash782.jpg,polystyrene,yes,Yes,0.149,13865.0
161,hn_radisson_isla_corazon_anfi_90.jpg,trash,no,No,0.165,13863.8
162,medium_distance_trash654.jpg,plastic,yes,Yes,0.144,13859.5
163,close_distance_trash217.jpg,plastic,yes,Yes,0.194,13859.5
164,marine_litter_40.jpg,plastic,yes,Yes,0.145,13859.5
165,medium_distance_trash872.jpg,container,yes,Yes,0.148,13864.3
166,close_distance_trash185.jpg,plastic,yes,Yes,0.145,13859.5
167,far_distance_trash366.jpg,container,no,No,0.149,13864.3
168,close_distance_trash1267.jpg,polystyrene,yes,Yes,0.161,13865.0
169,medium_distance_trash458.jpg,metal,no,No,0.142,13859.0
170,close_distance_trash733.jpg,plastic,yes,Yes,0.148,13859.5
171,hn_anfi_isla_corazon_view_43.jpg,trash,no,No,0.181,13863.8
172,hn_radisson_isla_corazon_anfi_105.jpg,trash,no,No,0.175,13863.8
173,medium_distance_trash503.jpg,metal,yes,Yes,0.15,13859.0
174,marine_litter_396.jpg,plastic,yes,Yes,0.143,13859.5
175,close_distance_trash1062.jpg,plastic,no,Yes,0.144,13859.5
176,far_distance_trash436.jpg,trash pile,yes,Yes,0.147,13859.0
177,far_distance_trash1.jpg,metal,yes,Yes,0.144,13859.0
178,medium_distance_trash976.jpg,plastic,no,Yes,0.153,13859.5
179,marine_litter_384.jpg,plastic,no,Yes,0.142,13859.5
180,hn_anfi_harbour_view_51.jpg,plastic,no,No,0.172,13859.5
181,hn_cabo_torres_view_harbour_entrance_58.jpg,plastic,no,No,0.173,13859.5
182,medium_distance_trash584.jpg,container,no,No,0.154,13864.3
183,close_distance_trash477.jpg,plastic,no,Yes,0.149,13859.5
184,far_distance_trash315.jpg,trash,yes,No,0.145,13863.8
185,far_distance_trash396.jpg,plastic,no,Yes,0.144,13859.5
186,close_distance_trash61.jpg,metal,no,No,0.145,13859.0
187,medium_distance_trash229.jpg,plastic,no,Yes,0.143,13859.5
188,hn_radisson_isla_corazon_anfi_34.jpg,trash,no,No,0.176,13863.8
189,marine_litter_86.jpg,container,no,No,0.143,13864.3
190,hn_cabo_torres_view_restinga_port_63.jpg,plastic,no,No,0.175,13859.5
191,hn_anfi_harbour_view_160.jpg,plastic,no,No,0.176,13859.5
192,far_distance_trash24.jpg,container,no,Yes,0.144,13864.3
193,medium_distance_trash759.jpg,container,yes,Yes,0.147,13864.3
194,close_distance_trash1275.jpg,trash pile,yes,Yes,0.157,13859.0
195,medium_distance_trash208.jpg,container,yes,Yes,0.145,13864.3
196,medium_distance_trash996.jpg,trash,no,No.,0.29,13863.8
197,far_distance_trash408.jpg,trash,yes,No,0.146,13863.8
198,hn_anfi_isla_corazon_view_44.jpg,trash,no,No,0.174,13863.8
199,marine_litter_202.jpg,polystyrene,yes,Yes,0.143,13865.0
200,close_distance_trash235.jpg,metal,no,No,0.156,13860.0
201,close_distance_trash83.jpg,plastic,yes,Yes,0.152,13860.4
202,hn_cabo_torres_view_harbour_entrance_27.jpg,plastic,no,No,0.187,13859.5
203,medium_distance_trash684.jpg,container,yes,Yes,0.174,13864.3
204,close_distance_trash229.jpg,container,yes,Yes,0.146,13864.3
205,medium_distance_trash729.jpg,metal,no,Yes,0.143,13859.0
206,medium_distance_trash599.jpg,plastic,no,Yes,0.144,13859.5
207,marine_litter_40.jpg,metal,no,No,0.144,13859.0
208,hn_scene_1006_85.jpg,container,no,No,0.178,13864.3
209,marine_litter_187.jpg,polystyrene,yes,Yes,0.155,13865.0
210,close_distance_trash238.jpg,trash pile,no,No,0.143,13859.0
211,far_distance_trash247.jpg,plastic,no,Yes,0.144,13859.5
212,close_distance_trash872.jpg,trash,yes,No,0.158,13863.8
213,marine_litter_373.jpg,trash,no,No,0.143,13863.8
214,medium_distance_trash250.jpg,plastic,no,Yes,0.144,13859.5
215,medium_distance_trash1009.jpg,plastic,yes,Yes,0.153,13859.5
216,medium_distance_trash712.jpg,container,yes,Yes,0.15,13864.3
217,hn_anfi_isla_corazon_view_25.jpg,plastic,no,No,0.184,13859.5
218,close_distance_trash79.jpg,container,yes,Yes,0.168,13864.3
219,hn_scene_1006_82.jpg,trash,no,No,0.195,13863.8
220,far_distance_trash281.jpg,metal,yes,Yes,0.145,13859.0
221,close_distance_trash243.jpg,plastic,no,Yes,0.144,13859.5
222,far_distance_trash242.jpg,plastic,yes,Yes,0.152,13859.5
223,medium_distance_trash919.jpg,plastic,yes,Yes,0.277,13859.5
224,hn_cabo_torres_view_restinga_port_32.jpg,plastic,no,No,0.189,13859.5
225,close_distance_trash1233.jpg,trash pile,yes,Yes,0.173,13859.0
226,close_distance_trash1280.jpg,plastic,yes,Yes,0.174,13859.5
227,medium_distance_trash841.jpg,plastic,yes,Yes,0.154,13859.5
228,far_distance_trash363.jpg,plastic,yes,Yes,0.154,13859.5
229,hn_cabo_torres_view_restinga_port_52.jpg,trash,no,No,0.184,13863.8
230,medium_distance_trash996.jpg,container,yes,Yes,0.284,13864.3
231,medium_distance_trash696.jpg,plastic,no,Yes,0.144,13859.5
232,close_distance_trash252.jpg,metal,no,Yes,0.145,13859.0
233,far_distance_trash522.jpg,plastic,no,Yes,0.143,13859.5
234,medium_distance_trash546.jpg,plastic,no,Yes,0.145,13859.5
235,close_distance_trash66.jpg,container,yes,No,0.155,13864.3
236,hn_scene_1006_63.jpg,trash,no,No,0.171,13863.8
237,far_distance_trash321.jpg,container,yes,Yes,0.144,13864.3
238,close_distance_trash9.jpg,trash,yes,No,0.172,13863.8
239,marine_litter_28.jpg,container,yes,No,0.153,13864.3
240,hn_radisson_isla_corazon_anfi_83.jpg,trash,no,No,0.177,13863.8
241,close_distance_trash902.jpg,metal,no,No,0.157,13859.0
242,hn_anfi_isla_corazon_view_16.jpg,container,no,No,0.177,13864.3
243,medium_distance_trash642.jpg,plastic,no,Yes,0.144,13859.5
244,close_distance_trash212.jpg,plastic,yes,Yes,0.147,13859.5
245,medium_distance_trash34.jpg,container,yes,Yes,0.146,13864.3
246,medium_distance_trash922.jpg,metal,yes,Yes,0.172,13859.0
247,close_distance_trash1267.jpg,plastic,yes,Yes,0.161,13859.5
248,marine_litter_359.jpg,container,yes,Yes,0.145,13864.3
249,marine_litter_4.jpg,container,yes,No,0.142,13864.3
250,medium_distance_trash883.jpg,metal,no,No,0.147,13859.0
251,hn_cabo_torres_view_harbour_entrance_39.jpg,container,no,No,0.173,13864.3
252,marine_litter_48.jpg,container,yes,Yes,0.143,13864.3
253,hn_anfi_harbour_view_123.jpg,plastic,no,No,0.175,13859.5
254,medium_distance_trash107.jpg,container,yes,Yes,0.142,13864.3
255,close_distance_trash197.jpg,plastic,yes,Yes,0.151,13859.5
256,marine_litter_308.jpg,plastic,yes,Yes,0.143,13859.5
257,close_distance_trash1224.jpg,container,yes,Yes,0.158,13864.3
258,hn_anfi_isla_corazon_view_59.jpg,plastic,no,No,0.179,13859.5
259,marine_litter_170.jpg,polystyrene,yes,Yes,0.141,13865.0
260,far_distance_trash313.jpg,metal,yes,Yes,0.144,13859.0
261,hn_scene_1006_38.jpg,trash,no,No,0.192,13863.8
262,far_distance_trash92.jpg,trash,yes,No.,0.179,13863.8
263,far_distance_trash239.jpg,container,no,No,0.165,13864.3
264,close_distance_trash1257.jpg,container,no,No,0.16,13864.3
265,close_distance_trash766.jpg,plastic,yes,Yes,0.152,13859.5
266,medium_distance_trash66.jpg,container,yes,Yes,0.146,13864.3
267,far_distance_trash67.jpg,plastic,yes,Yes,0.145,13859.5
268,marine_litter_176.jpg,container,yes,Yes,0.144,13864.3
269,marine_litter_254.jpg,polystyrene,yes,Yes,0.15,13865.0
270,close_distance_trash885.jpg,trash,no,No.,0.288,13863.8
