question_id,image,cls,label,response,inference_s,vram_mb
1,close_distance_trash177.jpg,container,yes,Yes,1.323,13865.2
2,close_distance_trash191.jpg,polystyrene,no,Yes,0.187,13865.0
3,far_distance_trash18.jpg,metal,yes,Yes,0.147,13859.9
4,marine_litter_427.jpg,polystyrene,yes,Yes,0.154,13865.0
5,hn_radisson_isla_corazon_anfi_42.jpg,plastic,no,No,0.19,13859.5
6,marine_litter_340.jpg,polystyrene,yes,Yes,0.162,13865.0
7,hn_anfi_harbour_view_23.jpg,container,no,No,0.193,13864.3
8,far_distance_trash236.jpg,container,no,No,0.146,13864.3
9,marine_litter_367.jpg,plastic,yes,Yes,0.14,13859.5
10,marine_litter_25.jpg,metal,no,No,0.15,13859.0
11,hn_radisson_isla_corazon_anfi_70.jpg,trash,no,No,0.172,13863.8
12,medium_distance_trash914.jpg,container,no,Yes,0.259,13864.3
13,medium_distance_trash484.jpg,metal,no,Yes,0.141,13859.0
14,medium_distance_trash260.jpg,metal,yes,Yes,0.146,13859.0
15,marine_litter_333.jpg,plastic,yes,Yes,0.145,13859.5
16,medium_distance_trash673.jpg,trash,yes,No,0.142,13863.8
17,far_distance_trash65.jpg,trash,yes,No.,0.175,13863.8
18,hn_cabo_torres_view_harbour_entrance_85.jpg,plastic,no,No,0.172,13859.5
19,hn_scene_1006_9.jpg,plastic,no,No,0.174,13859.5
20,close_distance_trash92.jpg,metal,no,No,0.142,13859.0
21,far_distance_trash245.jpg,metal,yes,Yes,0.138,13859.0
22,medium_distance_trash6.jpg,trash,no,No,0.141,13863.8
23,medium_distance_trash474.jpg,trash,no,No,0.142,13863.8
24,hn_cabo_torres_view_harbour_entrance_78.jpg,metal,no,No,0.168,13859.0
25,medium_distance_trash48.jpg,container,yes,Yes,0.143,13864.3
26,marine_litter_428.jpg,polystyrene,yes,Yes,0.142,13865.0
27,marine_litter_315.jpg,trash pile,no,No.,0.176,13859.0
28,close_distance_trash45.jpg,trash,yes,No,0.139,13863.8
29,medium_distance_trash898.jpg,metal,yes,Yes,0.139,13859.0
30,close_distance_trash316.jpg,trash,no,No.,0.178,13863.8
