question_id,image,cls,label,response,inference_s,vram_mb
1,close_distance_trash177.jpg,container,yes,no,0.231,4243.3
2,close_distance_trash191.jpg,plastic,no,no,0.196,4241.3
3,far_distance_trash18.jpg,metal,yes,yes,0.211,4240.8
4,marine_litter_427.jpg,polystyrene,yes,yes,0.209,4275.2
5,hn_radisson_isla_corazon_anfi_42.jpg,trash,no,yes,0.597,5215.9
6,marine_litter_340.jpg,polystyrene,yes,yes,0.215,4275.2
7,hn_anfi_harbour_view_23.jpg,plastic,no,no,0.588,5208.3
8,far_distance_trash236.jpg,plastic,no,yes,0.168,4241.3
9,marine_litter_367.jpg,plastic,yes,yes,0.164,4272.5
10,marine_litter_25.jpg,trash,no,Yes,0.161,4276.0
11,hn_radisson_isla_corazon_anfi_70.jpg,trash,no,yes,0.564,5215.9
12,medium_distance_trash914.jpg,container,no,no,5.081,14418.2
13,medium_distance_trash484.jpg,metal,no,no,0.2,4240.8
14,medium_distance_trash260.jpg,metal,yes,yes,0.134,4240.8
15,marine_litter_333.jpg,plastic,yes,yes,0.164,4272.5
16,medium_distance_trash673.jpg,trash,yes,Yes,0.158,4243.9
17,far_distance_trash65.jpg,trash,yes,yes,0.158,4243.9
18,hn_cabo_torres_view_harbour_entrance_85.jpg,plastic,no,no,0.581,5208.3
19,hn_scene_1006_9.jpg,plastic,no,no,0.605,5208.3
20,close_distance_trash92.jpg,metal,no,no,0.212,4240.8
21,far_distance_trash245.jpg,metal,yes,yes,0.157,4240.8
22,medium_distance_trash6.jpg,plastic,no,no,0.158,4241.3
23,medium_distance_trash474.jpg,container,no,no,0.2,4243.3
24,hn_cabo_torres_view_harbour_entrance_78.jpg,trash,no,yes,0.593,5215.9
25,medium_distance_trash48.jpg,container,yes,yes,0.208,4243.3
26,marine_litter_428.jpg,polystyrene,yes,yes,0.154,4275.2
27,marine_litter_315.jpg,container,no,yes,0.17,4275.2
28,close_distance_trash45.jpg,trash,yes,yes,0.162,4243.9
29,medium_distance_trash898.jpg,metal,yes,yes,0.162,4216.4
30,close_distance_trash316.jpg,trash pile,no,No,0.153,4272.9
31,medium_distance_trash658.jpg,plastic,yes,yes,0.159,4241.3
32,far_distance_trash36.jpg,trash,yes,Yes,0.167,4243.9
33,medium_distance_trash667.jpg,trash,yes,yes,0.226,4243.9
34,medium_distance_trash76.jpg,polystyrene,yes,no,0.16,4243.3
35,far_distance_trash74.jpg,plastic,no,yes,0.176,4241.3
36,close_distance_trash54.jpg,plastic,no,no,0.18,4241.3
37,marine_litter_155.jpg,plastic,yes,yes,0.161,4272.5
38,medium_distance_trash634.jpg,trash,yes,yes,0.16,4243.9
39,hn_cabo_torres_view_harbour_entrance_38.jpg,trash,no,yes,0.589,5215.9
40,hn_scene_1006_129.jpg,trash,no,yes,0.608,5215.9
41,close_distance_trash1240.jpg,trash,yes,Yes,0.218,4398.1
42,medium_distance_trash706.jpg,plastic,yes,no,0.168,4241.3
