question_id,image,cls,label,response,inference_s,vram_mb
1,close_distance_trash177.jpg,container,yes,no,0.937,4160.2
2,close_distance_trash191.jpg,polystyrene,no,no,0.225,4157.5
3,far_distance_trash18.jpg,metal,yes,yes,0.237,4155.6
4,marine_litter_427.jpg,polystyrene,yes,yes,0.214,4191.9
5,hn_radisson_isla_corazon_anfi_42.jpg,plastic,no,no,0.593,5125.7
6,marine_litter_340.jpg,polystyrene,yes,yes,0.172,4191.9
7,hn_anfi_harbour_view_23.jpg,container,no,no,0.558,5130.1
8,far_distance_trash236.jpg,container,no,no,0.19,4157.5
9,marine_litter_367.jpg,plastic,yes,yes,0.17,4189.7
10,marine_litter_25.jpg,metal,no,no,0.178,4189.2
11,hn_radisson_isla_corazon_anfi_70.jpg,trash,no,yes,0.564,5134.9
12,medium_distance_trash914.jpg,container,no,no,4.967,14335.0
13,medium_distance_trash484.jpg,metal,no,no,0.167,4155.6
14,medium_distance_trash260.jpg,metal,yes,yes,0.161,4155.6
15,marine_litter_333.jpg,plastic,yes,yes,0.171,4189.7
16,medium_distance_trash673.jpg,trash,yes,yes,0.17,4158.3
17,far_distance_trash65.jpg,trash,yes,yes,0.161,4158.3
18,hn_cabo_torres_view_harbour_entrance_85.jpg,plastic,no,no,0.556,5125.6
19,hn_scene_1006_9.jpg,plastic,no,no,0.581,5125.6
20,close_distance_trash92.jpg,metal,no,no,0.207,4155.6
21,far_distance_trash245.jpg,metal,yes,yes,0.161,4155.6
22,medium_distance_trash6.jpg,trash,no,yes,0.187,4158.3
23,medium_distance_trash474.jpg,trash,no,Yes,0.178,4158.3
24,hn_cabo_torres_view_harbour_entrance_78.jpg,metal,no,no,0.572,5124.1
25,medium_distance_trash48.jpg,container,yes,yes,0.189,4157.5
26,marine_litter_428.jpg,polystyrene,yes,yes,0.174,4191.9
27,marine_litter_315.jpg,trash pile,no,no,0.169,4190.2
28,close_distance_trash45.jpg,trash,yes,yes,0.169,4158.3
29,medium_distance_trash898.jpg,metal,yes,yes,0.175,4134.2
30,close_distance_trash316.jpg,trash,no,Yes,0.164,4193.2
31,medium_distance_trash658.jpg,plastic,yes,yes,0.163,4155.9
32,far_distance_trash36.jpg,trash,yes,Yes,0.163,4158.3
33,medium_distance_trash667.jpg,trash,yes,yes,0.151,4158.3
34,medium_distance_trash76.jpg,polystyrene,yes,yes,0.158,4157.5
35,far_distance_trash74.jpg,container,no,yes,0.146,4157.5
36,close_distance_trash54.jpg,plastic,no,no,0.159,4155.9
37,marine_litter_155.jpg,plastic,yes,yes,0.155,4189.7
38,medium_distance_trash634.jpg,trash,yes,yes,0.14,4158.3
39,hn_cabo_torres_view_harbour_entrance_38.jpg,metal,no,no,0.554,5124.1
40,hn_scene_1006_129.jpg,plastic,no,no,0.571,5125.6
