question_id,image,cls,label,response,inference_s,vram_mb
1,close_distance_trash177.jpg,container,yes,No.,5.476,13782.3
2,close_distance_trash191.jpg,plastic,no,Yes.,8.149,15543.6
3,far_distance_trash18.jpg,metal,yes,TIMEOUT,15.009,0
4,marine_litter_427.jpg,polystyrene,yes,No.,10.681,23468.3
5,hn_radisson_isla_corazon_anfi_42.jpg,metal,no,No.,1.264,8928.1
6,marine_litter_340.jpg,polystyrene,yes,No.,0.311,7681.1
7,hn_anfi_harbour_view_23.jpg,container,no,No.,1.318,8934.7
8,far_distance_trash236.jpg,plastic,no,Yes.,0.295,7646.8
9,marine_litter_367.jpg,plastic,yes,Yes.,0.291,7679.2
10,marine_litter_25.jpg,trash,no,No.,0.313,7681.7
11,hn_radisson_isla_corazon_anfi_70.jpg,metal,no,No.,1.258,8928.1
12,medium_distance_trash914.jpg,container,no,TIMEOUT,15.014,0
13,medium_distance_trash484.jpg,metal,no,TIMEOUT,15.003,0
14,medium_distance_trash260.jpg,metal,yes,TIMEOUT,15.012,0
15,marine_litter_333.jpg,plastic,yes,TIMEOUT,15.007,0
16,medium_distance_trash673.jpg,trash,yes,TIMEOUT,15.012,0
17,far_distance_trash65.jpg,trash,yes,TIMEOUT,15.007,0
18,hn_cabo_torres_view_harbour_entrance_85.jpg,container,no,TIMEOUT,15.01,0
19,hn_scene_1006_9.jpg,container,no,TIMEOUT,15.012,0
20,close_distance_trash92.jpg,trash pile,no,TIMEOUT,15.006,0
21,far_distance_trash245.jpg,metal,yes,Yes.,1.161,10372.2
22,medium_distance_trash6.jpg,container,no,Yes.,0.31,7646.8
23,medium_distance_trash474.jpg,container,no,No.,0.335,7646.8
24,hn_cabo_torres_view_harbour_entrance_78.jpg,metal,no,No.,1.283,8928.1
25,medium_distance_trash48.jpg,container,yes,Yes.,0.303,7646.8
26,marine_litter_428.jpg,polystyrene,yes,Yes.,0.282,7681.1
27,marine_litter_315.jpg,container,no,No.,0.296,7681.1
28,close_distance_trash45.jpg,trash,yes,No.,0.297,7646.8
29,medium_distance_trash898.jpg,metal,yes,Yes.,0.3,7628.5
30,close_distance_trash316.jpg,trash pile,no,No.,0.317,7679.5
31,medium_distance_trash658.jpg,plastic,yes,Yes.,0.329,7646.8
32,far_distance_trash36.jpg,trash,yes,No.,0.325,7646.8
33,medium_distance_trash667.jpg,trash,yes,No.,0.331,7646.8
34,medium_distance_trash76.jpg,polystyrene,yes,No.,0.315,7646.8
35,far_distance_trash74.jpg,container,no,Yes.,0.306,7646.8
36,close_distance_trash54.jpg,container,no,No.,0.298,7646.8
37,marine_litter_155.jpg,plastic,yes,No.,0.364,7679.2
38,medium_distance_trash634.jpg,trash,yes,No.,0.321,7646.8
39,hn_cabo_torres_view_harbour_entrance_38.jpg,metal,no,No.,1.264,8928.1
40,hn_scene_1006_129.jpg,metal,no,No.,1.272,8928.1
41,close_distance_trash1240.jpg,trash,yes,No.,0.458,7829.6
42,medium_distance_trash706.jpg,plastic,yes,Yes.,0.285,7646.8
43,far_distance_trash415.jpg,polystyrene,yes,Yes.,0.295,7646.8
44,medium_distance_trash110.jpg,container,yes,Yes.,0.276,7646.8
45,hn_radisson_isla_corazon_anfi_89.jpg,container,no,No.,1.316,8934.7
46,far_distance_trash68.jpg,plastic,yes,Yes.,0.332,7646.8
47,hn_radisson_isla_corazon_anfi_106.jpg,plastic,no,No.,1.293,8929.8
48,far_distance_trash344.jpg,container,yes,Yes.,0.315,7646.8
49,hn_radisson_isla_corazon_anfi_130.jpg,plastic,no,No.,1.26,8929.8
50,medium_distance_trash274.jpg,container,yes,Yes.,0.338,7646.8
51,marine_litter_363.jpg,plastic,yes,No.,0.289,7679.2
52,medium_distance_trash192.jpg,container,yes,Yes.,0.282,7628.5
53,hn_anfi_harbour_view_25.jpg,metal,no,No.,1.32,8928.1
54,medium_distance_trash79.jpg,metal,yes,No.,0.297,7646.8
55,medium_distance_trash1038.jpg,plastic,yes,Yes.,2.199,10343.4
56,hn_cabo_torres_view_restinga_port_22.jpg,plastic,no,No.,1.283,8929.8
57,medium_distance_trash77.jpg,plastic,yes,Yes.,0.292,7646.8
