question_id,image,cls,label,response,inference_s,vram_mb
1,close_distance_trash177.jpg,container,yes,no,0.425,1340.0
2,close_distance_trash191.jpg,polystyrene,no,no,0.412,1340.0
3,far_distance_trash18.jpg,metal,yes,yes,0.429,1340.0
4,marine_litter_427.jpg,polystyrene,yes,yes,0.501,1445.8
5,hn_radisson_isla_corazon_anfi_42.jpg,plastic,no,no,0.426,1340.0
6,marine_litter_340.jpg,polystyrene,yes,no,0.503,1445.8
7,hn_anfi_harbour_view_23.jpg,container,no,no,0.456,1340.0
8,far_distance_trash236.jpg,container,no,no,0.384,1340.0
9,marine_litter_367.jpg,plastic,yes,yes,0.52,1445.8
10,marine_litter_25.jpg,metal,no,no,0.514,1445.8
11,hn_radisson_isla_corazon_anfi_70.jpg,trash,no,no,0.426,1340.5
12,medium_distance_trash914.jpg,container,no,no,0.537,1340.0
13,medium_distance_trash484.jpg,metal,no,no,0.404,1340.0
14,medium_distance_trash260.jpg,metal,yes,yes,0.39,1340.0
15,marine_litter_333.jpg,plastic,yes,yes,0.542,1445.8
16,medium_distance_trash673.jpg,trash,yes,yes,0.406,1340.5
17,far_distance_trash65.jpg,trash,yes,yes,0.417,1340.5
18,hn_cabo_torres_view_harbour_entrance_85.jpg,plastic,no,no,0.426,1340.0
19,hn_scene_1006_9.jpg,plastic,no,no,0.441,1340.0
20,close_distance_trash92.jpg,metal,no,no,0.386,1340.0
21,far_distance_trash245.jpg,metal,yes,yes,0.391,1340.0
22,medium_distance_trash6.jpg,trash,no,no,0.412,1340.5
23,medium_distance_trash474.jpg,trash,no,yes,0.388,1340.5
24,hn_cabo_torres_view_harbour_entrance_78.jpg,metal,no,no,0.458,1340.0
25,medium_distance_trash48.jpg,container,yes,yes,0.417,1340.0
26,marine_litter_428.jpg,polystyrene,yes,yes,0.516,1445.8
27,marine_litter_315.jpg,trash pile,no,no,0.507,1445.8
28,close_distance_trash45.jpg,trash,yes,yes,0.38,1340.5
29,medium_distance_trash898.jpg,metal,yes,yes,0.403,1340.0
30,close_distance_trash316.jpg,trash,no,yes,0.521,1445.8
31,medium_distance_trash658.jpg,plastic,yes,yes,0.412,1340.0
32,far_distance_trash36.jpg,trash,yes,no,0.407,1340.5
