question_id,image,cls,label,response,inference_s,vram_mb
1,close_distance_trash177.jpg,container,yes,No.,0.431,1324.3
2,close_distance_trash191.jpg,plastic,no,No.,0.419,1324.8
3,far_distance_trash18.jpg,metal,yes,No.,0.423,1324.8
4,marine_litter_427.jpg,polystyrene,yes,No.,0.58,1428.8
5,hn_radisson_isla_corazon_anfi_42.jpg,trash,no,No.,0.46,1325.2
6,marine_litter_340.jpg,polystyrene,yes,Yes.,0.538,1428.8
7,hn_anfi_harbour_view_23.jpg,plastic,no,No.,0.458,1324.8
8,far_distance_trash236.jpg,plastic,no,No.,0.42,1324.8
9,marine_litter_367.jpg,plastic,yes,Yes.,0.548,1428.8
10,marine_litter_25.jpg,trash,no,Yes.,0.561,1428.8
11,hn_radisson_isla_corazon_anfi_70.jpg,trash,no,No.,0.517,1325.2
12,medium_distance_trash914.jpg,container,no,No.,0.563,1324.8
13,medium_distance_trash484.jpg,metal,no,No.,0.402,1324.8
14,medium_distance_trash260.jpg,metal,yes,No.,0.405,1324.8
15,marine_litter_333.jpg,plastic,yes,Yes.,0.557,1428.8
16,medium_distance_trash673.jpg,trash,yes,Yes.,0.411,1325.2
17,far_distance_trash65.jpg,trash,yes,Yes.,0.405,1325.2
18,hn_cabo_torres_view_harbour_entrance_85.jpg,plastic,no,No.,0.447,1324.8
19,hn_scene_1006_9.jpg,plastic,no,No.,0.461,1324.8
20,close_distance_trash92.jpg,metal,no,No.,0.4,1324.8
21,far_distance_trash245.jpg,metal,yes,Yes.,0.418,1324.8
22,medium_distance_trash6.jpg,plastic,no,No.,0.414,1324.8
23,medium_distance_trash474.jpg,container,no,No.,0.436,1324.8
24,hn_cabo_torres_view_harbour_entrance_78.jpg,trash,no,No.,0.43,1325.2
25,medium_distance_trash48.jpg,container,yes,No.,0.418,1324.8
26,marine_litter_428.jpg,polystyrene,yes,Yes.,0.535,1428.8
27,marine_litter_315.jpg,container,no,No.,0.522,1428.8
28,close_distance_trash45.jpg,trash,yes,Yes.,0.442,1325.2
29,medium_distance_trash898.jpg,metal,yes,No.,0.42,1324.8
30,close_distance_trash316.jpg,trash pile,no,No.,0.543,1428.8
31,medium_distance_trash658.jpg,plastic,yes,No.,0.391,1324.8
32,far_distance_trash36.jpg,trash,yes,Yes.,0.42,1325.2
33,medium_distance_trash667.jpg,trash,yes,Yes.,0.432,1325.2
34,medium_distance_trash76.jpg,polystyrene,yes,No.,0.41,1324.8
35,far_distance_trash74.jpg,plastic,no,No.,0.423,1324.8
36,close_distance_trash54.jpg,plastic,no,No.,0.397,1324.8
37,marine_litter_155.jpg,plastic,yes,No.,0.518,1428.8
38,medium_distance_trash634.jpg,trash,yes,Yes.,0.464,1325.2
39,hn_cabo_torres_view_harbour_entrance_38.jpg,trash,no,No.,0.462,1325.2
