question_id,image,cls,label,response,inference_s,vram_mb
1,close_distance_trash177.jpg,container,yes,yes,0.513,4658.3
2,close_distance_trash191.jpg,plastic,no,no,0.561,4657.5
3,far_distance_trash18.jpg,metal,yes,yes,0.529,4657.3
4,marine_litter_427.jpg,polystyrene,yes,yes,0.529,4763.0
5,hn_radisson_isla_corazon_anfi_42.jpg,trash,no,no,0.837,4660.3
6,marine_litter_340.jpg,polystyrene,yes,yes,0.72,4763.0
7,hn_anfi_harbour_view_23.jpg,plastic,no,no,0.626,4657.3
8,far_distance_trash236.jpg,plastic,no,no,0.672,4657.5
9,marine_litter_367.jpg,plastic,yes,yes,0.656,4761.8
10,marine_litter_25.jpg,trash,no,no,0.818,4763.9
11,hn_radisson_isla_corazon_anfi_70.jpg,trash,no,no,0.562,4660.3
12,medium_distance_trash914.jpg,container,no,no,0.888,4658.6
13,medium_distance_trash484.jpg,metal,no,no,0.465,4657.3
14,medium_distance_trash260.jpg,metal,yes,yes,0.564,4657.0
15,marine_litter_333.jpg,plastic,yes,yes,0.685,4761.8
16,medium_distance_trash673.jpg,trash,yes,yes,0.501,4660.5
17,far_distance_trash65.jpg,trash,yes,yes,0.446,4660.5
18,hn_cabo_torres_view_harbour_entrance_85.jpg,plastic,no,no,0.743,4657.3
19,hn_scene_1006_9.jpg,plastic,no,no,0.682,4657.3
20,close_distance_trash92.jpg,metal,no,no,0.472,4657.0
21,far_distance_trash245.jpg,metal,yes,yes,0.434,4657.0
22,medium_distance_trash6.jpg,plastic,no,no,0.585,4657.5
23,medium_distance_trash474.jpg,container,no,no,0.477,4658.8
24,hn_cabo_torres_view_harbour_entrance_78.jpg,trash,no,no,0.654,4660.3
25,medium_distance_trash48.jpg,container,yes,yes,0.592,4658.8
26,marine_litter_428.jpg,polystyrene,yes,yes,0.568,4763.0
27,marine_litter_315.jpg,container,no,yes,0.576,4763.2
28,close_distance_trash45.jpg,trash,yes,yes,0.559,4660.3
29,medium_distance_trash898.jpg,metal,yes,no,0.527,4657.3
30,close_distance_trash316.jpg,trash pile,no,no,0.639,4761.8
31,medium_distance_trash658.jpg,plastic,yes,yes,0.697,4657.3
32,far_distance_trash36.jpg,trash,yes,yes,0.606,4660.5
33,medium_distance_trash667.jpg,trash,yes,yes,0.536,4660.5
34,medium_distance_trash76.jpg,polystyrene,yes,no,0.486,4658.4
35,far_distance_trash74.jpg,plastic,no,no,0.601,4657.3
36,close_distance_trash54.jpg,plastic,no,no,0.615,4657.5
37,marine_litter_155.jpg,plastic,yes,yes,0.828,4761.8
