question_id,image,cls,label,response,inference_s,vram_mb
1,close_distance_trash177.jpg,container,yes,yes,0.371,4658.4
2,close_distance_trash191.jpg,polystyrene,no,no,0.36,4658.1
3,far_distance_trash18.jpg,metal,yes,yes,0.363,4656.6
4,marine_litter_427.jpg,polystyrene,yes,yes,0.457,4762.7
5,hn_radisson_isla_corazon_anfi_42.jpg,plastic,no,no,0.416,4656.6
6,marine_litter_340.jpg,polystyrene,yes,yes,0.494,4762.7
7,hn_anfi_harbour_view_23.jpg,container,no,no,0.429,4658.1
8,far_distance_trash236.jpg,container,no,no,0.375,4658.4
9,marine_litter_367.jpg,plastic,yes,yes,0.446,4762.0
10,marine_litter_25.jpg,metal,no,no,0.471,4760.8
11,hn_radisson_isla_corazon_anfi_70.jpg,trash,no,no,0.396,4658.9
12,medium_distance_trash914.jpg,container,no,no,0.53,4658.1
13,medium_distance_trash484.jpg,metal,no,no,0.368,4656.6
14,medium_distance_trash260.jpg,metal,yes,yes,0.353,4656.3
15,marine_litter_333.jpg,plastic,yes,yes,0.487,4762.0
16,medium_distance_trash673.jpg,trash,yes,yes,0.38,4659.1
17,far_distance_trash65.jpg,trash,yes,yes,0.363,4659.1
18,hn_cabo_torres_view_harbour_entrance_85.jpg,plastic,no,no,0.406,4656.6
19,hn_scene_1006_9.jpg,plastic,no,no,0.409,4656.6
20,close_distance_trash92.jpg,metal,no,no,0.349,4656.3
21,far_distance_trash245.jpg,metal,yes,yes,0.354,4656.3
22,medium_distance_trash6.jpg,trash,no,yes,0.349,4659.1
23,medium_distance_trash474.jpg,trash,no,yes,0.368,4659.1
24,hn_cabo_torres_view_harbour_entrance_78.jpg,metal,no,no,0.38,4656.3
25,medium_distance_trash48.jpg,container,yes,yes,0.348,4658.4
26,marine_litter_428.jpg,polystyrene,yes,yes,0.47,4762.7
27,marine_litter_315.jpg,trash pile,no,no,0.461,4762.0
28,close_distance_trash45.jpg,trash,yes,yes,0.341,4658.9
29,medium_distance_trash898.jpg,metal,yes,no,0.36,4656.6
30,close_distance_trash316.jpg,trash,no,no,0.45,4763.3
31,medium_distance_trash658.jpg,plastic,yes,yes,0.357,4656.6
32,far_distance_trash36.jpg,trash,yes,yes,0.358,4659.1
33,medium_distance_trash667.jpg,trash,yes,yes,0.358,4659.1
34,medium_distance_trash76.jpg,polystyrene,yes,no,0.366,4657.8
35,far_distance_trash74.jpg,container,no,no,0.373,4658.1
36,close_distance_trash54.jpg,plastic,no,no,0.361,4656.8
37,marine_litter_155.jpg,plastic,yes,yes,0.465,4762.0
38,medium_distance_trash634.jpg,trash,yes,yes,0.366,4659.1
39,hn_cabo_torres_view_harbour_entrance_38.jpg,metal,no,no,0.425,4656.3
40,hn_scene_1006_129.jpg,plastic,no,no,0.404,4656.6
41,close_distance_trash1240.jpg,trash,yes,no,0.37,4659.1
42,medium_distance_trash706.jpg,plastic,yes,yes,0.365,4656.8
43,far_distance_trash415.jpg,polystyrene,yes,yes,0.379,4658.1
44,medium_distance_trash110.jpg,container,yes,yes,0.358,4658.1
45,hn_radisson_isla_corazon_anfi_89.jpg,trash pile,no,no,0.413,4656.6
46,far_distance_trash68.jpg,plastic,yes,yes,0.382,4656.8
47,hn_radisson_isla_corazon_anfi_106.jpg,trash pile,no,no,0.396,4656.6
48,far_distance_trash344.jpg,container,yes,yes,0.356,4658.4
49,hn_radisson_isla_corazon_anfi_130.jpg,trash,no,no,0.394,4658.9
50,medium_distance_trash274.jpg,container,yes,yes,0.355,4658.1
51,marine_litter_363.jpg,plastic,yes,yes,0.464,4762.0
52,medium_distance_trash192.jpg,container,yes,no,0.371,4658.4
53,hn_anfi_harbour_view_25.jpg,polystyrene,no,no,0.397,4657.8
54,medium_distance_trash79.jpg,metal,yes,yes,0.346,4656.3
55,medium_distance_trash1038.jpg,plastic,yes,yes,0.467,4656.8
56,hn_cabo_torres_view_restinga_port_22.jpg,container,no,no,0.412,4658.1
57,medium_distance_trash77.jpg,plastic,yes,yes,0.382,4656.6
58,medium_distance_trash709.jpg,plastic,no,yes,0.369,4656.8
59,marine_litter_342.jpg,plastic,yes,no,0.484,4762.0
60,close_distance_trash846.jpg,trash,yes,no,0.496,4763.3
61,medium_distance_trash47.jpg,container,yes,yes,0.37,4658.4
62,medium_distance_trash876.jpg,metal,no,yes,0.351,4656.3
63,far_distance_trash536.jpg,polystyrene,no,no,0.344,4658.1
64,medium_distance_trash240.jpg,container,yes,yes,0.363,4658.4
65,far_distance_trash106.jpg,polystyrene,no,no,0.378,4658.1
66,marine_litter_236.jpg,polystyrene,yes,yes,0.462,4762.7
67,close_distance_trash99.jpg,metal,no,no,0.355,4656.3
68,medium_distance_trash56.jpg,plastic,yes,no,0.365,4656.6
69,hn_radisson_isla_corazon_anfi_113.jpg,plastic,no,no,0.411,4656.6
70,marine_litter_292.jpg,plastic,yes,yes,0.485,4762.0
71,marine_litter_310.jpg,metal,no,no,0.459,4760.8
72,marine_litter_367.jpg,container,yes,yes,0.451,4762.9
73,hn_cabo_torres_view_restinga_port_28.jpg,container,no,no,0.423,4658.1
74,hn_anfi_harbour_view_163.jpg,container,no,no,0.406,4658.1
75,close_distance_trash661.jpg,trash,yes,yes,0.48,4658.9
76,far_distance_trash340.jpg,plastic,no,yes,0.372,4656.8
77,medium_distance_trash892.jpg,trash pile,no,no,0.364,4656.6
78,medium_distance_trash467.jpg,trash,yes,no,0.373,4659.1
79,marine_litter_438.jpg,polystyrene,yes,yes,0.484,4762.7
80,medium_distance_trash629.jpg,plastic,yes,yes,0.363,4656.8
81,hn_anfi_harbour_view_24.jpg,polystyrene,no,no,0.379,4657.8
82,hn_anfi_isla_corazon_view_59.jpg,polystyrene,no,no,0.387,4657.8
83,far_distance_trash365.jpg,container,yes,yes,0.354,4658.4
84,close_distance_trash1278.jpg,plastic,yes,yes,0.359,4656.6
85,marine_litter_168.jpg,container,yes,yes,0.429,4762.9
86,marine_litter_441.jpg,container,yes,yes,0.431,4762.9
87,medium_distance_trash491.jpg,trash,no,no,0.33,4659.1
88,marine_litter_287.jpg,plastic,yes,yes,0.416,4762.0
89,marine_litter_264.jpg,container,no,no,0.436,4762.9
90,close_distance_trash346.jpg,container,no,no,0.399,4762.9
91,medium_distance_trash69.jpg,metal,no,no,0.321,4656.6
92,marine_litter_406.jpg,plastic,yes,no,0.432,4762.0
