question_id,image,cls,label,response,inference_s,vram_mb
1,close_distance_trash177.jpg,container,yes,Yes.,0.497,4642.9
2,close_distance_trash191.jpg,plastic,no,No.,0.51,4641.6
3,far_distance_trash18.jpg,metal,yes,No.,0.691,4640.3
4,marine_litter_427.jpg,polystyrene,yes,No.,0.833,4745.8
5,hn_radisson_isla_corazon_anfi_42.jpg,metal,no,No.,0.825,4640.1
6,marine_litter_340.jpg,polystyrene,yes,Yes.,0.65,4745.8
7,hn_anfi_harbour_view_23.jpg,container,no,No.,0.724,4642.6
8,far_distance_trash236.jpg,plastic,no,No.,0.576,4641.6
9,marine_litter_367.jpg,plastic,yes,Yes.,0.572,4744.6
10,marine_litter_25.jpg,trash,no,No.,0.615,4746.8
11,hn_radisson_isla_corazon_anfi_70.jpg,metal,no,No.,0.792,4640.1
12,medium_distance_trash914.jpg,container,no,No.,0.952,4642.6
13,medium_distance_trash484.jpg,metal,no,No.,0.457,4640.3
14,medium_distance_trash260.jpg,metal,yes,No.,0.558,4640.1
15,marine_litter_333.jpg,plastic,yes,Yes.,0.717,4744.6
16,medium_distance_trash673.jpg,trash,yes,No.,0.711,4643.5
17,far_distance_trash65.jpg,trash,yes,No.,0.633,4643.5
18,hn_cabo_torres_view_harbour_entrance_85.jpg,container,no,No.,0.868,4642.6
19,hn_scene_1006_9.jpg,container,no,No.,0.86,4642.6
20,close_distance_trash92.jpg,trash pile,no,No.,0.675,4640.3
21,far_distance_trash245.jpg,metal,yes,No.,0.752,4640.1
22,medium_distance_trash6.jpg,container,no,Yes.,0.492,4642.9
23,medium_distance_trash474.jpg,container,no,No.,0.738,4642.9
24,hn_cabo_torres_view_harbour_entrance_78.jpg,metal,no,No.,0.555,4640.1
25,medium_distance_trash48.jpg,container,yes,Yes.,0.531,4642.9
26,marine_litter_428.jpg,polystyrene,yes,Yes.,0.664,4745.8
27,marine_litter_315.jpg,container,no,No.,0.905,4746.0
28,close_distance_trash45.jpg,trash,yes,No.,0.745,4643.3
29,medium_distance_trash898.jpg,metal,yes,No.,0.735,4640.3
30,close_distance_trash316.jpg,trash pile,no,Yes.,0.554,4744.6
31,medium_distance_trash658.jpg,plastic,yes,Yes.,0.649,4640.3
32,far_distance_trash36.jpg,trash,yes,No.,0.526,4643.5
33,medium_distance_trash667.jpg,trash,yes,No.,0.566,4643.5
34,medium_distance_trash76.jpg,polystyrene,yes,No.,0.552,4642.4
35,far_distance_trash74.jpg,container,no,No.,0.548,4642.6
36,close_distance_trash54.jpg,container,no,No.,0.66,4642.9
37,marine_litter_155.jpg,plastic,yes,No.,0.814,4744.6
38,medium_distance_trash634.jpg,trash,yes,No.,0.736,4643.5
39,hn_cabo_torres_view_harbour_entrance_38.jpg,metal,no,No.,0.719,4640.1
40,hn_scene_1006_129.jpg,metal,no,No.,0.602,4640.1
41,close_distance_trash1240.jpg,trash,yes,No.,0.553,4643.5
42,medium_distance_trash706.jpg,plastic,yes,No.,0.577,4641.6
43,far_distance_trash415.jpg,polystyrene,yes,Yes.,0.742,4642.6
44,medium_distance_trash110.jpg,container,yes,Yes.,0.552,4642.6
45,hn_radisson_isla_corazon_anfi_89.jpg,container,no,No.,0.589,4642.6
46,far_distance_trash68.jpg,plastic,yes,No.,0.582,4641.6
47,hn_radisson_isla_corazon_anfi_106.jpg,plastic,no,No.,0.442,4640.3
48,far_distance_trash344.jpg,container,yes,No.,0.48,4642.9
49,hn_radisson_isla_corazon_anfi_130.jpg,plastic,no,No.,0.655,4640.3
50,medium_distance_trash274.jpg,container,yes,Yes.,0.592,4642.6
51,marine_litter_363.jpg,plastic,yes,No.,0.697,4744.6
52,medium_distance_trash192.jpg,container,yes,Yes.,0.713,4642.9
53,hn_anfi_harbour_view_25.jpg,metal,no,No.,0.653,4640.1
54,medium_distance_trash79.jpg,metal,yes,Yes.,0.567,4640.1
55,medium_distance_trash1038.jpg,plastic,yes,No.,0.704,4641.6
56,hn_cabo_torres_view_restinga_port_22.jpg,plastic,no,No.,0.651,4640.3
57,medium_distance_trash77.jpg,plastic,yes,Yes.,0.655,4640.3
58,medium_distance_trash709.jpg,plastic,no,Yes.,0.554,4641.6
59,marine_litter_342.jpg,plastic,yes,No.,0.781,4744.6
60,close_distance_trash846.jpg,trash,yes,No.,0.631,4746.8
61,medium_distance_trash47.jpg,container,yes,Yes.,0.561,4642.9
62,medium_distance_trash876.jpg,polystyrene,no,No.,0.644,4642.4
63,far_distance_trash536.jpg,container,no,No.,0.567,4642.9
64,medium_distance_trash240.jpg,container,yes,Yes.,0.576,4642.9
65,far_distance_trash106.jpg,container,no,Yes.,0.677,4642.9
66,marine_litter_236.jpg,polystyrene,yes,Yes.,0.873,4745.8
67,close_distance_trash99.jpg,container,no,Yes.,0.663,4642.6
68,medium_distance_trash56.jpg,plastic,yes,Yes.,0.625,4640.3
69,hn_radisson_isla_corazon_anfi_113.jpg,container,no,No.,0.573,4642.6
70,marine_litter_292.jpg,plastic,yes,No.,0.762,4744.6
71,marine_litter_310.jpg,plastic,no,No.,0.703,4744.6
72,marine_litter_367.jpg,container,yes,No.,0.879,4746.0
