question_id,image,cls,label,response,inference_s,vram_mb
1,close_distance_trash177.jpg,container,yes,Yes.,2.057,4642.9
2,close_distance_trash191.jpg,polystyrene,no,No.,0.469,4642.9
3,far_distance_trash18.jpg,metal,yes,No.,0.679,4640.6
4,marine_litter_427.jpg,polystyrene,yes,No.,0.702,4746.3
5,hn_radisson_isla_corazon_anfi_42.jpg,plastic,no,No.,0.649,4640.6
6,marine_litter_340.jpg,polystyrene,yes,Yes.,0.82,4746.3
7,hn_anfi_harbour_view_23.jpg,container,no,No.,0.868,4642.9
8,far_distance_trash236.jpg,container,no,No.,0.533,4643.1
9,marine_litter_367.jpg,plastic,yes,Yes.,0.766,4745.0
10,marine_litter_25.jpg,metal,no,No.,0.907,4744.8
11,hn_radisson_isla_corazon_anfi_70.jpg,trash,no,No.,0.572,4644.5
12,medium_distance_trash914.jpg,container,no,No.,0.796,4642.9
13,medium_distance_trash484.jpg,metal,no,No.,0.568,4640.6
14,medium_distance_trash260.jpg,metal,yes,No.,0.53,4640.4
15,marine_litter_333.jpg,plastic,yes,Yes.,0.523,4745.0
16,medium_distance_trash673.jpg,trash,yes,No.,0.512,4644.6
17,far_distance_trash65.jpg,trash,yes,No.,0.598,4644.6
18,hn_cabo_torres_view_harbour_entrance_85.jpg,plastic,no,No.,0.626,4640.6
19,hn_scene_1006_9.jpg,plastic,no,No.,0.629,4640.6
20,close_distance_trash92.jpg,metal,no,No.,0.519,4640.4
21,far_distance_trash245.jpg,metal,yes,No.,0.577,4640.4
22,medium_distance_trash6.jpg,trash,no,No.,0.691,4644.6
23,medium_distance_trash474.jpg,trash,no,No.,0.587,4644.6
24,hn_cabo_torres_view_harbour_entrance_78.jpg,metal,no,No.,0.585,4640.4
25,medium_distance_trash48.jpg,container,yes,Yes.,0.515,4643.1
26,marine_litter_428.jpg,polystyrene,yes,Yes.,0.685,4746.3
27,marine_litter_315.jpg,trash pile,no,No.,0.614,4745.0
28,close_distance_trash45.jpg,trash,yes,No.,0.628,4644.5
29,medium_distance_trash898.jpg,metal,yes,No.,0.643,4640.6
30,close_distance_trash316.jpg,trash,no,No.,0.755,4747.3
31,medium_distance_trash658.jpg,plastic,yes,Yes.,0.64,4640.6
32,far_distance_trash36.jpg,trash,yes,No.,0.68,4644.6
33,medium_distance_trash667.jpg,trash,yes,No.,0.686,4644.6
34,medium_distance_trash76.jpg,polystyrene,yes,No.,0.665,4642.7
35,far_distance_trash74.jpg,container,no,No.,0.472,4642.9
36,close_distance_trash54.jpg,plastic,no,No.,0.621,4641.8
37,marine_litter_155.jpg,plastic,yes,No.,0.663,4745.0
38,medium_distance_trash634.jpg,trash,yes,No.,0.631,4644.6
39,hn_cabo_torres_view_harbour_entrance_38.jpg,metal,no,No.,0.799,4640.4
40,hn_scene_1006_129.jpg,plastic,no,No.,0.789,4640.6
41,close_distance_trash1240.jpg,trash,yes,No.,0.572,4644.6
42,medium_distance_trash706.jpg,plastic,yes,No.,0.549,4641.8
43,far_distance_trash415.jpg,polystyrene,yes,Yes.,0.627,4642.9
44,medium_distance_trash110.jpg,container,yes,Yes.,0.578,4642.9
45,hn_radisson_isla_corazon_anfi_89.jpg,trash pile,no,No.,0.846,4640.6
46,far_distance_trash68.jpg,plastic,yes,No.,0.751,4641.8
47,hn_radisson_isla_corazon_anfi_106.jpg,trash pile,no,No.,0.604,4640.6
48,far_distance_trash344.jpg,container,yes,No.,0.639,4643.1
49,hn_radisson_isla_corazon_anfi_130.jpg,trash,no,No.,0.692,4644.5
50,medium_distance_trash274.jpg,container,yes,Yes.,0.54,4642.9
51,marine_litter_363.jpg,plastic,yes,No.,0.775,4745.0
52,medium_distance_trash192.jpg,container,yes,Yes.,0.555,4643.1
53,hn_anfi_harbour_view_25.jpg,polystyrene,no,No.,0.881,4642.7
54,medium_distance_trash79.jpg,metal,yes,Yes.,0.525,4640.4
55,medium_distance_trash1038.jpg,plastic,yes,No.,0.837,4641.8
56,hn_cabo_torres_view_restinga_port_22.jpg,container,no,No.,0.846,4642.9
57,medium_distance_trash77.jpg,plastic,yes,Yes.,0.697,4640.6
58,medium_distance_trash709.jpg,plastic,no,Yes.,0.493,4641.8
59,marine_litter_342.jpg,plastic,yes,No.,0.795,4745.0
60,close_distance_trash846.jpg,trash,yes,No.,0.904,4747.3
61,medium_distance_trash47.jpg,container,yes,Yes.,0.53,4643.1
62,medium_distance_trash876.jpg,metal,no,No.,0.494,4640.4
63,far_distance_trash536.jpg,polystyrene,no,No.,0.788,4642.9
64,medium_distance_trash240.jpg,container,yes,Yes.,0.67,4643.1
65,far_distance_trash106.jpg,polystyrene,no,No.,0.476,4642.9
66,marine_litter_236.jpg,polystyrene,yes,Yes.,0.919,4746.3
67,close_distance_trash99.jpg,metal,no,No.,0.666,4640.4
68,medium_distance_trash56.jpg,plastic,yes,Yes.,0.591,4640.6
69,hn_radisson_isla_corazon_anfi_113.jpg,plastic,no,No.,0.744,4640.6
70,marine_litter_292.jpg,plastic,yes,No.,0.737,4745.0
71,marine_litter_310.jpg,metal,no,No.,0.863,4744.8
72,marine_litter_367.jpg,container,yes,No.,0.766,4746.5
73,hn_cabo_torres_view_restinga_port_28.jpg,container,no,No.,0.738,4642.9
74,hn_anfi_harbour_view_163.jpg,container,no,No.,0.606,4642.9
75,close_distance_trash661.jpg,trash,yes,Yes.,0.782,4644.5
76,far_distance_trash340.jpg,plastic,no,No.,0.659,4641.8
77,medium_distance_trash892.jpg,trash pile,no,No.,0.669,4640.6
78,medium_distance_trash467.jpg,trash,yes,No.,0.536,4644.6
79,marine_litter_438.jpg,polystyrene,yes,No.,0.699,4746.3
80,medium_distance_trash629.jpg,plastic,yes,Yes.,0.659,4641.8
81,hn_anfi_harbour_view_24.jpg,polystyrene,no,No.,0.537,4642.7
82,hn_anfi_isla_corazon_view_59.jpg,polystyrene,no,No.,0.55,4642.7
83,far_distance_trash365.jpg,container,yes,No.,0.579,4643.1
84,close_distance_trash1278.jpg,plastic,yes,No.,0.484,4640.6
85,marine_litter_168.jpg,container,yes,No.,0.721,4746.5
86,marine_litter_441.jpg,container,yes,No.,0.733,4746.5
87,medium_distance_trash491.jpg,trash,no,No.,0.607,4644.6
88,marine_litter_287.jpg,plastic,yes,Yes.,0.748,4745.0
89,marine_litter_264.jpg,container,no,No.,0.703,4746.5
90,close_distance_trash346.jpg,container,no,No.,0.963,4746.5
91,medium_distance_trash69.jpg,metal,no,No.,0.566,4640.6
92,marine_litter_406.jpg,plastic,yes,No.,0.764,4745.0
93,hn_anfi_isla_corazon_view_77.jpg,container,no,No.,0.746,4642.9
94,medium_distance_trash595.jpg,plastic,yes,Yes.,0.834,4641.8
95,medium_distance_trash217.jpg,plastic,yes,Yes.,0.754,4640.6
96,close_distance_trash623.jpg,trash,yes,No.,0.623,4747.3
97,marine_litter_404.jpg,container,no,No.,0.764,4746.5
98,hn_radisson_isla_corazon_anfi_46.jpg,container,no,No.,0.866,4642.9
99,far_distance_trash42.jpg,trash,yes,No.,0.472,4644.6
100,medium_distance_trash910.jpg,trash,no,No.,1.0,4643.5
101,far_distance_trash7.jpg,plastic,yes,No.,0.521,4640.3
102,marine_litter_148.jpg,plastic,no,No.,0.817,4744.6
103,far_distance_trash296.jpg,plastic,yes,Yes.,0.571,4641.6
104,medium_distance_trash237.jpg,plastic,yes,Yes.,0.571,4640.3
105,hn_cabo_torres_view_harbour_entrance_71.jpg,polystyrene,no,No.,0.651,4642.4
106,medium_distance_trash560.jpg,plastic,yes,Yes.,0.529,4641.6
107,close_distance_trash235.jpg,plastic,yes,Yes.,0.45,4641.6
108,hn_scene_1006_50.jpg,polystyrene,no,No.,0.438,4642.4
109,hn_scene_1006_113.jpg,trash,no,No.,0.51,4643.3
110,close_distance_trash1191.jpg,metal,yes,No.,0.763,4744.3
111,close_distance_trash76.jpg,trash,no,No.,0.514,4643.5
112,medium_distance_trash693.jpg,container,yes,Yes.,0.506,4642.9
113,hn_scene_1006_104.jpg,polystyrene,no,No.,0.591,4642.4
114,close_distance_trash222.jpg,container,yes,Yes.,0.543,4642.9
115,marine_litter_165.jpg,container,yes,No.,0.641,4746.0
116,hn_cabo_torres_view_harbour_entrance_14.jpg,plastic,no,No.,0.833,4640.3
117,medium_distance_trash242.jpg,trash,yes,No.,0.593,4643.5
118,close_distance_trash1285.jpg,trash,no,No.,0.615,4643.3
119,medium_distance_trash512.jpg,container,yes,Yes.,0.804,4642.9
120,close_distance_trash1235.jpg,container,yes,Yes.,0.726,4642.6
121,marine_litter_313.jpg,metal,no,No.,0.884,4744.3
122,far_distance_trash486.jpg,plastic,yes,Yes.,0.572,4641.6
123,close_distance_trash1293.jpg,metal,yes,No.,0.723,4640.3
124,medium_distance_trash686.jpg,metal,yes,No.,0.749,4640.3
125,hn_radisson_isla_corazon_anfi_86.jpg,metal,no,No.,0.979,4640.1
126,far_distance_trash367.jpg,container,yes,No.,0.51,4642.9
127,medium_distance_trash664.jpg,container,yes,Yes.,0.544,4642.9
128,medium_distance_trash834.jpg,metal,yes,No.,0.562,4640.1
129,medium_distance_trash617.jpg,polystyrene,no,No.,0.609,4642.6
130,hn_anfi_harbour_view_144.jpg,trash pile,no,No.,0.607,4640.3
131,medium_distance_trash933.jpg,plastic,yes,No.,0.834,4641.6
132,medium_distance_trash430.jpg,trash pile,no,No.,0.715,4641.6
133,hn_anfi_harbour_view_143.jpg,metal,no,No.,0.667,4640.1
134,close_distance_trash1219.jpg,metal,yes,No.,0.888,4744.3
135,hn_anfi_harbour_view_176.jpg,metal,no,No.,0.657,4640.1
136,close_distance_trash1219.jpg,trash,no,No.,0.725,4746.8
137,medium_distance_trash125.jpg,trash pile,no,No.,0.632,4641.6
138,far_distance_trash462.jpg,container,yes,No.,0.813,4642.9
139,close_distance_trash105.jpg,container,yes,Yes.,0.747,4642.9
140,close_distance_trash100.jpg,metal,yes,No.,0.643,4640.3
141,marine_litter_400.jpg,container,yes,No.,0.645,4746.0
142,marine_litter_217.jpg,polystyrene,yes,No.,0.787,4745.8
143,hn_cabo_torres_view_restinga_port_38.jpg,plastic,no,No.,0.555,4640.3
144,hn_cabo_torres_view_restinga_port_29.jpg,polystyrene,no,No.,0.65,4642.4
145,medium_distance_trash475.jpg,trash,yes,No.,0.522,4643.5
146,close_distance_trash826.jpg,container,no,No.,0.608,4642.6
147,medium_distance_trash464.jpg,plastic,yes,Yes.,0.518,4641.6
148,close_distance_trash218.jpg,trash pile,yes,Yes.,0.574,4641.6
149,far_distance_trash26.jpg,trash pile,no,No.,0.74,4640.3
150,hn_anfi_harbour_view_62.jpg,metal,no,No.,0.799,4640.1
151,far_distance_trash28.jpg,polystyrene,no,No.,0.529,4642.6
152,close_distance_trash265.jpg,container,yes,Yes.,0.721,4642.6
153,marine_litter_114.jpg,plastic,yes,No.,0.811,4744.6
154,medium_distance_trash1008.jpg,container,no,No.,0.883,4642.9
155,far_distance_trash103.jpg,plastic,yes,Yes.,0.7,4641.6
156,close_distance_trash12.jpg,polystyrene,no,No.,0.674,4642.4
157,close_distance_trash46.jpg,plastic,yes,No.,0.501,4640.3
158,medium_distance_trash458.jpg,polystyrene,no,No.,0.77,4642.6
159,marine_litter_65.jpg,plastic,yes,Yes.,0.717,4744.6
160,medium_distance_trash782.jpg,polystyrene,yes,No.,0.716,4642.4
161,hn_radisson_isla_corazon_anfi_90.jpg,trash pile,no,No.,0.583,4640.3
162,medium_distance_trash654.jpg,plastic,yes,Yes.,0.76,4641.6
163,close_distance_trash217.jpg,plastic,yes,Yes.,0.795,4641.6
164,marine_litter_40.jpg,plastic,yes,Yes.,0.719,4744.6
165,medium_distance_trash872.jpg,container,yes,No.,0.582,4642.9
166,close_distance_trash185.jpg,plastic,yes,Yes.,0.669,4641.6
167,far_distance_trash366.jpg,trash pile,no,No.,0.759,4641.6
168,close_distance_trash1267.jpg,polystyrene,yes,No.,0.661,4642.4
169,medium_distance_trash458.jpg,trash pile,no,Yes.,0.65,4641.6
170,close_distance_trash733.jpg,plastic,yes,Yes.,0.711,4744.6
171,hn_anfi_isla_corazon_view_43.jpg,polystyrene,no,No.,0.535,4642.4
172,hn_radisson_isla_corazon_anfi_105.jpg,plastic,no,No.,0.628,4640.3
173,medium_distance_trash503.jpg,metal,yes,No.,0.636,4640.3
174,marine_litter_396.jpg,plastic,yes,No.,0.742,4744.6
175,close_distance_trash1062.jpg,trash,no,No.,0.714,4746.8
176,far_distance_trash436.jpg,trash pile,yes,Yes.,0.653,4640.3
177,far_distance_trash1.jpg,metal,yes,No.,0.651,4640.3
178,medium_distance_trash976.jpg,polystyrene,no,No.,0.741,4745.8
179,marine_litter_384.jpg,metal,no,No.,0.767,4744.3
180,hn_anfi_harbour_view_51.jpg,metal,no,No.,0.597,4640.1
181,hn_cabo_torres_view_harbour_entrance_58.jpg,polystyrene,no,No.,0.586,4642.4
182,medium_distance_trash584.jpg,trash pile,no,No.,0.545,4640.3
183,close_distance_trash477.jpg,polystyrene,no,No.,0.611,4745.8
184,far_distance_trash315.jpg,trash,yes,No.,0.406,4643.5
185,far_distance_trash396.jpg,polystyrene,no,No.,0.555,4642.6
186,close_distance_trash61.jpg,polystyrene,no,No.,0.54,4642.4
187,medium_distance_trash229.jpg,plastic,no,Yes.,0.563,4641.6
188,hn_radisson_isla_corazon_anfi_34.jpg,metal,no,No.,0.619,4640.1
189,marine_litter_86.jpg,polystyrene,no,No.,0.63,4745.8
190,hn_cabo_torres_view_restinga_port_63.jpg,trash,no,No.,0.476,4643.3
191,hn_anfi_harbour_view_160.jpg,polystyrene,no,No.,0.772,4642.4
192,far_distance_trash24.jpg,trash,no,No.,0.669,4643.5
193,medium_distance_trash759.jpg,container,yes,No.,0.592,4642.9
194,close_distance_trash1275.jpg,trash pile,yes,Yes.,0.668,4640.3
195,medium_distance_trash208.jpg,container,yes,No.,0.463,4642.9
196,medium_distance_trash996.jpg,polystyrene,no,No.,1.002,4642.6
197,far_distance_trash408.jpg,trash,yes,No.,0.602,4643.3
198,hn_anfi_isla_corazon_view_44.jpg,metal,no,No.,0.607,4640.1
199,marine_litter_202.jpg,polystyrene,yes,No.,0.66,4745.8
200,close_distance_trash235.jpg,metal,no,No.,0.474,4640.3
201,close_distance_trash83.jpg,plastic,yes,No.,0.506,4641.6
202,hn_cabo_torres_view_harbour_entrance_27.jpg,trash pile,no,No.,0.58,4640.3
203,medium_distance_trash684.jpg,container,yes,Yes.,0.513,4642.9
204,close_distance_trash229.jpg,container,yes,No.,0.624,4642.9
205,medium_distance_trash729.jpg,polystyrene,no,No.,0.529,4642.6
206,medium_distance_trash599.jpg,plastic,no,Yes.,0.713,4641.6
207,marine_litter_40.jpg,trash,no,No.,0.593,4746.8
208,hn_scene_1006_85.jpg,trash pile,no,No.,0.77,4640.3
209,marine_litter_187.jpg,polystyrene,yes,Yes.,0.63,4745.8
210,close_distance_trash238.jpg,trash pile,no,No.,0.526,4640.3
211,far_distance_trash247.jpg,trash pile,no,No.,0.464,4641.6
212,close_distance_trash872.jpg,trash,yes,No.,0.731,4643.3
213,marine_litter_373.jpg,trash pile,no,No.,0.678,4744.6
214,medium_distance_trash250.jpg,container,no,No.,0.557,4642.9
215,medium_distance_trash1009.jpg,plastic,yes,No.,0.792,4744.6
216,medium_distance_trash712.jpg,container,yes,Yes.,0.62,4642.9
217,hn_anfi_isla_corazon_view_25.jpg,metal,no,No.,0.554,4640.1
218,close_distance_trash79.jpg,container,yes,Yes.,0.611,4642.6
219,hn_scene_1006_82.jpg,metal,no,No.,0.694,4640.1
220,far_distance_trash281.jpg,metal,yes,No.,0.515,4640.3
221,close_distance_trash243.jpg,polystyrene,no,Yes.,0.523,4642.6
222,far_distance_trash242.jpg,plastic,yes,Yes.,0.571,4641.6
223,medium_distance_trash919.jpg,plastic,yes,No.,0.849,4641.6
224,hn_cabo_torres_view_restinga_port_32.jpg,polystyrene,no,No.,0.687,4642.4
225,close_distance_trash1233.jpg,trash pile,yes,Yes.,0.753,4640.3
226,close_distance_trash1280.jpg,plastic,yes,No.,0.581,4640.3
227,medium_distance_trash841.jpg,plastic,yes,Yes.,0.546,4641.6
228,far_distance_trash363.jpg,plastic,yes,Yes.,0.677,4641.6
229,hn_cabo_torres_view_restinga_port_52.jpg,metal,no,No.,0.571,4640.1
230,medium_distance_trash996.jpg,container,yes,Yes.,1.036,4642.9
231,medium_distance_trash696.jpg,trash pile,no,No.,0.534,4641.6
232,close_distance_trash252.jpg,metal,no,No.,0.559,4640.3
233,far_distance_trash522.jpg,trash,no,No.,0.482,4643.5
234,medium_distance_trash546.jpg,plastic,no,No.,0.592,4640.3
235,close_distance_trash66.jpg,container,yes,Yes.,0.546,4642.9
