question_id,image,cls,label,response,inference_s,vram_mb
1,medium_distance_trash25.jpg,trash,yes,yes,0.183,4416.5
2,medium_distance_trash648.jpg,container,yes,no,0.161,4415.0
3,hn_radisson_isla_corazon_anfi_45.jpg,container,no,no,0.741,5385.3
4,medium_distance_trash984.jpg,polystyrene,yes,yes,0.164,4446.5
5,hn_anfi_harbour_view_43.jpg,plastic,no,no,0.808,5380.8
6,close_distance_trash921.jpg,trash,no,yes,1.295,6372.6
7,hn_anfi_isla_corazon_view_67.jpg,trash,no,no,0.748,5388.5
8,medium_distance_trash1048.jpg,container,no,TIMEOUT,15.012,0
9,far_distance_trash377.jpg,trash,yes,yes,1.989,6284.1
10,far_distance_trash351.jpg,plastic,no,no,0.232,4414.1
11,hn_anfi_beach_vega_26.jpg,container,no,no,1.238,5385.3
12,medium_distance_trash168.jpg,container,yes,yes,0.213,4408.6
13,medium_distance_trash883.jpg,container,yes,yes,0.192,4415.0
14,medium_distance_trash441.jpg,plastic,yes,yes,0.194,4414.1
15,medium_distance_trash719.jpg,plastic,yes,yes,0.204,4414.1
16,close_distance_trash477.jpg,trash pile,yes,yes,0.232,4445.5
17,close_distance_trash122.jpg,metal,no,no,0.219,4413.8
18,medium_distance_trash1038.jpg,plastic,yes,yes,1.917,6361.5
19,close_distance_trash229.jpg,metal,no,yes,0.183,4413.8
20,hn_radisson_isla_corazon_anfi_97.jpg,plastic,no,no,1.21,5380.8
21,close_distance_trash1022.jpg,trash,yes,yes,0.183,4448.3
22,hn_anfi_harbour_view_58.jpg,container,no,no,1.213,5385.3
23,hn_anfi_harbour_view_134.jpg,container,no,no,1.208,5385.3
24,medium_distance_trash148.jpg,plastic,yes,yes,0.176,4414.1
25,medium_distance_trash14.jpg,container,yes,yes,0.168,4415.0
26,medium_distance_trash897.jpg,metal,yes,yes,0.172,4389.0
27,far_distance_trash470.jpg,plastic,yes,yes,0.278,4569.0
28,hn_anfi_harbour_view_49.jpg,container,no,no,1.262,5385.3
29,close_distance_trash33.jpg,trash,yes,yes,0.184,4416.5
30,medium_distance_trash840.jpg,plastic,no,yes,0.163,4414.1
31,far_distance_trash67.jpg,container,yes,yes,0.189,4415.0
32,medium_distance_trash185.jpg,plastic,no,no,0.176,4414.1
33,medium_distance_trash1076.jpg,metal,no,no,0.169,4413.8
34,medium_distance_trash271.jpg,plastic,yes,yes,0.175,4414.1
35,medium_distance_trash1054.jpg,plastic,yes,yes,0.279,4569.0
36,close_distance_trash545.jpg,container,yes,TIMEOUT,15.014,0
37,hn_cabo_torres_view_restinga_port_20.jpg,container,no,no,2.62,5774.2
