question_id,image,cls,label,response,inference_s,vram_mb
1,close_distance_trash219.jpg,container,yes,no,0.21,4284.4
2,medium_distance_trash156.jpg,metal,yes,yes,0.163,4280.6
3,far_distance_trash298.jpg,container,no,yes,0.164,4284.4
4,medium_distance_trash218.jpg,trash,yes,no,0.161,4285.0
5,medium_distance_trash615.jpg,container,yes,yes,0.181,4284.4
6,medium_distance_trash72.jpg,plastic,yes,yes,0.167,4281.0
7,medium_distance_trash22.jpg,trash,no,no,0.151,4285.0
8,medium_distance_trash689.jpg,metal,yes,no,0.172,4280.6
9,far_distance_trash460.jpg,metal,yes,no,1.027,6226.7
10,far_distance_trash102.jpg,container,yes,yes,0.181,4284.4
11,far_distance_trash344.jpg,metal,no,no,0.163,4280.6
12,medium_distance_trash794.jpg,plastic,yes,no,0.166,4281.0
13,medium_distance_trash603.jpg,container,no,no,0.167,4284.4
14,medium_distance_trash187.jpg,metal,yes,yes,0.162,4280.6
15,medium_distance_trash11.jpg,trash,no,no,0.163,4285.0
16,hn_anfi_isla_corazon_view_53.jpg,container,no,no,0.583,5253.8
17,close_distance_trash195.jpg,container,yes,yes,0.178,4284.4
18,close_distance_trash1270.jpg,container,no,no,0.29,4677.3
19,hn_scene_1006_117.jpg,metal,no,no,0.592,5247.2
20,medium_distance_trash636.jpg,trash,no,no,0.179,4285.0
21,hn_radisson_isla_corazon_anfi_55.jpg,metal,no,no,0.578,5247.2
22,medium_distance_trash783.jpg,plastic,yes,yes,0.245,4281.0
23,hn_anfi_harbour_view_74.jpg,metal,no,no,0.578,5247.2
24,hn_radisson_isla_corazon_anfi_109.jpg,container,no,no,0.573,5253.8
25,hn_anfi_beach_vega_42.jpg,plastic,no,no,0.577,5249.7
26,far_distance_trash467.jpg,plastic,no,no,10.964,26689.6
27,hn_radisson_isla_corazon_anfi_110.jpg,metal,no,no,0.642,5247.2
28,hn_anfi_isla_corazon_view_82.jpg,plastic,no,no,0.64,5249.7
29,medium_distance_trash768.jpg,trash,yes,no,0.2,4285.0
30,close_distance_trash230.jpg,trash,no,yes,0.17,4285.0
31,hn_anfi_harbour_view_72.jpg,container,no,no,0.575,5253.8
32,medium_distance_trash1060.jpg,plastic,yes,yes,0.311,4674.5
33,hn_anfi_harbour_view_33.jpg,metal,no,no,0.614,5247.2
34,close_distance_trash83.jpg,container,no,no,0.2,4284.4
35,close_distance_trash1295.jpg,trash,no,TIMEOUT,15.015,0
36,medium_distance_trash515.jpg,trash,no,TIMEOUT,15.015,0
37,close_distance_trash183.jpg,trash,no,TIMEOUT,15.015,0
38,hn_anfi_harbour_view_84.jpg,plastic,no,TIMEOUT,15.014,0
39,close_distance_trash540.jpg,plastic,yes,TIMEOUT,15.016,0
40,hn_radisson_isla_corazon_anfi_79.jpg,container,no,TIMEOUT,15.004,0
41,close_distance_trash1248.jpg,trash pile,yes,TIMEOUT,15.006,0
42,close_distance_trash1245.jpg,trash pile,yes,TIMEOUT,15.007,0
43,far_distance_trash535.jpg,container,yes,TIMEOUT,15.006,0
44,close_distance_trash122.jpg,plastic,yes,yes,11.276,7358.4
45,close_distance_trash1191.jpg,metal,yes,yes,0.19,4312.0
46,medium_distance_trash855.jpg,trash pile,no,no,0.166,4282.5
47,close_distance_trash685.jpg,trash pile,yes,yes,0.213,4312.6
48,hn_scene_1006_126.jpg,container,no,no,0.586,5253.8
49,far_distance_trash538.jpg,trash,no,no,0.171,4285.0
50,medium_distance_trash662.jpg,container,yes,yes,0.176,4284.4
51,medium_distance_trash1057.jpg,plastic,yes,no,0.201,4433.8
52,far_distance_trash295.jpg,trash,no,no,0.18,4285.0
53,close_distance_trash100.jpg,trash,no,no,0.171,4285.0
54,far_distance_trash301.jpg,container,yes,yes,0.166,4284.4
55,hn_cabo_torres_view_restinga_port_28.jpg,metal,no,no,0.556,5247.2
56,medium_distance_trash872.jpg,trash pile,no,no,0.188,4282.5
57,medium_distance_trash202.jpg,container,no,no,0.167,4259.1
58,close_distance_trash251.jpg,trash,yes,no,0.164,4285.0
59,close_distance_trash285.jpg,trash,no,no,0.207,4443.3
60,medium_distance_trash467.jpg,container,yes,yes,0.175,4284.4
61,medium_distance_trash618.jpg,polystyrene,yes,yes,0.165,4284.4
62,medium_distance_trash128.jpg,plastic,yes,yes,0.165,4281.0
63,close_distance_trash1259.jpg,trash pile,yes,yes,0.283,4675.4
64,medium_distance_trash183.jpg,metal,yes,no,0.171,4280.6
65,medium_distance_trash170.jpg,trash,no,no,0.167,4285.0
66,medium_distance_trash10.jpg,container,no,no,0.168,4284.4
67,close_distance_trash9.jpg,container,no,no,0.681,5562.0
68,hn_anfi_harbour_view_47.jpg,metal,no,no,0.582,5247.2
69,hn_scene_1006_9.jpg,metal,no,no,0.61,5247.2
70,hn_anfi_harbour_view_135.jpg,container,no,no,0.622,5253.8
71,medium_distance_trash959.jpg,trash,no,no,1.043,6238.7
72,far_distance_trash79.jpg,metal,yes,yes,0.187,4256.8
73,medium_distance_trash845.jpg,trash pile,no,no,0.175,4282.5
74,medium_distance_trash611.jpg,plastic,no,no,0.144,4281.0
75,far_distance_trash470.jpg,trash pile,no,no,0.218,4434.5
76,far_distance_trash382.jpg,container,yes,yes,0.186,4284.4
77,medium_distance_trash684.jpg,container,yes,yes,0.168,4284.4
78,medium_distance_trash60.jpg,trash,no,no,0.24,4285.0
79,hn_cabo_torres_view_harbour_entrance_39.jpg,container,no,no,0.577,5253.8
80,medium_distance_trash203.jpg,plastic,yes,no,0.188,4257.1
81,hn_anfi_beach_vega_15.jpg,container,no,no,0.595,5253.8
82,medium_distance_trash837.jpg,container,yes,yes,0.188,4284.4
83,close_distance_trash116.jpg,trash pile,no,no,0.182,4282.5
84,medium_distance_trash115.jpg,trash,no,no,0.169,4285.0
85,hn_anfi_harbour_view_117.jpg,metal,no,no,0.573,5247.2
86,close_distance_trash64.jpg,container,yes,yes,0.181,4284.4
87,medium_distance_trash1077.jpg,metal,no,no,0.171,4280.6
88,hn_anfi_harbour_view_161.jpg,metal,no,no,0.586,5247.2
89,medium_distance_trash559.jpg,trash,no,no,0.197,4285.0
90,hn_anfi_harbour_view_178.jpg,plastic,no,no,0.609,5249.7
91,close_distance_trash494.jpg,trash,no,no,1.053,6238.7
92,close_distance_trash483.jpg,metal,yes,yes,0.2,4312.0
93,hn_radisson_isla_corazon_anfi_38.jpg,plastic,no,no,0.564,5249.7
94,close_distance_trash1241.jpg,plastic,yes,yes,0.222,4433.8
95,close_distance_trash33.jpg,metal,yes,yes,0.23,4280.6
96,hn_anfi_harbour_view_131.jpg,plastic,no,no,0.61,5249.7
97,hn_cabo_torres_view_restinga_port_49.jpg,plastic,no,no,0.577,5249.7
98,hn_scene_1006_120.jpg,plastic,no,no,0.6,5249.7
99,medium_distance_trash244.jpg,trash,yes,yes,0.183,4285.0
100,medium_distance_trash90.jpg,trash,no,no,0.172,4285.0
101,hn_radisson_isla_corazon_anfi_86.jpg,plastic,no,no,0.599,5249.7
102,hn_radisson_isla_corazon_anfi_56.jpg,metal,no,no,0.644,5247.2
103,hn_anfi_harbour_view_103.jpg,metal,no,no,0.595,5247.2
104,medium_distance_trash269.jpg,plastic,yes,yes,0.194,4281.0
105,medium_distance_trash240.jpg,trash,no,no,0.157,4285.0
106,medium_distance_trash237.jpg,metal,no,no,0.22,4280.6
107,close_distance_trash198.jpg,plastic,yes,yes,0.167,4281.0
108,medium_distance_trash30.jpg,plastic,yes,yes,0.159,4281.0
109,medium_distance_trash241.jpg,container,yes,yes,0.173,4284.4
110,medium_distance_trash494.jpg,trash,yes,no,0.163,4285.0
111,hn_radisson_isla_corazon_anfi_10.jpg,metal,no,no,0.57,5247.2
112,medium_distance_trash1066.jpg,container,yes,yes,0.188,4284.4
113,medium_distance_trash620.jpg,container,yes,yes,0.162,4284.4
114,medium_distance_trash833.jpg,trash,no,no,0.164,4285.0
115,close_distance_trash5.jpg,plastic,yes,yes,0.166,4263.3
116,close_distance_trash1246.jpg,plastic,yes,yes,0.2,4433.8
117,hn_cabo_torres_view_restinga_port_68.jpg,container,no,no,0.588,5253.8
118,close_distance_trash1129.jpg,plastic,yes,yes,0.185,4312.3
119,hn_anfi_harbour_view_127.jpg,container,no,no,0.569,5253.8
120,hn_anfi_harbour_view_23.jpg,metal,no,no,0.585,5247.2
121,medium_distance_trash637.jpg,plastic,yes,yes,0.207,4281.0
122,far_distance_trash25.jpg,trash,no,no,0.16,4285.0
123,medium_distance_trash993.jpg,trash,no,no,5.06,14468.0
124,close_distance_trash191.jpg,container,yes,yes,0.202,4284.4
125,hn_anfi_harbour_view_94.jpg,container,no,no,0.588,5253.8
126,close_distance_trash234.jpg,plastic,yes,yes,0.214,4281.0
127,hn_cabo_torres_view_harbour_entrance_65.jpg,plastic,no,no,0.59,5249.7
128,medium_distance_trash182.jpg,container,yes,yes,0.197,4284.4
129,medium_distance_trash48.jpg,container,yes,yes,0.189,4284.4
130,close_distance_trash906.jpg,plastic,yes,no,5.141,14442.3
