question_id,image,cls,label,response,inference_s,vram_mb
1,close_distance_trash219.jpg,container,yes,no,0.182,4267.5
2,medium_distance_trash156.jpg,metal,yes,yes,0.158,4263.7
3,far_distance_trash298.jpg,container,no,no,0.155,4267.5
4,medium_distance_trash218.jpg,trash,yes,yes,0.159,4268.1
5,medium_distance_trash615.jpg,container,yes,Yes,0.155,4267.5
6,medium_distance_trash72.jpg,plastic,yes,yes,0.156,4264.2
7,medium_distance_trash22.jpg,trash,no,yes,0.159,4268.1
8,medium_distance_trash689.jpg,metal,yes,yes,0.16,4263.7
9,far_distance_trash460.jpg,metal,yes,yes,1.045,6209.3
10,far_distance_trash102.jpg,container,yes,yes,0.184,4267.5
11,far_distance_trash344.jpg,metal,no,no,0.163,4263.7
12,medium_distance_trash794.jpg,plastic,yes,no,0.158,4264.2
13,medium_distance_trash603.jpg,container,no,no,0.185,4267.5
14,medium_distance_trash187.jpg,metal,yes,no,0.154,4263.7
15,medium_distance_trash11.jpg,trash,no,yes,0.151,4268.1
16,hn_anfi_isla_corazon_view_53.jpg,container,no,no,0.583,5236.4
17,close_distance_trash195.jpg,container,yes,no,0.192,4267.5
18,close_distance_trash1270.jpg,container,no,no,0.282,4660.4
19,hn_scene_1006_117.jpg,metal,no,no,0.583,5230.4
20,medium_distance_trash636.jpg,trash,no,yes,0.175,4268.1
21,hn_radisson_isla_corazon_anfi_55.jpg,metal,no,no,0.582,5230.4
22,medium_distance_trash783.jpg,plastic,yes,yes,0.182,4264.2
23,hn_anfi_harbour_view_74.jpg,metal,no,no,0.618,5230.4
24,hn_radisson_isla_corazon_anfi_109.jpg,container,no,no,0.595,5236.4
25,hn_anfi_beach_vega_42.jpg,plastic,no,no,0.597,5231.9
26,far_distance_trash467.jpg,plastic,no,no,10.889,26672.7
27,hn_radisson_isla_corazon_anfi_110.jpg,metal,no,no,0.678,5230.4
28,hn_anfi_isla_corazon_view_82.jpg,plastic,no,no,0.637,5231.9
29,medium_distance_trash768.jpg,trash,yes,Yes,0.216,4268.1
30,close_distance_trash230.jpg,trash,no,yes,0.202,4268.1
31,hn_anfi_harbour_view_72.jpg,container,no,no,0.605,5236.4
32,medium_distance_trash1060.jpg,plastic,yes,yes,0.345,4657.6
33,hn_anfi_harbour_view_33.jpg,metal,no,no,0.636,5230.4
34,close_distance_trash83.jpg,container,no,no,0.263,4267.5
35,close_distance_trash1295.jpg,trash,no,TIMEOUT,15.008,0
36,medium_distance_trash515.jpg,trash,no,TIMEOUT,15.014,0
37,close_distance_trash183.jpg,trash,no,TIMEOUT,15.014,0
38,hn_anfi_harbour_view_84.jpg,plastic,no,TIMEOUT,15.003,0
39,close_distance_trash540.jpg,plastic,yes,TIMEOUT,15.011,0
40,hn_radisson_isla_corazon_anfi_79.jpg,container,no,TIMEOUT,15.01,0
41,close_distance_trash1248.jpg,trash pile,yes,TIMEOUT,15.006,0
42,close_distance_trash1245.jpg,trash pile,yes,TIMEOUT,15.014,0
43,far_distance_trash535.jpg,container,yes,TIMEOUT,15.013,0
44,close_distance_trash122.jpg,plastic,yes,yes,10.9,7453.4
45,close_distance_trash1191.jpg,metal,yes,yes,0.198,4946.1
46,medium_distance_trash855.jpg,trash pile,no,yes,0.175,4265.7
47,close_distance_trash685.jpg,trash pile,yes,Yes,0.168,4295.8
48,hn_scene_1006_126.jpg,container,no,no,0.555,5236.4
49,far_distance_trash538.jpg,trash,no,yes,0.174,4268.1
50,medium_distance_trash662.jpg,container,yes,yes,0.168,4267.5
51,medium_distance_trash1057.jpg,plastic,yes,no,0.204,4417.0
52,far_distance_trash295.jpg,trash,no,yes,0.178,4268.1
53,close_distance_trash100.jpg,trash,no,yes,0.166,4268.1
54,far_distance_trash301.jpg,container,yes,yes,0.171,4267.5
55,hn_cabo_torres_view_restinga_port_28.jpg,metal,no,no,0.571,5230.4
56,medium_distance_trash872.jpg,trash pile,no,Yes,0.17,4265.7
57,medium_distance_trash202.jpg,container,no,no,0.17,4242.2
58,close_distance_trash251.jpg,trash,yes,Yes,0.196,4268.1
59,close_distance_trash285.jpg,trash,no,Yes,0.199,4426.5
60,medium_distance_trash467.jpg,container,yes,yes,0.173,4267.5
61,medium_distance_trash618.jpg,polystyrene,yes,yes,0.172,4267.5
62,medium_distance_trash128.jpg,plastic,yes,no,0.175,4264.2
63,close_distance_trash1259.jpg,trash pile,yes,yes,0.285,4658.5
64,medium_distance_trash183.jpg,metal,yes,no,0.174,4263.7
65,medium_distance_trash170.jpg,trash,no,yes,0.158,4268.1
66,medium_distance_trash10.jpg,container,no,no,0.163,4267.5
67,close_distance_trash9.jpg,container,no,no,0.683,5544.8
68,hn_anfi_harbour_view_47.jpg,metal,no,no,0.595,5230.4
69,hn_scene_1006_9.jpg,metal,no,no,0.617,5230.4
70,hn_anfi_harbour_view_135.jpg,container,no,no,0.594,5236.4
71,medium_distance_trash959.jpg,trash,no,Yes,1.069,6221.8
72,far_distance_trash79.jpg,metal,yes,yes,0.187,4240.0
73,medium_distance_trash845.jpg,trash pile,no,Yes,0.174,4265.7
74,medium_distance_trash611.jpg,plastic,no,no,0.162,4264.2
75,far_distance_trash470.jpg,trash pile,no,Yes,0.208,4417.6
76,far_distance_trash382.jpg,container,yes,yes,0.166,4267.5
77,medium_distance_trash684.jpg,container,yes,yes,0.17,4267.5
78,medium_distance_trash60.jpg,trash,no,yes,0.165,4268.1
79,hn_cabo_torres_view_harbour_entrance_39.jpg,container,no,no,0.559,5236.4
80,medium_distance_trash203.jpg,plastic,yes,no,0.173,4240.3
81,hn_anfi_beach_vega_15.jpg,container,no,no,0.566,5236.4
82,medium_distance_trash837.jpg,container,yes,no,0.197,4267.5
