question_id,image,cls,label,response,inference_s,vram_mb
1,close_distance_trash219.jpg,container,yes,TIMEOUT,15.013,0
2,medium_distance_trash156.jpg,metal,yes,TIMEOUT,15.009,0
3,far_distance_trash298.jpg,plastic,no,TIMEOUT,15.003,0
4,medium_distance_trash218.jpg,trash,yes,TIMEOUT,15.01,0
5,medium_distance_trash615.jpg,container,yes,TIMEOUT,15.01,0
6,medium_distance_trash72.jpg,plastic,yes,TIMEOUT,15.006,0
7,medium_distance_trash22.jpg,container,no,TIMEOUT,15.007,0
8,medium_distance_trash689.jpg,metal,yes,TIMEOUT,15.004,0
9,far_distance_trash460.jpg,metal,yes,TIMEOUT,15.004,0
10,far_distance_trash102.jpg,container,yes,TIMEOUT,15.018,0
11,far_distance_trash344.jpg,metal,no,TIMEOUT,15.012,0
12,medium_distance_trash794.jpg,plastic,yes,TIMEOUT,15.01,0
13,medium_distance_trash603.jpg,trash,no,TIMEOUT,15.017,0
14,medium_distance_trash187.jpg,metal,yes,TIMEOUT,15.009,0
15,medium_distance_trash11.jpg,trash,no,TIMEOUT,15.01,0
16,hn_anfi_isla_corazon_view_53.jpg,plastic,no,TIMEOUT,15.008,0
17,close_distance_trash195.jpg,container,yes,TIMEOUT,15.009,0
18,close_distance_trash1270.jpg,container,no,TIMEOUT,15.006,0
19,hn_scene_1006_117.jpg,trash,no,TIMEOUT,15.011,0
20,medium_distance_trash636.jpg,container,no,TIMEOUT,15.002,0
21,hn_radisson_isla_corazon_anfi_55.jpg,trash,no,TIMEOUT,15.016,0
22,medium_distance_trash783.jpg,plastic,yes,TIMEOUT,15.007,0
23,hn_anfi_harbour_view_74.jpg,trash,no,TIMEOUT,15.012,0
24,hn_radisson_isla_corazon_anfi_109.jpg,plastic,no,TIMEOUT,15.017,0
25,hn_anfi_beach_vega_42.jpg,container,no,TIMEOUT,15.009,0
26,far_distance_trash467.jpg,plastic,no,TIMEOUT,15.012,0
27,hn_radisson_isla_corazon_anfi_110.jpg,trash,no,TIMEOUT,15.008,0
28,hn_anfi_isla_corazon_view_82.jpg,container,no,TIMEOUT,15.011,0
29,medium_distance_trash768.jpg,trash,yes,TIMEOUT,15.017,0
30,close_distance_trash230.jpg,trash,no,TIMEOUT,15.014,0
31,hn_anfi_harbour_view_72.jpg,plastic,no,TIMEOUT,15.012,0
32,medium_distance_trash1060.jpg,plastic,yes,TIMEOUT,15.013,0
33,hn_anfi_harbour_view_33.jpg,trash,no,TIMEOUT,15.011,0
34,close_distance_trash83.jpg,container,no,TIMEOUT,17.017,0
35,close_distance_trash1295.jpg,container,no,TIMEOUT,15.014,0
36,medium_distance_trash515.jpg,plastic,no,TIMEOUT,15.014,0
37,close_distance_trash183.jpg,plastic,no,TIMEOUT,15.018,0
38,hn_anfi_harbour_view_84.jpg,container,no,TIMEOUT,15.005,0
39,close_distance_trash540.jpg,plastic,yes,TIMEOUT,15.016,0
40,hn_radisson_isla_corazon_anfi_79.jpg,plastic,no,TIMEOUT,15.004,0
41,close_distance_trash1248.jpg,trash pile,yes,TIMEOUT,15.009,0
42,close_distance_trash1245.jpg,trash pile,yes,TIMEOUT,15.284,0
43,far_distance_trash535.jpg,container,yes,TIMEOUT,15.012,0
44,close_distance_trash122.jpg,plastic,yes,TIMEOUT,15.276,0
45,close_distance_trash1191.jpg,metal,yes,TIMEOUT,15.005,0
46,medium_distance_trash855.jpg,trash pile,no,TIMEOUT,15.012,0
47,close_distance_trash685.jpg,trash pile,yes,TIMEOUT,15.002,0
48,hn_scene_1006_126.jpg,plastic,no,TIMEOUT,15.067,0
49,far_distance_trash538.jpg,plastic,no,TIMEOUT,15.007,0
50,medium_distance_trash662.jpg,container,yes,TIMEOUT,15.022,0
51,medium_distance_trash1057.jpg,plastic,yes,TIMEOUT,15.015,0
52,far_distance_trash295.jpg,plastic,no,TIMEOUT,15.007,0
53,close_distance_trash100.jpg,trash,no,TIMEOUT,15.005,0
54,far_distance_trash301.jpg,container,yes,TIMEOUT,15.012,0
55,hn_cabo_torres_view_restinga_port_28.jpg,trash,no,TIMEOUT,15.015,0
56,medium_distance_trash872.jpg,trash pile,no,TIMEOUT,15.012,0
57,medium_distance_trash202.jpg,plastic,no,TIMEOUT,15.015,0
58,close_distance_trash251.jpg,trash,yes,TIMEOUT,15.007,0
59,close_distance_trash285.jpg,plastic,no,TIMEOUT,15.005,0
60,medium_distance_trash467.jpg,container,yes,TIMEOUT,15.002,0
61,medium_distance_trash618.jpg,polystyrene,yes,TIMEOUT,15.016,0
62,medium_distance_trash128.jpg,plastic,yes,TIMEOUT,15.004,0
