question_id,image,cls,label,response,inference_s,vram_mb
1,close_distance_trash219.jpg,container,yes,No.,0.847,7249.5
2,medium_distance_trash156.jpg,metal,yes,Yes.,0.27,7249.6
3,far_distance_trash298.jpg,plastic,no,No.,0.28,7249.6
4,medium_distance_trash218.jpg,trash,yes,No.,0.283,7249.6
5,medium_distance_trash615.jpg,container,yes,No.,0.282,7249.6
6,medium_distance_trash72.jpg,plastic,yes,Yes.,0.28,7249.6
7,medium_distance_trash22.jpg,metal,no,No.,0.285,7249.6
8,medium_distance_trash689.jpg,metal,yes,Yes.,0.287,7249.6
9,far_distance_trash460.jpg,metal,yes,No.,2.373,9943.1
10,far_distance_trash102.jpg,container,yes,Yes.,0.276,7249.6
11,far_distance_trash344.jpg,trash pile,no,No.,0.272,7249.6
12,medium_distance_trash794.jpg,plastic,yes,No.,0.279,7249.6
13,medium_distance_trash603.jpg,metal,no,No.,0.32,7249.6
14,medium_distance_trash187.jpg,metal,yes,Yes.,0.285,7249.6
15,medium_distance_trash11.jpg,trash pile,no,No.,0.286,7249.6
16,hn_anfi_isla_corazon_view_53.jpg,trash pile,no,No.,1.319,8530.0
17,close_distance_trash195.jpg,container,yes,No.,0.347,7249.6
18,close_distance_trash1270.jpg,container,no,No.,0.71,7715.3
19,hn_scene_1006_117.jpg,trash,no,No.,1.264,8536.5
20,medium_distance_trash636.jpg,trash,no,No.,0.3,7249.6
21,hn_radisson_isla_corazon_anfi_55.jpg,trash pile,no,No.,1.313,8530.0
22,medium_distance_trash783.jpg,plastic,yes,Yes.,0.278,7249.6
23,hn_anfi_harbour_view_74.jpg,metal,no,No.,1.274,8526.7
24,hn_radisson_isla_corazon_anfi_109.jpg,container,no,No.,1.259,8533.2
25,hn_anfi_beach_vega_42.jpg,plastic,no,No.,1.317,8528.3
26,far_distance_trash467.jpg,plastic,no,TIMEOUT,15.007,0
27,hn_radisson_isla_corazon_anfi_110.jpg,trash pile,no,TIMEOUT,15.015,0
28,hn_anfi_isla_corazon_view_82.jpg,polystyrene,no,TIMEOUT,15.012,0
29,medium_distance_trash768.jpg,trash,yes,TIMEOUT,15.007,0
30,close_distance_trash230.jpg,metal,no,TIMEOUT,15.011,0
31,hn_anfi_harbour_view_72.jpg,metal,no,TIMEOUT,15.013,0
32,medium_distance_trash1060.jpg,plastic,yes,TIMEOUT,15.003,0
33,hn_anfi_harbour_view_33.jpg,polystyrene,no,TIMEOUT,15.002,0
34,close_distance_trash83.jpg,metal,no,Yes.,4.548,11317.5
35,close_distance_trash1295.jpg,trash pile,no,TIMEOUT,15.01,0
36,medium_distance_trash515.jpg,metal,no,TIMEOUT,15.003,0
37,close_distance_trash183.jpg,trash,no,TIMEOUT,15.006,0
38,hn_anfi_harbour_view_84.jpg,trash pile,no,TIMEOUT,15.011,0
39,close_distance_trash540.jpg,plastic,yes,TIMEOUT,15.001,0
40,hn_radisson_isla_corazon_anfi_79.jpg,metal,no,TIMEOUT,15.005,0
41,close_distance_trash1248.jpg,trash pile,yes,TIMEOUT,15.004,0
42,close_distance_trash1245.jpg,trash pile,yes,TIMEOUT,15.005,0
43,far_distance_trash535.jpg,container,yes,TIMEOUT,15.009,0
44,close_distance_trash122.jpg,plastic,yes,TIMEOUT,15.009,0
45,close_distance_trash1191.jpg,metal,yes,TIMEOUT,15.007,0
46,medium_distance_trash855.jpg,metal,no,TIMEOUT,15.014,0
47,close_distance_trash685.jpg,trash pile,yes,TIMEOUT,15.005,0
48,hn_scene_1006_126.jpg,metal,no,TIMEOUT,15.009,0
49,far_distance_trash538.jpg,plastic,no,TIMEOUT,15.004,0
50,medium_distance_trash662.jpg,container,yes,TIMEOUT,15.016,0
51,medium_distance_trash1057.jpg,plastic,yes,TIMEOUT,15.009,0
52,far_distance_trash295.jpg,polystyrene,no,TIMEOUT,15.002,0
53,close_distance_trash100.jpg,polystyrene,no,TIMEOUT,15.004,0
54,far_distance_trash301.jpg,container,yes,TIMEOUT,15.015,0
55,hn_cabo_torres_view_restinga_port_28.jpg,container,no,TIMEOUT,15.004,0
56,medium_distance_trash872.jpg,trash pile,no,TIMEOUT,15.006,0
57,medium_distance_trash202.jpg,plastic,no,TIMEOUT,15.016,0
58,close_distance_trash251.jpg,trash,yes,TIMEOUT,15.004,0
59,close_distance_trash285.jpg,metal,no,TIMEOUT,15.017,0
60,medium_distance_trash467.jpg,container,yes,TIMEOUT,15.002,0
61,medium_distance_trash618.jpg,polystyrene,yes,TIMEOUT,15.006,0
62,medium_distance_trash128.jpg,plastic,yes,TIMEOUT,15.015,0
63,close_distance_trash1259.jpg,trash pile,yes,TIMEOUT,15.014,0
64,medium_distance_trash183.jpg,metal,yes,No.,9.3,11882.9
65,medium_distance_trash170.jpg,plastic,no,No.,0.54,8292.2
66,medium_distance_trash10.jpg,container,no,No.,0.324,7478.9
67,close_distance_trash9.jpg,metal,no,No.,1.652,9216.6
68,hn_anfi_harbour_view_47.jpg,polystyrene,no,No.,1.343,8766.1
69,hn_scene_1006_9.jpg,metal,no,No.,1.36,8759.5
70,hn_anfi_harbour_view_135.jpg,trash pile,no,No.,1.297,8762.8
71,medium_distance_trash959.jpg,metal,no,No.,8.913,10173.9
72,far_distance_trash79.jpg,metal,yes,Yes.,0.343,7461.6
73,medium_distance_trash845.jpg,trash pile,no,No.,0.38,7478.8
74,medium_distance_trash611.jpg,polystyrene,no,No.,0.358,7478.9
75,far_distance_trash470.jpg,polystyrene,no,No.,0.545,7659.6
76,far_distance_trash382.jpg,container,yes,No.,0.433,7478.9
77,medium_distance_trash684.jpg,container,yes,Yes.,0.335,7478.9
78,medium_distance_trash60.jpg,metal,no,No.,0.34,7478.8
79,hn_cabo_torres_view_harbour_entrance_39.jpg,trash,no,No.,1.347,8769.4
80,medium_distance_trash203.jpg,plastic,yes,Yes.,0.36,7461.6
